comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugxd-ykyfnk0JubRLwJ4AaABAg,,3105yWlwvII,False,author_4272,2026-05-15T14:37:55Z,2026-05-15T14:37:55Z,11,"Sako, avrai giustizia ❤",,0,corriere_della_sera,author_4272,0
Ugy1FO1Nvv-O-8PK0zd4AaABAg,,3105yWlwvII,False,author_4273,2026-05-15T14:43:39Z,2026-05-15T14:43:39Z,21,Che peccato di ragazzo. Ma in Che  schifo di mondo viviamo 🤷‍♀️,,0,corriere_della_sera,author_4273,0
UgwVFhgRG1ePKyMsm4F4AaABAg,,3105yWlwvII,False,author_4274,2026-05-15T14:43:46Z,2026-05-15T14:43:46Z,3,E colpa dei comunisti che li fanno entrare,,0,corriere_della_sera,author_4274,1
UgwVFhgRG1ePKyMsm4F4AaABAg.AWpk5d1tItfAWpkUMic2ju,UgwVFhgRG1ePKyMsm4F4AaABAg,3105yWlwvII,True,author_4275,2026-05-15T14:47:09Z,2026-05-15T14:47:09Z,6,Non ce limite all'ignoranza fatti curare.,UgwVFhgRG1ePKyMsm4F4AaABAg,1,corriere_della_sera,author_4275,1
UgwVFhgRG1ePKyMsm4F4AaABAg.AWpk5d1tItfAWpkbidxU2n,UgwVFhgRG1ePKyMsm4F4AaABAg,3105yWlwvII,True,author_2034,2026-05-15T14:48:17Z,2026-05-15T14:48:17Z,2,"Certo ma siamo esseri umani, perché ci deve essere questo accanimento, i problemi si risolvono con la calma , non con la violenza🙏",UgwVFhgRG1ePKyMsm4F4AaABAg,1,corriere_della_sera,author_2034,0
UgwVFhgRG1ePKyMsm4F4AaABAg.AWpk5d1tItfAWpky1MT1dD,UgwVFhgRG1ePKyMsm4F4AaABAg,3105yWlwvII,True,author_4276,2026-05-15T14:51:20Z,2026-05-15T14:51:20Z,4,Se mai è colpa di chi lo ha ammazzato,UgwVFhgRG1ePKyMsm4F4AaABAg,1,corriere_della_sera,author_4276,0
UgxVd9rzF8Lr3mYBA8h4AaABAg,,3105yWlwvII,False,author_4277,2026-05-15T14:51:32Z,2026-05-15T14:51:32Z,14,Gli auguro almeno giustizia❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,,0,corriere_della_sera,author_4277,0
UgwC6l4QNi7ejn7EyNt4AaABAg,,3105yWlwvII,False,author_4278,2026-05-15T14:53:22Z,2026-05-15T14:53:22Z,24,"Non credo ci sia stata un'epoca così disumanizzata.
Possibile che neanche le istituzioni abbiano voluto onorarlo con un po' di umanità.
È una vergogna.",,0,corriere_della_sera,author_4278,0
UgwVFhgRG1ePKyMsm4F4AaABAg.AWpk5d1tItfAWpm5PNnXO7,UgwVFhgRG1ePKyMsm4F4AaABAg,3105yWlwvII,True,author_4279,2026-05-15T15:01:13Z,2026-05-15T15:05:18Z,5,"La stupidità umana porta spesso a generalizzare , raggruppando le persone a seconda delle nostre esperienze in migliori o peggiori. Noi siamo individui diversi  uno  dall' altro per cultura ed educazione. Quindi non sentiamoci superiori a nessuno, perché colui che crediamo sia un nessuno è spesso migliore di noi.",UgwVFhgRG1ePKyMsm4F4AaABAg,1,corriere_della_sera,author_4279,0
UgwVFhgRG1ePKyMsm4F4AaABAg.AWpk5d1tItfAWpnw1zSOB7,UgwVFhgRG1ePKyMsm4F4AaABAg,3105yWlwvII,True,author_809,2026-05-15T15:17:16Z,2026-05-15T15:17:16Z,0,È colpa degli ignoranti come te .,UgwVFhgRG1ePKyMsm4F4AaABAg,1,corriere_della_sera,author_809,1
UgyjO7yrZPN0FJzzrCd4AaABAg,,3105yWlwvII,False,author_3129,2026-05-15T15:19:40Z,2026-05-15T15:19:40Z,4,Perché tanta cattiveria?,,0,corriere_della_sera,author_3129,0
UgxbiiPQjpsKw_T-dxJ4AaABAg,,3105yWlwvII,False,author_4280,2026-05-15T15:43:32Z,2026-05-15T15:43:32Z,11,Povero ragazzo😢😢😢,,0,corriere_della_sera,author_4280,0
UgxTUYOYx9H-8_Fy2PR4AaABAg,,3105yWlwvII,False,author_2271,2026-05-15T15:59:04Z,2026-05-15T15:59:04Z,0,"bè stiamo parlando di pugliesi,gente rimasta ancora all'età della pietra e non è la prima volta, la gente si dimentica, ma le notizie no, anni fà un pensionato invalido sempre in Puglia nel tarantino veniva torturato e poi assassinato da minorenni che poi avevano girato il video e messo su whatsapp, quindi è inutile dire che cambiano,animali sono e animali restano",,0,corriere_della_sera,author_2271,1
