comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzsY3tdbx6rtJFtsN54AaABAg,,3wB-3Mgq6G0,False,author_3396,2026-05-22T15:00:12Z,2026-05-22T15:00:12Z,4,Si spera le prossime votazioni in Israele finalmente cambi qualcosa. E speriamo anche in Italia un governo che prenda posizione netta e faccia cose concrete contro gente come questa.,,0,corriere_della_sera,author_3396,0
UgzADW55njantOce2MF4AaABAg,,3wB-3Mgq6G0,False,author_3397,2026-05-22T15:03:41Z,2026-05-22T15:03:41Z,0,"Mah , da quando un certo maometto, noto pedofilo,stupratore e omosessuale che voleva diventare profeta ma non superò l'esame fatto da due studiosi ebrei e per questo motivo incitò i mussulmani a sterminare tutti gli ebrei e i cristiani,ecco è da allora che i mussulmani sterminano gli ebrei e che gli ebrei si difendono in questo contesto appaiono degli individui pagati dai tagliagole di hamas (braccio violento dei mussulmani) che vogliono farsi un giro propagandistico in Gaza dove c'è la guerra. In questo contesto l'unica cosa che colpisce gli imbecilli è il fatto che il ministro Isdraeliano preposto non è gentile con loro. Siamo alla follia!!",,0,corriere_della_sera,author_3397,1
UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX6oRehXLea,UgzsY3tdbx6rtJFtsN54AaABAg,3wB-3Mgq6G0,True,author_2258,2026-05-22T15:08:03Z,2026-05-22T15:08:03Z,1,Si dopo le elezioni oltre i campi di prigionia faranno i forni,UgzsY3tdbx6rtJFtsN54AaABAg,1,corriere_della_sera,author_2258,1
UgwA9rzuvbFNZUJE8ZV4AaABAg,,3wB-3Mgq6G0,False,author_3255,2026-05-22T15:08:09Z,2026-05-22T15:08:09Z,15,"E quando nelle sfilate propal e flottiglieri mettono le immagini di Meloni a testa in giu', non e' disprezzo per la Presidente del Consiglio e per l'Italia?",,0,corriere_della_sera,author_3255,1
UgwzeM3U8iy5H56WiRx4AaABAg,,3wB-3Mgq6G0,False,author_3398,2026-05-22T18:36:44Z,2026-05-22T18:36:44Z,1,Dire Che sono ignobili e poco criminali subdoli😢😢😢😢😢😢,,0,corriere_della_sera,author_3398,1
UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX7I4mwIzhm,UgzsY3tdbx6rtJFtsN54AaABAg,3wB-3Mgq6G0,True,author_3399,2026-05-22T19:35:49Z,2026-05-22T19:35:49Z,6,"Chi a voluto questo sono stati i sinistri ,se vinceranno loro le elezioni succederà il peggio,sono pagati da Sorros e fanno il peggio che dice lui .",UgzsY3tdbx6rtJFtsN54AaABAg,1,corriere_della_sera,author_3399,1
Ugxmne8LvKRNbAngC3h4AaABAg,,3wB-3Mgq6G0,False,author_2309,2026-05-22T21:12:40Z,2026-05-22T21:12:40Z,1,Ahahahahaha  neanche con LSD rimani così stampato,,0,corriere_della_sera,author_2309,1
Ugx6L2vZzloaVHD6lVF4AaABAg,,3wB-3Mgq6G0,False,author_3400,2026-05-23T05:49:40Z,2026-05-23T05:49:40Z,4,Ben gvir è solo la conseguenza d in chi vuole distruggere Israele perché invece Khamenei Hamas huti gli ebrei massacrati dai palestinesi a Monaco le torri gemelle e tutte le vittime de il mussulmani come il genocidio degli Armeni Assiri Greci nessuno ne parla,,0,corriere_della_sera,author_3400,1
UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX8XEt78Yen,UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX7I4mwIzhm,3wB-3Mgq6G0,True,author_3340,2026-05-23T07:07:30Z,2026-05-23T07:07:30Z,0,​author_3399👏👏👏👏👏👍👍👍,UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX7I4mwIzhm,2,corriere_della_sera,author_3340,0
UgzsY3tdbx6rtJFtsN54AaABAg.AX6nYAkwPBCAX93CpKd-Lm,UgzsY3tdbx6rtJFtsN54AaABAg,3wB-3Mgq6G0,True,author_3401,2026-05-23T12:04:19Z,2026-05-23T12:04:19Z,0,In Israele le opposizioni dicevano che volevano portare Gaza all'età della pietra non c'è salvezza,UgzsY3tdbx6rtJFtsN54AaABAg,1,corriere_della_sera,author_3401,1
