comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwL6HrzHAg6O9tTxPt4AaABAg,,775CC6cxmWw,False,author_3698,2026-05-21T07:45:10Z,2026-05-21T07:45:10Z,0,😅,,0,corriere_della_sera,author_3698,0
UgxuG--NzBXaFKtVGxF4AaABAg,,775CC6cxmWw,False,author_3699,2026-05-21T08:07:47Z,2026-05-21T08:07:47Z,0,L'EXTRACOMUNITARIO  che ha trasmesso la cultura criminale all'italiano 10 mesi e l'italiano istigato dall'extracomunitario 20 anni.... attenzione genitori se i vostri figli hanno amicizie extracomunitarie,,0,corriere_della_sera,author_3699,1
UgydHW6FRsQcOZgAmDp4AaABAg,,775CC6cxmWw,False,author_3700,2026-05-21T08:35:50Z,2026-05-21T08:35:50Z,3,"Ok possono essere pochi 20 anni xchè Davide è ormai invalido x tutta la vita , loro i colpevoli dovrebbero essere condannati anche loro x tutta la vita in carcere ai lavori forzati x pagare la vittima a vita",,0,corriere_della_sera,author_3700,1
UgxlwxnJyXbmmIUi5dx4AaABAg,,775CC6cxmWw,False,author_3701,2026-05-21T08:55:11Z,2026-05-21T08:55:11Z,6,"Vent'anni? Pochi. Ma che almeno li scontino tutti, fino all'ultimo giorno",,0,corriere_della_sera,author_3701,0
Ugw3eUgReHAyv7e0J094AaABAg,,775CC6cxmWw,False,author_3702,2026-05-21T09:02:15Z,2026-05-21T09:02:15Z,5,Peccato non li abbiano condannati a morte,,0,corriere_della_sera,author_3702,1
UgxFVhFUUcVityfJJlB4AaABAg,,775CC6cxmWw,False,author_3265,2026-05-21T09:11:20Z,2026-05-21T09:11:20Z,1,E sono ancora pochi,,0,corriere_della_sera,author_3265,1
UgxmwdLUg2LpTmt1Sih4AaABAg,,775CC6cxmWw,False,author_3703,2026-05-21T09:17:00Z,2026-05-21T09:17:00Z,0,Bastardi ergastolo dobbiamo anche mantenere a sto stonzi,,0,corriere_della_sera,author_3703,1
UgwT6tYaed-JpFloEtx4AaABAg,,775CC6cxmWw,False,author_3262,2026-05-21T09:58:43Z,2026-05-21T09:58:43Z,1,Usano la tecnica delle iene! ma queste lo fanno per procacciarsi il cibo! Questi elementi 😱 invece lo fanno per divertirsi o per rubare.,,0,corriere_della_sera,author_3262,1
UgzWDUS1zRG-v9I9RlV4AaABAg,,775CC6cxmWw,False,author_1378,2026-05-21T10:06:33Z,2026-05-21T10:06:33Z,5,"Non capisco certa gente... Non i criminali, ma questo ragazzo... Ma come fai a perdonare una cosa del genere?",,0,corriere_della_sera,author_1378,0
UgyQkBrHlwQ68jkdLoF4AaABAg,,775CC6cxmWw,False,author_190,2026-05-21T10:19:42Z,2026-05-21T10:19:42Z,2,Troppa clemenza ci sta portando a fondo avete dato una passehiata che la vityima non potra piu fare😢,,0,corriere_della_sera,author_190,1
