comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgywGC9FpMHSAfvp2OF4AaABAg,,JnLp9NYdT1E,False,author_213,2026-05-21T14:38:37Z,2026-05-21T14:38:37Z,2,Mamma mia quanto godo! 🥂🍾 .,,0,corriere_della_sera,author_213,2,0,gold
UgxS7G6hYLlUJSjcHDF4AaABAg,,JnLp9NYdT1E,False,author_3592,2026-05-21T14:38:43Z,2026-05-21T14:38:43Z,7,C'è chi dovrebbe essere in galera per crimini contro l umanità ma è ancora in politica grazie alla magistratura politizzata,,0,corriere_della_sera,author_3592,2,0,gold
UgzuENQVdDxmHle1znx4AaABAg,,JnLp9NYdT1E,False,author_3255,2026-05-21T14:44:53Z,2026-05-21T14:44:53Z,0,Non era di sinistra.. ?,,0,corriere_della_sera,author_3255,2,0,gold
UgxS7G6hYLlUJSjcHDF4AaABAg.AX4BHz5k0f3AX4CSAUfqRv,UgxS7G6hYLlUJSjcHDF4AaABAg,JnLp9NYdT1E,True,author_3593,2026-05-21T14:48:51Z,2026-05-21T14:48:51Z,0,Essere socio di un prestanome della mafia per un sottosegretario alla giustizia e ancora al governo chi bisogna ringraziare?,UgxS7G6hYLlUJSjcHDF4AaABAg,1,corriere_della_sera,author_3593,2,0,gold
UgywkQobjdbi7EDyIxJ4AaABAg,,JnLp9NYdT1E,False,author_718,2026-05-21T14:56:46Z,2026-05-21T14:56:55Z,0,Questi ci fanno emigrare per importare immigra ti vanno aggrediti ovunque si presentano.,,0,corriere_della_sera,author_718,2,1,gold
UgxS7G6hYLlUJSjcHDF4AaABAg.AX4BHz5k0f3AX4DTQVOnpG,UgxS7G6hYLlUJSjcHDF4AaABAg,JnLp9NYdT1E,True,author_718,2026-05-21T14:57:46Z,2026-05-21T14:57:46Z,0,Se ti accuuffano ti politicizzano per bene nei lombi vedrai.,UgxS7G6hYLlUJSjcHDF4AaABAg,1,corriere_della_sera,author_718,2,1,gold
UgywGC9FpMHSAfvp2OF4AaABAg.AX4BH9uXDvDAX4EQmg7Aot,UgywGC9FpMHSAfvp2OF4AaABAg,JnLp9NYdT1E,True,author_3594,2026-05-21T15:06:09Z,2026-05-21T15:06:09Z,1,8 mesi??? Gli hanno fatto lo sconto😂,UgywGC9FpMHSAfvp2OF4AaABAg,1,corriere_della_sera,author_3594,2,0,gold
Ugxw2z425Ona94lQ9Nl4AaABAg,,JnLp9NYdT1E,False,author_1980,2026-05-21T15:57:29Z,2026-05-21T15:57:29Z,9,Se fosse stato di sinistra non sarebbe successo nulla!!!!🖤✌️🇮🇹,,0,corriere_della_sera,author_1980,2,0,gold
UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4OluHuEq_,UgzuENQVdDxmHle1znx4AaABAg,JnLp9NYdT1E,True,author_3595,2026-05-21T16:36:32Z,2026-05-21T16:36:32Z,1,"Come, era un fedelissimo della Meloniara è dici che che è di sx? ma voi altri Meloniari siete ancora accecati? Ma quando vi svegliate?",UgzuENQVdDxmHle1znx4AaABAg,1,corriere_della_sera,author_3595,2,1,gold
UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4QZB5qYg8,UgzuENQVdDxmHle1znx4AaABAg,JnLp9NYdT1E,True,author_3255,2026-05-21T16:52:09Z,2026-05-21T16:56:26Z,0,@user sinistri avete Salis Soumahoro Lucano ecc.. Voi sinistri dovete imparare il Rispetto per la Presidente del Consiglio che Rappresenta l'Italia. Ed eletta dal Popolo. Mentre i tuoi sinistri hanno governato senza esserlo.,UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4OluHuEq_,2,corriere_della_sera,author_3255,2,0,gold
Ugxw2z425Ona94lQ9Nl4AaABAg.AX4KIpJFGoFAX4RmetzZoG,Ugxw2z425Ona94lQ9Nl4AaABAg,JnLp9NYdT1E,True,author_3593,2026-05-21T17:02:52Z,2026-05-21T17:02:52Z,1,Neanche la notte di S. Silvestro non sarebbe successo nulla se fosse stato di sinistra,Ugxw2z425Ona94lQ9Nl4AaABAg,1,corriere_della_sera,author_3593,2,0,gold
Ugxw2z425Ona94lQ9Nl4AaABAg.AX4KIpJFGoFAX4Trmjpre6,Ugxw2z425Ona94lQ9Nl4AaABAg,JnLp9NYdT1E,True,author_3596,2026-05-21T17:21:02Z,2026-05-21T17:21:02Z,2,Se fosse stato un vero rappresentante dello stato allora si che non sarebbe successo tutto qua... Poi vedremo come andrà a finire con la bisteccheria d'Italia,Ugxw2z425Ona94lQ9Nl4AaABAg,1,corriere_della_sera,author_3596,2,0,gold
UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4Tyq_lC0a,UgzuENQVdDxmHle1znx4AaABAg,JnLp9NYdT1E,True,author_3596,2026-05-21T17:22:00Z,2026-05-21T17:22:00Z,0,Veramente cazzarola questa è una notizia,UgzuENQVdDxmHle1znx4AaABAg,1,corriere_della_sera,author_3596,2,0,gold
UgywGC9FpMHSAfvp2OF4AaABAg.AX4BH9uXDvDAX4U7Wud2R0,UgywGC9FpMHSAfvp2OF4AaABAg.AX4BH9uXDvDAX4EQmg7Aot,JnLp9NYdT1E,True,author_3596,2026-05-21T17:23:19Z,2026-05-21T17:23:19Z,0,@author_3594😂😂😂,UgywGC9FpMHSAfvp2OF4AaABAg.AX4BH9uXDvDAX4EQmg7Aot,2,corriere_della_sera,author_3596,2,0,gold
UgxS7G6hYLlUJSjcHDF4AaABAg.AX4BHz5k0f3AX4UWmNPIGQ,UgxS7G6hYLlUJSjcHDF4AaABAg,JnLp9NYdT1E,True,author_3596,2026-05-21T17:26:46Z,2026-05-21T17:26:46Z,0,Allora mi stai dicendo che non ci sono anche le toghe nere 😂😂😂,UgxS7G6hYLlUJSjcHDF4AaABAg,1,corriere_della_sera,author_3596,2,0,gold
UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4VOiT2YHZ,UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4OluHuEq_,JnLp9NYdT1E,True,author_3594,2026-05-21T17:34:24Z,2026-05-21T17:34:24Z,0,@user dire...mais😂,UgzuENQVdDxmHle1znx4AaABAg.AX4C-2DBpPfAX4OluHuEq_,2,corriere_della_sera,author_3594,2,0,gold
UgzUgxLcFn7Rg56kFMt4AaABAg,,JnLp9NYdT1E,False,author_53,2026-05-21T22:20:06Z,2026-05-21T22:20:06Z,0,Non ho mai visto un titolo per condanna definitiva per omicidio colposo di qualche politica distratta.,,0,corriere_della_sera,author_53,2,0,gold
UgzCUrir509WqZYyMu14AaABAg,,JnLp9NYdT1E,False,author_1560,2026-05-22T04:35:33Z,2026-05-22T04:35:33Z,0,In galera,,0,corriere_della_sera,author_1560,2,0,gold
UgzenF6O6rrhbfm8UBl4AaABAg,,JnLp9NYdT1E,False,author_3282,2026-05-22T05:49:18Z,2026-05-22T05:49:18Z,0,Viva la vittoria del NO....,,0,corriere_della_sera,author_3282,2,0,gold
UgyC4gEE7jtszkdcnN14AaABAg,,JnLp9NYdT1E,False,author_1831,2026-05-22T05:51:30Z,2026-05-22T05:51:30Z,0,Bene,,0,corriere_della_sera,author_1831,2,0,gold
UgyYkNsyuNUFof2HE354AaABAg,,JnLp9NYdT1E,False,author_1204,2026-05-22T06:38:26Z,2026-05-22T06:38:26Z,0,Un altro corrotto,,0,corriere_della_sera,author_1204,2,0,gold
Ugxw2z425Ona94lQ9Nl4AaABAg.AX4KIpJFGoFAX6GVPNDpBz,Ugxw2z425Ona94lQ9Nl4AaABAg,JnLp9NYdT1E,True,author_3597,2026-05-22T10:02:44Z,2026-05-22T10:02:44Z,0,@user aggiungiamo la santanche,Ugxw2z425Ona94lQ9Nl4AaABAg.AX4KIpJFGoFAX4Trmjpre6,2,corriere_della_sera,author_3597,2,0,gold
