comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyHayKenc-5mR0yIhN4AaABAg,,OxBp0sTnSsE,False,author_3343,2026-05-19T08:20:47Z,2026-05-19T08:20:47Z,12,"Siete stati dei grandi uomini ,sono orgoglioso che state qui in Italia e cercate di fare la differenza,vi abbraccio forte avanti così ❤",,0,corriere_della_sera,author_3343,0
UgxzcH1n186R9iXEeFd4AaABAg,,OxBp0sTnSsE,False,author_4061,2026-05-19T08:26:44Z,2026-05-19T08:26:44Z,4,Fatevi curare,,0,corriere_della_sera,author_4061,1
UgwQhSBWemf3bzCHUM14AaABAg,,OxBp0sTnSsE,False,author_4062,2026-05-19T08:35:07Z,2026-05-19T08:35:07Z,13,Grandi eroi❤,,0,corriere_della_sera,author_4062,0
UgwsL30yd-JHC9mW_ox4AaABAg,,OxBp0sTnSsE,False,author_4063,2026-05-19T08:35:20Z,2026-05-19T08:35:20Z,6,Grazie,,0,corriere_della_sera,author_4063,0
UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzOYWwdtoH,UgxzcH1n186R9iXEeFd4AaABAg,OxBp0sTnSsE,True,author_4064,2026-05-19T08:39:08Z,2026-05-19T08:39:08Z,0,Perché??,UgxzcH1n186R9iXEeFd4AaABAg,1,corriere_della_sera,author_4064,0
UgxKAPbN4-1c75dKrwJ4AaABAg,,OxBp0sTnSsE,False,author_4065,2026-05-19T08:41:20Z,2026-05-19T08:41:20Z,13,Hanno superato ...in quell'attimo ...le barriere della razza....dimostrando coraggio e solidarietà..un .plausoa questi 3 ragazzi..!!👏,,0,corriere_della_sera,author_4065,0
UgxJNWDo6RxgB-xF4it4AaABAg,,OxBp0sTnSsE,False,author_600,2026-05-19T08:43:57Z,2026-05-19T08:43:57Z,6,Bravissimi,,0,corriere_della_sera,author_600,0
UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzQZkbujXz,UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzOYWwdtoH,OxBp0sTnSsE,True,author_4061,2026-05-19T08:56:47Z,2026-05-19T08:56:47Z,2,"​author_7243' la cronaca e' piena di persone che arrivano dalle stesse aree geografiche che impazziscono improvvisamente, pertanto dovrebbero prima farsi curare in massa. Oltre che non andare sempre in ciabatte manco fossimo in spiaggia. La festa e' finita",UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzOYWwdtoH,2,corriere_della_sera,author_4061,1
UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzRTlVfQY1,UgxzcH1n186R9iXEeFd4AaABAg,OxBp0sTnSsE,True,author_4064,2026-05-19T09:04:42Z,2026-05-19T09:04:42Z,0,​author_4061 ahhh.. ho capito anche tu profilo psichico disturbato !!,UgxzcH1n186R9iXEeFd4AaABAg,1,corriere_della_sera,author_4064,1
UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzRTsMSQMM,UgxzcH1n186R9iXEeFd4AaABAg,OxBp0sTnSsE,True,author_4066,2026-05-19T09:04:43Z,2026-05-19T09:04:43Z,2,Ricordati  che  i buoni  e  cattivi  stanno  in tutte  le parti  compresi  anche  noi italiani  ci sono  parecchie persone  di loro che  conosco  che  lavorano  e non  rompono il  caxxo  a nessuno  poi naltra cosa  ognuno  si veste come  gli  pare,UgxzcH1n186R9iXEeFd4AaABAg,1,corriere_della_sera,author_4066,0
UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzTKlvwB64,UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzRTsMSQMM,OxBp0sTnSsE,True,author_4061,2026-05-19T09:20:57Z,2026-05-19T09:20:57Z,2,​author_4066 prova a viverci insieme poi mi racconti. Amo il popolo filippono ma questi vengono qui per odiarci. Sono le multinazionali che stanno elimina il popolo palestin che vogliono un europa dove cristiani e mussulmani si scannino come in questo fatto di cronaca. Leggi david icke. Saluti,UgxzcH1n186R9iXEeFd4AaABAg.AWzN7d59eXLAWzRTsMSQMM,2,corriere_della_sera,author_4061,1
UgznthS3UhUHVr7dnEF4AaABAg,,OxBp0sTnSsE,False,author_4067,2026-05-19T09:31:57Z,2026-05-19T09:31:57Z,7,"È inutile che tentate di fare gli eroi.      
 non",,0,corriere_della_sera,author_4067,1
UgzuHkPbHpqfJM4M8e14AaABAg,,OxBp0sTnSsE,False,author_2033,2026-05-19T09:40:02Z,2026-05-19T09:40:02Z,7,Bravi ragazzi!!!!!!!❤❤❤❤❤,,0,corriere_della_sera,author_2033,0
UgyaFM1GZVySAx5mlO94AaABAg,,OxBp0sTnSsE,False,author_4068,2026-05-19T09:55:45Z,2026-05-19T09:55:45Z,1,Grazie,,0,corriere_della_sera,author_4068,0
UgxGW5-RPNRtT3rkdkh4AaABAg,,OxBp0sTnSsE,False,author_4069,2026-05-19T10:08:51Z,2026-05-19T10:08:51Z,6,Cittadinanza onoraria subito....,,0,corriere_della_sera,author_4069,1
Ugzp9jgf-ja36HcPfUh4AaABAg,,OxBp0sTnSsE,False,author_4070,2026-05-19T10:08:56Z,2026-05-19T10:08:56Z,16,"Non hannobfermato proprio niente. Era già immobilizzato.
È la solita propaganda comunista che devecfifendere  i propri errori per continuare a perpetrarli",,0,corriere_della_sera,author_4070,1
Ugzp9jgf-ja36HcPfUh4AaABAg.AWzYpAQ4HoKAWzZoormE_R,Ugzp9jgf-ja36HcPfUh4AaABAg,OxBp0sTnSsE,True,author_4071,2026-05-19T10:17:37Z,2026-05-19T10:17:37Z,5,"Ah non sono stati loro, dicci come è andata tu che eri a Modena, perché eri a Modena vero?",Ugzp9jgf-ja36HcPfUh4AaABAg,1,corriere_della_sera,author_4071,1
Ugzp9jgf-ja36HcPfUh4AaABAg.AWzYpAQ4HoKAWz_JTcBJ8_,Ugzp9jgf-ja36HcPfUh4AaABAg.AWzYpAQ4HoKAWzZoormE_R,OxBp0sTnSsE,True,author_4070,2026-05-19T10:21:56Z,2026-05-19T10:21:56Z,3,"​author_7244, c'ero. 
Lo fermò l'italiano che e poi finito sui giornali.
Loro si sono accodati, col favirecdi stanpa e istituzioni che cercano sempre di rendere belli le liro risorse",Ugzp9jgf-ja36HcPfUh4AaABAg.AWzYpAQ4HoKAWzZoormE_R,2,corriere_della_sera,author_4070,1
Ugx6_8KrgNAhF7S0mcF4AaABAg,,OxBp0sTnSsE,False,author_4072,2026-05-19T10:25:42Z,2026-05-19T10:25:42Z,12,Dell’italiano invece ? Nessun posto per lui,,0,corriere_della_sera,author_4072,1
