comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyRh-wGmgKA7pUzCFV4AaABAg,,R7YVWojNDXA,False,author_3966,2026-05-19T17:01:51Z,2026-05-19T17:01:51Z,0,❤❤❤,,0,corriere_della_sera,author_3966,0
UgzVVJ3FBHCBU7SmbWR4AaABAg,,R7YVWojNDXA,False,author_3967,2026-05-19T17:18:53Z,2026-05-19T17:18:53Z,0,💙💙💙grande,,0,corriere_della_sera,author_3967,0
UgwHwSJgn1aVQ-VLvOJ4AaABAg,,R7YVWojNDXA,False,author_3407,2026-05-19T17:39:17Z,2026-05-19T17:39:17Z,3,Un gentiluomo rimane per sempre tale ❤❤❤,,0,corriere_della_sera,author_3407,0
Ugx_F-eoOM0S1rmTYBl4AaABAg,,R7YVWojNDXA,False,author_3968,2026-05-19T17:45:04Z,2026-05-19T17:45:04Z,12,"Sempre a parlare male di qualcuno!
Darderi era così confuso davanti a quello che lo aspettava che avrebbe dovuto essere accompagnato lui!",,0,corriere_della_sera,author_3968,0
Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-R6gy0-7Q,Ugx_F-eoOM0S1rmTYBl4AaABAg,R7YVWojNDXA,True,author_3969,2026-05-19T18:20:47Z,2026-05-19T18:20:47Z,3,Hai ragione.,Ugx_F-eoOM0S1rmTYBl4AaABAg,1,corriere_della_sera,author_3969,0
Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-T8acfqj2,Ugx_F-eoOM0S1rmTYBl4AaABAg,R7YVWojNDXA,True,author_2751,2026-05-19T18:38:32Z,2026-05-19T18:38:32Z,7,"Non ha alibi, e' inutile diffonderlo, quando si entra in campo sono tutti confusi , pieni di paura, ma l'educazione se c'è l'hai la metti in pratica,se non........",Ugx_F-eoOM0S1rmTYBl4AaABAg,1,corriere_della_sera,author_2751,1
Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-TdtAvUeC,Ugx_F-eoOM0S1rmTYBl4AaABAg,R7YVWojNDXA,True,author_3970,2026-05-19T18:42:56Z,2026-05-19T18:42:56Z,1,"Avrà dimenticato quel po' di cervello che ha negli spogliatoi.... 
Indifendibile cafone.",Ugx_F-eoOM0S1rmTYBl4AaABAg,1,corriere_della_sera,author_3970,1
UgyBUUkVfGVeY7VMttR4AaABAg,,R7YVWojNDXA,False,author_3971,2026-05-19T18:57:14Z,2026-05-19T18:57:14Z,3,GRANDE SINNER❤❤❤🎉🎉🎉🎾🎾🎾🦊🦊🦊🥕🥕🥕🇮🇹🇮🇹🇮🇹,,0,corriere_della_sera,author_3971,0
UgzuWj1NZORjeSnr8wF4AaABAg,,R7YVWojNDXA,False,author_3972,2026-05-19T19:27:13Z,2026-05-19T19:27:13Z,10,"Penso non l ha fatto a posta Dardari, si è preso dai emozione. GRANDE SINNER. ❤",,0,corriere_della_sera,author_3972,0
Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-eZYhp63Q,Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-T8acfqj2,R7YVWojNDXA,True,author_3973,2026-05-19T20:27:04Z,2026-05-19T20:27:04Z,2,"​author_2751 non averne a male, ma potevi risparmiarti questo commento... non lo conosci e non sai cosa può passare per la testa di una persona in certi momenti... ci giocherei le ***** che Darderi non ha fatto minimamente apposta visto che si sta parlando di ragazzini... potevi decisamente risparmiartelo questo commento piccato e inutile...",Ugx_F-eoOM0S1rmTYBl4AaABAg.AX-N14mMb18AX-T8acfqj2,2,corriere_della_sera,author_3973,0
