comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxTW9Ujrf-LV-R9HG14AaABAg,,V6jWH4n9jkA,False,author_3857,2026-05-20T14:56:06Z,2026-05-20T14:56:06Z,16,"Sei una brava persona....io penso che se vai a trovarla ne sarà felice.,..poverina, avrà anche bisogno di parlare con qualcuno.....grazie per quello che hai fatto ❤❤❤",,0,corriere_della_sera,author_3857,0
Ugz_uM1W00MjPq6x0fx4AaABAg,,V6jWH4n9jkA,False,author_3858,2026-05-20T14:57:47Z,2026-05-20T14:57:47Z,2,😢😢😢💪💪💪🍀🍀🍀,,0,corriere_della_sera,author_3858,0
UgxFGzN-nQVSBlmJKb14AaABAg,,V6jWH4n9jkA,False,author_253,2026-05-20T15:26:45Z,2026-05-20T15:26:45Z,3,😢😢❤❤❤❤,,0,corriere_della_sera,author_253,0
UgxS6zW-sV7l2fc9NCl4AaABAg,,V6jWH4n9jkA,False,author_3859,2026-05-20T16:00:19Z,2026-05-20T16:00:19Z,3,❤,,0,corriere_della_sera,author_3859,0
Ugwx14rKGVdmQmXthYN4AaABAg,,V6jWH4n9jkA,False,author_491,2026-05-20T16:32:19Z,2026-05-20T16:32:19Z,12,"Che bella persona, ce ne fossero!",,0,corriere_della_sera,author_491,0
UgxfjM3vc-e5Va5cOC54AaABAg,,V6jWH4n9jkA,False,author_3860,2026-05-20T16:44:14Z,2026-05-20T16:44:14Z,1,❤,,0,corriere_della_sera,author_3860,0
UgxYOfzYSDd8Cz_3wz94AaABAg,,V6jWH4n9jkA,False,author_3861,2026-05-20T17:04:57Z,2026-05-20T17:04:57Z,1,🫶🏻👏🏻,,0,corriere_della_sera,author_3861,0
UgzuJSJYEAbLFRILRpJ4AaABAg,,V6jWH4n9jkA,False,author_3862,2026-05-20T17:33:12Z,2026-05-20T17:33:12Z,2,Angelo❤😊,,0,corriere_della_sera,author_3862,0
UgyfpaOEwjAo_FOe-_l4AaABAg,,V6jWH4n9jkA,False,author_1704,2026-05-20T18:24:01Z,2026-05-20T18:24:01Z,2,❤❤❤❤❤❤❤❤❤❤❤❤,,0,corriere_della_sera,author_1704,0
UgwNswosgTIpn7GFUUF4AaABAg,,V6jWH4n9jkA,False,author_3609,2026-05-20T18:54:17Z,2026-05-20T18:54:17Z,7,Rispetto per questa persona❤,,0,corriere_della_sera,author_3609,0
UgyqaJvfHOpxMq5yt9p4AaABAg,,V6jWH4n9jkA,False,author_3863,2026-05-20T20:18:09Z,2026-05-20T20:18:09Z,5,Grande angelo,,0,corriere_della_sera,author_3863,0
UgweQoqaIcaZScE4ubN4AaABAg,,V6jWH4n9jkA,False,author_83,2026-05-21T02:17:12Z,2026-05-21T02:17:12Z,1,Culture affini e culture non...quelle non affini sono tutte risorse psicologicamente instabili,,0,corriere_della_sera,author_83,1
UgzNdo5-s6lY5W0OYvR4AaABAg,,V6jWH4n9jkA,False,author_3864,2026-05-21T04:34:35Z,2026-05-21T04:34:35Z,1,"Ecco, questo terrorista andrebbe consegnato al Re del Marocco",,0,corriere_della_sera,author_3864,1
UgwYh9mateFBTofTbpd4AaABAg,,V6jWH4n9jkA,False,author_3865,2026-05-21T11:00:28Z,2026-05-21T11:00:28Z,0,Grazie per il tuo intervento sicuramente hai salutato la vita a quella persona veramente sfortunata grazie grazie ancora ❤❤❤❤❤,,0,corriere_della_sera,author_3865,0
UgzDt9ibaLhzD2qmU_l4AaABAg,,V6jWH4n9jkA,False,author_3866,2026-05-21T11:26:26Z,2026-05-21T11:26:26Z,1,Sicuramente se andrai  a trovarla sarà felicissima le hai salvato la vita...complimenti per la brava persona che sei,,0,corriere_della_sera,author_3866,0
UgyQW2_cy6VtlhADpzN4AaABAg,,V6jWH4n9jkA,False,author_3867,2026-05-21T14:28:26Z,2026-05-21T14:28:26Z,1,❤,,0,corriere_della_sera,author_3867,0
UgxqDRWYdwDM5pPWLwJ4AaABAg,,V6jWH4n9jkA,False,author_3868,2026-05-22T13:16:49Z,2026-05-22T13:16:49Z,1,"È uscito un medico che ha detto di essere stato lui a fermare l'emorragia subito dopo l'attacco jihadista.
Chi dei due?",,0,corriere_della_sera,author_3868,1
UgzsYFit_biXt8u8uFZ4AaABAg,,V6jWH4n9jkA,False,author_3869,2026-05-23T05:46:21Z,2026-05-23T05:46:21Z,2,Grazie per ciò che hai fatto...con il cuore ❤,,0,corriere_della_sera,author_3869,0
