comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzQpXKF_hLaXIDIttl4AaABAg,,ZlwqTCowc8Y,False,author_917,2026-05-21T16:41:21Z,2026-05-21T16:41:21Z,9,Ergastolo,,0,corriere_della_sera,author_917,1
UgxTejC5kEraikb3a554AaABAg,,ZlwqTCowc8Y,False,author_3576,2026-05-21T16:53:10Z,2026-05-21T16:53:10Z,0,Mi. Dispiace. Ma. Tuo fratello. E responsabile di. Questo. Vergognoso. Attentato !!! Deve. Pagare. !!!!   Spero di cuore che si. Convincerà  di. Cosa e. Successo e cosa ha fatto. !!!!!  Deve. Stare attento che. Prima o poi. Finisce  in qualche. Muro. Di cemento. !!!,,0,corriere_della_sera,author_3576,1
UgxIn-CLQBNLK1prYCh4AaABAg,,ZlwqTCowc8Y,False,author_3577,2026-05-21T16:59:00Z,2026-05-21T16:59:00Z,0,Impiccagione,,0,corriere_della_sera,author_3577,1
Ugxs8koiV2cOw1YaS0p4AaABAg,,ZlwqTCowc8Y,False,author_3578,2026-05-21T17:19:18Z,2026-05-21T17:19:18Z,14,L'avvocato vi ha consigliati bene,,0,corriere_della_sera,author_3578,0
UgxsZT9ACDW-AKb9b154AaABAg,,ZlwqTCowc8Y,False,author_709,2026-05-21T17:39:08Z,2026-05-21T17:39:08Z,10,Ditelo ai feriti che pagano ti tasca propria.,,0,corriere_della_sera,author_709,1
Ugxs8koiV2cOw1YaS0p4AaABAg.AX4Tf0wt1kFAX4m-RFYt_A,Ugxs8koiV2cOw1YaS0p4AaABAg,ZlwqTCowc8Y,True,author_3579,2026-05-21T20:08:14Z,2026-05-21T20:08:14Z,1,"Adesso, a parte la tua considerazione, cosa avrebbe dovuto dire questa donna?",Ugxs8koiV2cOw1YaS0p4AaABAg,1,corriere_della_sera,author_3579,0
UgwGtGVk4onQtg08zxV4AaABAg,,ZlwqTCowc8Y,False,author_3580,2026-05-21T20:14:23Z,2026-05-21T20:14:30Z,4,"La falsità secondo me, ha una voce molto nota per alcuni. Ad esempio un Piagnisteo tipico di alcune determinate persone…
 si sente nel tipico tremolio dell voce pronta a fare lo starnazzo tragico al momento opportuno con tanto di ‘battito del petto’ moto ondulatorio di tutto il corpo avanti e indietro e colpi di pugno in testa  auto inflitti che ho constatato, ha sempre del ridicolo. 
Soprattutto nei video di alcuni passati telegiornali o documentari. 
Sentito e risentito per decenni e fatto ad hoc su :
Bare vuote
Corpi inesistenti 
Morti mai accadute
‘Ingiustizie’ inventate e mai subite. 

E più sono grandi le menzogne più grande e’ la messa in scena. 

La gente ne ha le ‘tasche’ piene. 
Non è possibile prendere in giro tutti per anni pensando che le persone non se ne accorgano mai. 
Mo basta…",,0,corriere_della_sera,author_3580,1
Ugzy9RNjGVjiArs05DJ4AaABAg,,ZlwqTCowc8Y,False,author_3581,2026-05-21T20:29:27Z,2026-05-21T20:29:27Z,3,"Non si può giustificare,un ragazzo che odia e cerca di uccide in una maniera così feroce,non più essere perdonato,la reemigrazine e unica cosa che può fare, la famiglia non può chiedere perdono ,quando tenti di uccidere non puoi restare sul suolo italiano ti sei bruciato la possibilità.",,0,corriere_della_sera,author_3581,1
UgyiD5yyRBkpZX8E3uJ4AaABAg,,ZlwqTCowc8Y,False,author_3582,2026-05-21T21:53:51Z,2026-05-21T21:53:51Z,0,"A xasa vostra, dovrete aver paura a girare",,0,corriere_della_sera,author_3582,1
UgxsZT9ACDW-AKb9b154AaABAg.AX4VwMkTMUqAX5Odp8xsdF,UgxsZT9ACDW-AKb9b154AaABAg,ZlwqTCowc8Y,True,author_1831,2026-05-22T01:54:41Z,2026-05-22T01:54:41Z,0,"Dovrebbero...in caso contrario,Sara il ns  governo a farlo, togliendogli dalle casse statali,ovvero le nostre! dopodiché l' amico di.  Dovra' con la sua permanneza i carcere,restituire il danno all erario",UgxsZT9ACDW-AKb9b154AaABAg,1,corriere_della_sera,author_1831,1
