comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxbqFT6d7f4oKRCF594AaABAg,,k4f4TCumc_M,False,author_3601,2026-05-21T05:59:27Z,2026-05-21T05:59:27Z,3,Se li dava in benefi enza invece che nell orologio era meglio😊,,0,corriere_della_sera,author_3601,1
UgxEKy-funP7X_T0VvZ4AaABAg,,k4f4TCumc_M,False,author_3821,2026-05-21T06:01:30Z,2026-05-21T06:01:30Z,7,che senso ha portare un orologio da 100 mila euro,,0,corriere_della_sera,author_3821,0
UgyVwrApYV-h6MqRoQh4AaABAg,,k4f4TCumc_M,False,author_3822,2026-05-21T06:32:32Z,2026-05-21T06:32:32Z,2,"Status simbol ecco cosè  diventato l'orologio, serve a differenziare  iO  POSSO TU NO . L'orario lo trovi sul telefono o sul campanile se vuoi .",,0,corriere_della_sera,author_3822,1
UgzYJ2QuISUZZW85fS54AaABAg,,k4f4TCumc_M,False,author_3823,2026-05-21T06:39:39Z,2026-05-21T06:39:39Z,0,Che dovremmo vedere?,,0,corriere_della_sera,author_3823,0
UgwPzQAB8YFS7mu-fv14AaABAg,,k4f4TCumc_M,False,author_87,2026-05-21T07:20:11Z,2026-05-21T07:20:11Z,1,🇮🇱☝️,,0,corriere_della_sera,author_87,1
UgyVwrApYV-h6MqRoQh4AaABAg.AX3Je35t610AX3gWb-h25Y,UgyVwrApYV-h6MqRoQh4AaABAg,k4f4TCumc_M,True,author_1378,2026-05-21T10:01:06Z,2026-05-21T10:01:06Z,1,Mi sembra una posizione tipica degli invidiosi... Ti ha tolto il mangiare di bocca? No e allora perchè dovresti metterci questo livore ..,UgyVwrApYV-h6MqRoQh4AaABAg,1,corriere_della_sera,author_1378,0
UgxEKy-funP7X_T0VvZ4AaABAg.AX3G5eeeNRfAX3gZ5x7T25,UgxEKy-funP7X_T0VvZ4AaABAg,k4f4TCumc_M,True,author_1378,2026-05-21T10:01:26Z,2026-05-21T10:01:26Z,1,Xchè no?,UgxEKy-funP7X_T0VvZ4AaABAg,1,corriere_della_sera,author_1378,0
UgylTXOzduCQH6G-Qvp4AaABAg,,k4f4TCumc_M,False,author_3824,2026-05-21T10:03:00Z,2026-05-21T10:03:00Z,0,"quello va in giro con una casa al braccio e i morti di fame che sgobbano per le bricioline lo difendono
che rincojonita la classe operaia",,0,corriere_della_sera,author_3824,1
Ugx9x8NuateLZeIrdGt4AaABAg,,k4f4TCumc_M,False,author_3825,2026-05-21T10:07:48Z,2026-05-21T10:07:48Z,0,"Detto che ognuno può investire i suoi soldi come gli pare, se guadagnati onestamente, ritengo che ostentare un oggetto del genere, con la crisi economica che c'è  in giro, dovrebbe costituire reato di istigazione a delinquere.",,0,corriere_della_sera,author_3825,0
UgyVwrApYV-h6MqRoQh4AaABAg.AX3Je35t610AX3hKhEmsml,UgyVwrApYV-h6MqRoQh4AaABAg.AX3Je35t610AX3gWb-h25Y,k4f4TCumc_M,True,author_3824,2026-05-21T10:08:14Z,2026-05-21T10:08:14Z,0,"author_1378 ovviamente, se ti accaparri le risorse di mezzo mondo ne rimangono meno per gli altri, tontolone
poi invidia significa avere il desiderio di essere nella sua posizione cioè di accaparratore seriale per sfoggiare e dominare sugli altri che è tutta una tua supposizione possibilmente da mer doso malriuscito",UgyVwrApYV-h6MqRoQh4AaABAg.AX3Je35t610AX3gWb-h25Y,2,corriere_della_sera,author_3824,1
UgxEKy-funP7X_T0VvZ4AaABAg.AX3G5eeeNRfAX3iVJYN7Kz,UgxEKy-funP7X_T0VvZ4AaABAg,k4f4TCumc_M,True,author_53,2026-05-21T10:18:24Z,2026-05-21T10:18:24Z,3,Vuoi vietare gli orologi costosi?😂😂,UgxEKy-funP7X_T0VvZ4AaABAg,1,corriere_della_sera,author_53,0
UgyVwrApYV-h6MqRoQh4AaABAg.AX3Je35t610AX3o7t7MeL0,UgyVwrApYV-h6MqRoQh4AaABAg,k4f4TCumc_M,True,author_3826,2026-05-21T11:07:38Z,2026-05-21T11:07:38Z,0,author_3824 Lei è talmente stupidì che è impossibile risponderle.,UgyVwrApYV-h6MqRoQh4AaABAg,1,corriere_della_sera,author_3826,1
UgzJyHoCHQ1fGC6TtPl4AaABAg,,k4f4TCumc_M,False,author_3826,2026-05-21T11:13:27Z,2026-05-21T11:13:27Z,0,"Cominciare una corposa, puntualissima e senza sconti remigrazione degli stranieri illegali.
Introdurre per TUTTI GLI IMMIGRATI la cittadinanza condizionata così che TUTTI, prime seconde fino alle centesime generazione, possano vedere la cittadinanza revocata qualora delinquono o non si allineano con i valori di chi li sta OSPITANDO. 
Solo così torniamo padroni a casa nostra….con il risultato che il paese sarà più sicuro e che gli immigrati per bene vivano in condizioni migliori pure per loro.",,0,corriere_della_sera,author_3826,1
UgyAp6Sj4jesgAiqwM94AaABAg,,k4f4TCumc_M,False,author_3369,2026-05-21T15:22:03Z,2026-05-21T15:22:16Z,1,A questi ladri gli dice sempre bene non vengono mai presi sti maledetti,,0,corriere_della_sera,author_3369,1
UgzcTWZsCm-PI0wKbuR4AaABAg,,k4f4TCumc_M,False,author_3827,2026-05-21T18:09:37Z,2026-05-21T18:09:37Z,0,NEI FORNIIII.,,0,corriere_della_sera,author_3827,1
Ugxiw0s1gZXlge8KouZ4AaABAg,,k4f4TCumc_M,False,author_3828,2026-05-21T19:16:01Z,2026-05-21T19:16:01Z,0,È come parcheggiare una Ferrari a Cerignola di notte e in un posto buio....magari potrebbe succedere che non la trovi più la mattina! O è solo una mia impressione?😂😂😂😂,,0,corriere_della_sera,author_3828,1
UgzyDucvOm1WoDuh90d4AaABAg,,k4f4TCumc_M,False,author_3829,2026-05-21T19:30:49Z,2026-05-21T19:30:49Z,0,"Non me ne può fregare de meno , gli sta bene 😂",,0,corriere_della_sera,author_3829,0
UgxM-HgjXjai3-EfLFF4AaABAg,,k4f4TCumc_M,False,author_3770,2026-05-22T05:32:16Z,2026-05-22T05:32:16Z,0,Gentaglia pericolosa parassita,,0,corriere_della_sera,author_3770,1
Ugzo2UmoiD1MAGF5yN14AaABAg,,k4f4TCumc_M,False,author_3830,2026-05-27T19:56:32Z,2026-05-27T19:56:32Z,0,Pure i francesi.......,,0,corriere_della_sera,author_3830,1
