comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgyhvHXTSakMkrUE4WF4AaABAg,,mPhV_I9T4vc,False,author_4216,2026-05-17T17:03:32Z,2026-05-17T17:03:32Z,1,Peccato!!,,0,corriere_della_sera,author_4216,1,0,gold
UgzU16_wKo26EZ6iSQZ4AaABAg,,mPhV_I9T4vc,False,author_4010,2026-05-17T17:24:21Z,2026-05-17T17:24:21Z,2,Ora la smetterà con il ridicolo piagnisteo su e giù per l'Italia,,0,corriere_della_sera,author_4010,1,1,gold
UgyhvHXTSakMkrUE4WF4AaABAg.AWv8g6olczAAWvBmRIzLx5,UgyhvHXTSakMkrUE4WF4AaABAg,mPhV_I9T4vc,True,author_41,2026-05-17T17:30:37Z,2026-05-17T17:30:37Z,0,Non è peccato!,UgyhvHXTSakMkrUE4WF4AaABAg,1,corriere_della_sera,author_41,1,0,gold
UgxtMQG3s7A3rpIsDDB4AaABAg,,mPhV_I9T4vc,False,author_4217,2026-05-17T17:31:08Z,2026-05-17T17:31:08Z,0,...e chi è questa ? 😂😂😂 E di Tirana o Durazzo ? 😂😂😂,,0,corriere_della_sera,author_4217,1,1,gold
UgwR3jnFEBdYZnAr3It4AaABAg,,mPhV_I9T4vc,False,author_4218,2026-05-17T17:39:36Z,2026-05-17T17:39:36Z,4,Non è obiettiva è una fanatica una volta tanto w Trump,,0,corriere_della_sera,author_4218,1,1,gold
UgyPRWDxKloXbwmvTKd4AaABAg,,mPhV_I9T4vc,False,author_189,2026-05-17T18:37:24Z,2026-05-17T18:37:24Z,1,Sarà un giudice di origine italiana,,0,corriere_della_sera,author_189,1,0,gold
Ugz1sjfiZdExHpvC7XF4AaABAg,,mPhV_I9T4vc,False,author_3617,2026-05-17T19:00:23Z,2026-05-17T19:00:23Z,2,Grazie agli italiani che hanno votato no al referendum ci troviamo questi bravissimi giudici anti italiani,,0,corriere_della_sera,author_3617,1,0,gold
Ugy0wQX4EvcJHZsk9XB4AaABAg,,mPhV_I9T4vc,False,author_4219,2026-05-17T19:12:28Z,2026-05-17T19:12:28Z,0,Maledetta delinquente,,0,corriere_della_sera,author_4219,1,1,gold
Ugyu8EQGGiB4oBSTqQN4AaABAg,,mPhV_I9T4vc,False,author_3337,2026-05-17T19:37:39Z,2026-05-17T19:37:39Z,2,Good job man❤😂🎉,,0,corriere_della_sera,author_3337,1,0,gold
UgzFlO9tw_sYq9aR0I54AaABAg,,mPhV_I9T4vc,False,author_53,2026-05-17T22:46:09Z,2026-05-17T22:46:09Z,3,Anche loro hanno i giudici democratici,,0,corriere_della_sera,author_53,1,0,gold
UgzFlO9tw_sYq9aR0I54AaABAg.AWvktWRcavjAWwZjYlBJ7Q,UgzFlO9tw_sYq9aR0I54AaABAg,mPhV_I9T4vc,True,author_3099,2026-05-18T06:19:11Z,2026-05-18T06:19:11Z,1,Chiamali con il loro vero nome ....giudici corrotti,UgzFlO9tw_sYq9aR0I54AaABAg,1,corriere_della_sera,author_3099,1,1,gold
UgzyT7u_ns3Ow0IlgM94AaABAg,,mPhV_I9T4vc,False,author_4220,2026-05-18T08:07:19Z,2026-05-18T08:07:19Z,0,"Gente se trump finisce il mandato prima a Lei gli faranno un monumento,come è giusto che sia, invito la seguente F.A. a denunciarlo per discriminazione..e frode sottobanco.",,0,corriere_della_sera,author_4220,1,0,gold
UgzYNJHZLnTXEDoMGQ94AaABAg,,mPhV_I9T4vc,False,author_4221,2026-05-18T09:58:21Z,2026-05-18T09:58:21Z,0,MALEDETTA SCAPPATA DI CASA.,,0,corriere_della_sera,author_4221,1,1,gold
UgwhI_xp2G5KKhRJ3nF4AaABAg,,mPhV_I9T4vc,False,author_4222,2026-05-18T10:58:38Z,2026-05-18T10:58:38Z,0,Che peccato.,,0,corriere_della_sera,author_4222,1,0,gold
UgxB_KEyIR9e2k7rcQ94AaABAg,,mPhV_I9T4vc,False,author_4223,2026-05-18T15:11:06Z,2026-05-18T15:11:06Z,0,Cantano bella ciao anche in America,,0,corriere_della_sera,author_4223,1,0,gold
UgzFlO9tw_sYq9aR0I54AaABAg.AWvktWRcavjAWxaBEBf9Cr,UgzFlO9tw_sYq9aR0I54AaABAg.AWvktWRcavjAWwZjYlBJ7Q,mPhV_I9T4vc,True,author_4224,2026-05-18T15:51:04Z,2026-05-18T15:51:04Z,0,"E certo, voi ve ne intendete tanto di corruzione eh?? Dai Francesca sempre con te!!",UgzFlO9tw_sYq9aR0I54AaABAg.AWvktWRcavjAWwZjYlBJ7Q,2,corriere_della_sera,author_4224,1,0,gold
