comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugz_c63jUvTQd4Rf4gR4AaABAg,,mdDSXjkKuQY,False,author_4021,2026-05-19T11:42:17Z,2026-05-19T11:42:17Z,3,Impiccatelo,,0,corriere_della_sera,author_4021,1
UgwWqieiFWxc21wPlcN4AaABAg,,mdDSXjkKuQY,False,author_4022,2026-05-19T11:57:52Z,2026-05-19T11:57:52Z,1,te lo darei io il disturbo bastardo,,0,corriere_della_sera,author_4022,1
Ugz_c63jUvTQd4Rf4gR4AaABAg.AWziVw1DYlIAWzkZeKAOEh,Ugz_c63jUvTQd4Rf4gR4AaABAg,mdDSXjkKuQY,True,author_247,2026-05-19T12:00:16Z,2026-05-19T12:00:16Z,0,Esatto,Ugz_c63jUvTQd4Rf4gR4AaABAg,1,corriere_della_sera,author_247,1
UgzD26mEqmoTrkT5nxh4AaABAg,,mdDSXjkKuQY,False,author_2403,2026-05-19T12:20:41Z,2026-05-19T12:20:41Z,2,Speriamo non ci sia da mantenerlo più di tanto....,,0,corriere_della_sera,author_2403,1
UgxOI0ik-RGyhpy0tS14AaABAg,,mdDSXjkKuQY,False,author_213,2026-05-19T12:25:52Z,2026-05-19T12:25:52Z,1,"E anche inutile fare notare che con i manicomi aperti non sarebbe successo quello che e' successo,e tre persone non lotterebbero nel reparto di rianimazione, a pensare male si fa' peccato diceva qualcuno ma spesso ci si azzecca, non vorrei che chi voto la legge Basaglia voleva arrivavamo dove siamo una società senza regole dove regna l'anarchia e la pazzia legalizzata",,0,corriere_della_sera,author_213,1
Ugz_c63jUvTQd4Rf4gR4AaABAg.AWziVw1DYlIAWzoHghSS1v,Ugz_c63jUvTQd4Rf4gR4AaABAg,mdDSXjkKuQY,True,author_213,2026-05-19T12:32:46Z,2026-05-19T12:32:46Z,0,C'è ne molti evidentemente da chi lo seguiva per gli squilibri psichiatrici ed era due anni che l'aveva perso di vista fino a domenica,Ugz_c63jUvTQd4Rf4gR4AaABAg,1,corriere_della_sera,author_213,0
UgxOI0ik-RGyhpy0tS14AaABAg.AWznVADw_iyAWzrLML5cXD,UgxOI0ik-RGyhpy0tS14AaABAg,mdDSXjkKuQY,True,author_150,2026-05-19T12:59:29Z,2026-05-19T12:59:29Z,2,Scuse per sconto di pena.,UgxOI0ik-RGyhpy0tS14AaABAg,1,corriere_della_sera,author_150,1
UgyYtf2oEEpJbVbr8cB4AaABAg,,mdDSXjkKuQY,False,author_150,2026-05-19T13:01:29Z,2026-05-19T13:01:29Z,4,"Se ci volgiamo prendere in giro, facciamo finta che sia sono un matto.
Ma non lo è.
Domani ce ne sarà un altro, sarà matto anche lui?",,0,corriere_della_sera,author_150,1
UgxagpwmKi8i8LfOx_94AaABAg,,mdDSXjkKuQY,False,author_4023,2026-05-19T13:01:53Z,2026-05-19T13:01:53Z,6,"Ti pareva che non la buttavano sul lato della pazzia, sconti di pena a valanga e le vittime pagano con doppio dolore le conseguenze.",,0,corriere_della_sera,author_4023,1
Ugx71KV1920qObBcrNR4AaABAg,,mdDSXjkKuQY,False,author_4024,2026-05-19T13:06:07Z,2026-05-19T13:06:07Z,2,Piazza Venezia al balcone,,0,corriere_della_sera,author_4024,0
UgweX8AXqPlm_Dzp9Yt4AaABAg,,mdDSXjkKuQY,False,author_2106,2026-05-19T13:14:04Z,2026-05-19T13:14:23Z,4,Il vittimismo mi ha veramente veramente esasperato…,,0,corriere_della_sera,author_2106,1
UgweX8AXqPlm_Dzp9Yt4AaABAg.AWzt0BdxWfhAWzuRRZabl-,UgweX8AXqPlm_Dzp9Yt4AaABAg,mdDSXjkKuQY,True,author_213,2026-05-19T13:26:32Z,2026-05-19T13:26:32Z,1,"Non lo dica a me' quanto mi dà fastidio "" vittimismo""",UgweX8AXqPlm_Dzp9Yt4AaABAg,1,corriere_della_sera,author_213,1
UgxagpwmKi8i8LfOx_94AaABAg.AWzrbwPKeERAWzvOyKW_vr,UgxagpwmKi8i8LfOx_94AaABAg,mdDSXjkKuQY,True,author_2643,2026-05-19T13:34:56Z,2026-05-19T13:34:56Z,0,Era seguito veramente 😂,UgxagpwmKi8i8LfOx_94AaABAg,1,corriere_della_sera,author_2643,1
UgxOI0ik-RGyhpy0tS14AaABAg.AWznVADw_iyAWzvSb8DAyC,UgxOI0ik-RGyhpy0tS14AaABAg,mdDSXjkKuQY,True,author_1465,2026-05-19T13:35:25Z,2026-05-19T13:35:25Z,2,Le chiavi in mare,UgxOI0ik-RGyhpy0tS14AaABAg,1,corriere_della_sera,author_1465,1
Ugwupsm5bi-uF5hAOEl4AaABAg,,mdDSXjkKuQY,False,author_4025,2026-05-19T14:08:23Z,2026-05-19T14:08:23Z,1,Ma che disturbato !!!!!!,,0,corriere_della_sera,author_4025,1
