comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy_IwutGzaCb3_Y9at4AaABAg,,-fKk9yN0UQo,False,author_1706,2026-05-18T15:50:12Z,2026-05-18T15:50:56Z,29,"Si, adesso sono tutti matti.. Sono criminali no matti...È se ci sono tanti matti criminali in giro, allora riapriamo I manicomi...",,0,il_gazzettino,author_1706,1
UgyVLN9LoZMqYp-sr_B4AaABAg,,-fKk9yN0UQo,False,author_8,2026-05-18T16:17:26Z,2026-05-18T16:17:33Z,4,Al governo...non lo si distinguerebbe affatto.,,0,il_gazzettino,author_8,1
Ugx0-xXejh6Ra_ObScd4AaABAg,,-fKk9yN0UQo,False,author_6430,2026-05-18T16:44:37Z,2026-05-18T16:44:37Z,10,visto che vuol dire chiudere i manicomi?,,0,il_gazzettino,author_6430,1
UgyPpvC7YB0LxkqsOtB4AaABAg,,-fKk9yN0UQo,False,author_959,2026-05-18T17:41:48Z,2026-05-18T17:41:48Z,0,Andate affare in cxxx tutti malati di mente,,0,il_gazzettino,author_959,1
UgxftLjsK0_O9PxeTiR4AaABAg,,-fKk9yN0UQo,False,author_6732,2026-05-18T17:47:59Z,2026-05-18T17:47:59Z,5,"Ma tutti adesso sono usciti fuori di testa,aia",,0,il_gazzettino,author_6732,1
UgzEd3h-LrSpR4MvsYx4AaABAg,,-fKk9yN0UQo,False,author_6733,2026-05-18T18:28:55Z,2026-05-18T18:28:55Z,8,"😂😂
Siccome sono Nord africani allora per giustificare si dice che sono matti

😂😂",,0,il_gazzettino,author_6733,1
UgyX9g89eOf056DEVqF4AaABAg,,-fKk9yN0UQo,False,author_6734,2026-05-18T18:30:02Z,2026-05-18T18:30:02Z,21,Basta definire una persona con problemi mentali quando è soltanto un delinquente,,0,il_gazzettino,author_6734,1
UgwVhgqP1Wv666m3LSV4AaABAg,,-fKk9yN0UQo,False,author_6735,2026-05-18T18:32:42Z,2026-05-18T18:32:42Z,18,"Ma basta! Sono criminali, PUNTO.",,0,il_gazzettino,author_6735,0
UgyX9g89eOf056DEVqF4AaABAg.AWxsNSv4VFXAWxtIY4H6ko,UgyX9g89eOf056DEVqF4AaABAg,-fKk9yN0UQo,True,author_6736,2026-05-18T18:38:06Z,2026-05-18T18:38:06Z,2,👍 delinquente e dipendente.Povera signora 😢,UgyX9g89eOf056DEVqF4AaABAg,1,il_gazzettino,author_6736,0
Ugx_SQeG_d0gM35fw1J4AaABAg,,-fKk9yN0UQo,False,author_6737,2026-05-18T18:49:21Z,2026-05-18T18:49:21Z,4,Problemi mentali 😂sopprimere e basta 😂,,0,il_gazzettino,author_6737,1
UgxPeqsIJ2-mIKPR75N4AaABAg,,-fKk9yN0UQo,False,author_6738,2026-05-18T19:26:19Z,2026-05-18T19:26:19Z,5,Macché problemi mentali!!! Sono solo scuse… sono CRIMINALI da bastonare carcerare in attesa di rimpatrio,,0,il_gazzettino,author_6738,1
UgxjtgDa1VHb2fKSLJF4AaABAg,,-fKk9yN0UQo,False,author_6739,2026-05-18T19:38:25Z,2026-05-18T19:38:25Z,6,Tutti matti per avere sconti di pena questa è la verità....,,0,il_gazzettino,author_6739,0
UgxQwxfT6qkeYCV-p7h4AaABAg,,-fKk9yN0UQo,False,author_6740,2026-05-18T19:44:10Z,2026-05-18T19:44:10Z,1,Ci risiamo... Si... Malato di mente anche questo.... Raccontate lo a Boby (il mio cane) 😀😀😀😀,,0,il_gazzettino,author_6740,0
Ugx_SQeG_d0gM35fw1J4AaABAg.AWxu_zAuzCIAWy1pJBZ7Q5,Ugx_SQeG_d0gM35fw1J4AaABAg,-fKk9yN0UQo,True,author_3862,2026-05-18T20:01:21Z,2026-05-18T20:01:21Z,0,Concordo,Ugx_SQeG_d0gM35fw1J4AaABAg,1,il_gazzettino,author_3862,1
UgzzJcVuMwXcZHoDkdF4AaABAg,,-fKk9yN0UQo,False,author_570,2026-05-18T20:16:31Z,2026-05-18T20:16:31Z,3,incapace di intendere e volere per evitare la galera ! È una presa in giro,,0,il_gazzettino,author_570,1
Ugy4iCIVkiAtE_11w7F4AaABAg,,-fKk9yN0UQo,False,author_6741,2026-05-18T20:37:48Z,2026-05-18T20:37:48Z,2,Problemi mentali? Scommetto trattasi di extracomunitario 😅,,0,il_gazzettino,author_6741,1
UgxwxFVU3bghD-g5UiB4AaABAg,,-fKk9yN0UQo,False,author_5804,2026-05-18T21:57:02Z,2026-05-18T21:57:02Z,0,Il classico nero e nessuno ci arma la mano e ci dà l immunità in un mese se ne vanno via tutti,,0,il_gazzettino,author_5804,1
