comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgweHk7BU6EU81dVZ1J4AaABAg,,1jCeB3N1EL4,False,author_3390,2026-05-19T11:47:34Z,2026-05-19T11:47:34Z,4,Remigrazione!!!!,,0,il_gazzettino,author_3390,1
UgzB-zau0rwIWZm1zut4AaABAg,,1jCeB3N1EL4,False,author_6451,2026-05-19T13:50:32Z,2026-05-19T13:50:32Z,5,REMIGRAZIONE DI MASSA! INSIEME A TUTTI QUELLI CHE LI DIFENDONO È PROTEGGONO.,,0,il_gazzettino,author_6451,1
UgwJMs_O4iEjX4wkE9d4AaABAg,,1jCeB3N1EL4,False,author_6727,2026-05-19T15:53:55Z,2026-05-19T15:53:55Z,3,Non servono viaggi esotici.La giungla ce l'abbiamo in casa e ci siamo dentro senza possibilità di difenderci L'importante è lanciare slogan e proclami ai quali non segue nessuna azione seria.,,0,il_gazzettino,author_6727,1
Ugyj_QC5k5P0d6RjyjF4AaABAg,,1jCeB3N1EL4,False,author_3255,2026-05-19T15:55:55Z,2026-05-19T15:55:55Z,3,Risorse lavoro. Ci portano benessere.,,0,il_gazzettino,author_3255,1
UgzeOsBQ0rPxZ4j3t654AaABAg,,1jCeB3N1EL4,False,author_6728,2026-05-20T18:36:34Z,2026-05-20T18:36:34Z,0,Ma lo stile di vita di cui parla la Boldrini  e a cui dovremmo adeguarci è  questo ?   È  quello messo in pratica a Modena  a danno degli italiani ?  E via dicendo....le mostruosità  nn mancano !!!!!!,,0,il_gazzettino,author_6728,1
Ugzl5WlDuGxaR7EEXSF4AaABAg,,1jCeB3N1EL4,False,author_8,2026-05-20T20:52:45Z,2026-05-20T20:52:45Z,0,Solo due feriti? Che peccato... occasione mancata...,,0,il_gazzettino,author_8,1
UgwoeJD0uEF15mJLl3Z4AaABAg,,1jCeB3N1EL4,False,author_6729,2026-05-21T05:22:10Z,2026-05-21T05:22:10Z,0,Dormi governo dormi,,0,il_gazzettino,author_6729,0
UgyYScErEmtcts4GLo54AaABAg,,1jCeB3N1EL4,False,author_6730,2026-05-21T06:11:21Z,2026-05-21T06:11:21Z,0,"I protetti della sx politica, religiosa e  giudicante. Cittadinanza italiana subito..",,0,il_gazzettino,author_6730,1
UgwoeJD0uEF15mJLl3Z4AaABAg.AX3Baf5yxKLAX3HUxyzq0Y,UgwoeJD0uEF15mJLl3Z4AaABAg,1jCeB3N1EL4,True,author_6730,2026-05-21T06:13:41Z,2026-05-21T06:13:41Z,0,Il Governo può far approvare delle leggi dal Parlamento ma se la magistratura politicizzata li disattende che si fa?,UgwoeJD0uEF15mJLl3Z4AaABAg,1,il_gazzettino,author_6730,0
UgwlDyYIKndD1SF2KnF4AaABAg,,1jCeB3N1EL4,False,author_3821,2026-05-21T07:13:23Z,2026-05-21T07:13:23Z,1,finche' si scannamo fra di loro va bene,,0,il_gazzettino,author_3821,1
Ugz1zHO8r9JdpIDNHHR4AaABAg,,1jCeB3N1EL4,False,author_6731,2026-05-22T12:17:43Z,2026-05-22T12:17:43Z,0,🔥,,0,il_gazzettino,author_6731,0
