comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
Ugwopy6ZNtejl3SU-Zp4AaABAg,,5s85hZ-6qzw,False,author_726,2026-05-09T18:08:27Z,2026-05-09T18:08:27Z,23,Odio è una parola grossa....la uso raramente...ma in tutta sincerità ODIO i pedofili,,0,il_gazzettino,author_726,1,0,gold
Ugwopy6ZNtejl3SU-Zp4AaABAg.AWaekYVUNEZAWahMmeOblk,Ugwopy6ZNtejl3SU-Zp4AaABAg,5s85hZ-6qzw,True,author_449,2026-05-09T18:31:17Z,2026-05-09T18:31:17Z,1,Probabile lo fosse a meno che non si trattasse di un soggetto psichiatrico ma non credo . Però dubito sia perseguibile di qualche reato anche lo identificassero.,Ugwopy6ZNtejl3SU-Zp4AaABAg,1,il_gazzettino,author_449,1,0,gold
UgzIIVSJ_KojXtIPmEp4AaABAg,,5s85hZ-6qzw,False,author_843,2026-05-09T18:49:54Z,2026-05-09T18:49:54Z,27,Mai lasciare un figlio di quella età da solo neanche in macchina in questa brutta epoca.,,0,il_gazzettino,author_843,1,0,gold
Ugwopy6ZNtejl3SU-Zp4AaABAg.AWaekYVUNEZAWajaBtTDM_,Ugwopy6ZNtejl3SU-Zp4AaABAg,5s85hZ-6qzw,True,author_843,2026-05-09T18:50:43Z,2026-05-09T18:50:43Z,7,Tutti odiano i pedofili,Ugwopy6ZNtejl3SU-Zp4AaABAg,1,il_gazzettino,author_843,1,0,gold
Ugwopy6ZNtejl3SU-Zp4AaABAg.AWaekYVUNEZAWakqXI5jtF,Ugwopy6ZNtejl3SU-Zp4AaABAg,5s85hZ-6qzw,True,author_514,2026-05-09T19:01:42Z,2026-05-09T19:01:42Z,0,Trump è pedofilo. Nethaniau non lo è ma li ammazza . 25.000 su 75000 palestinesi. E nessuno governo lì ferma. Che schifo!,Ugwopy6ZNtejl3SU-Zp4AaABAg,1,il_gazzettino,author_514,1,1,gold
Ugz1mCtEBCxORqibuVp4AaABAg,,5s85hZ-6qzw,False,author_6950,2026-05-09T19:10:19Z,2026-05-09T19:10:19Z,0,Schifoso.,,0,il_gazzettino,author_6950,1,1,gold
UgyBcEcMtsHh5uaNIKB4AaABAg,,5s85hZ-6qzw,False,author_6951,2026-05-09T19:15:46Z,2026-05-09T19:15:46Z,15,Meno male che il ragazzino ha gridato!!!,,0,il_gazzettino,author_6951,1,0,gold
Ugwopy6ZNtejl3SU-Zp4AaABAg.AWaekYVUNEZAWanMrMEY_g,Ugwopy6ZNtejl3SU-Zp4AaABAg,5s85hZ-6qzw,True,author_4389,2026-05-09T19:23:43Z,2026-05-09T19:23:43Z,0,ASSOLUTAMENTE condivido😢,Ugwopy6ZNtejl3SU-Zp4AaABAg,1,il_gazzettino,author_4389,1,0,gold
Ugzz9PO0p7KErjN19Vh4AaABAg,,5s85hZ-6qzw,False,author_4419,2026-05-09T21:19:18Z,2026-05-09T21:19:18Z,24,Pena di morte,,0,il_gazzettino,author_4419,1,1,gold
UgwF3NSo8udCw95sZat4AaABAg,,5s85hZ-6qzw,False,author_6952,2026-05-09T22:04:21Z,2026-05-09T22:04:21Z,1,😢,,0,il_gazzettino,author_6952,1,0,gold
Ugz3I3OdMNNoenD9a-J4AaABAg,,5s85hZ-6qzw,False,author_2737,2026-05-10T02:29:48Z,2026-05-10T02:29:48Z,6,On line l'identikit caccia all'uomo,,0,il_gazzettino,author_2737,1,1,gold
Ugz0n5cJtPTj6vU25mp4AaABAg,,5s85hZ-6qzw,False,author_2153,2026-05-10T03:03:29Z,2026-05-10T03:03:29Z,0,Senza pietà!!!!,,0,il_gazzettino,author_2153,1,0,gold
