comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxgnETxti7DtaLnVoJ4AaABAg,,JjtZcdmf4VQ,False,author_6785,2026-05-15T17:02:10Z,2026-05-15T17:02:10Z,3,❤❤❤,,0,il_gazzettino,author_6785,0
Ugxq9mXxxNWq9jmBJNt4AaABAg,,JjtZcdmf4VQ,False,author_6786,2026-05-15T17:08:46Z,2026-05-15T17:08:46Z,4,😢❤❤❤❤❤,,0,il_gazzettino,author_6786,0
Ugxq9mXxxNWq9jmBJNt4AaABAg.AWq-gd8lE65AWq0xQynTt2,Ugxq9mXxxNWq9jmBJNt4AaABAg,JjtZcdmf4VQ,True,author_6787,2026-05-15T17:19:48Z,2026-05-15T17:19:48Z,2,Mi si spezza il cuore riposa in pace piccolo angelo ❤,Ugxq9mXxxNWq9jmBJNt4AaABAg,1,il_gazzettino,author_6787,0
UgwTzzB1COusirBMGh94AaABAg,,JjtZcdmf4VQ,False,author_6788,2026-05-15T17:39:49Z,2026-05-15T17:39:49Z,10,Povero piccolo...ora sei con gli Angeli... troppo presto però....❤❤❤❤❤,,0,il_gazzettino,author_6788,0
Ugx-oydi3X1ORXlOtZ14AaABAg,,JjtZcdmf4VQ,False,author_4301,2026-05-15T17:53:27Z,2026-05-15T17:53:27Z,3,Poverino che tragedia sei un amore❤❤❤,,0,il_gazzettino,author_4301,0
Ugx0ybRE1dB8iGJXYAJ4AaABAg,,JjtZcdmf4VQ,False,author_6789,2026-05-15T18:19:39Z,2026-05-15T18:19:39Z,4,❤❤❤❤❤❤❤❤❤❤,,0,il_gazzettino,author_6789,0
Ugzo726kgqJ6TxXQxgl4AaABAg,,JjtZcdmf4VQ,False,author_6790,2026-05-15T18:32:10Z,2026-05-15T18:32:10Z,2,❤❤❤,,0,il_gazzettino,author_6790,0
Ugx1z2hT59E28OMzprp4AaABAg,,JjtZcdmf4VQ,False,author_6791,2026-05-15T18:42:13Z,2026-05-15T18:42:13Z,7,"Ma cosa sta succedendo troppi angeli ci lasciano, un abbraccio alla famiglia ❤❤",,0,il_gazzettino,author_6791,0
UgwcJR8VhE71iFPDwq94AaABAg,,JjtZcdmf4VQ,False,author_6792,2026-05-16T05:39:21Z,2026-05-16T05:39:21Z,1,Poverino oraa sei con gli angeli ❤❤❤❤❤❤,,0,il_gazzettino,author_6792,0
UgxUuXUbcop2BhbtasF4AaABAg,,JjtZcdmf4VQ,False,author_6793,2026-05-16T05:43:49Z,2026-05-16T05:43:49Z,0,Povero piccolo ora sei con i angeli ❤❤❤❤❤❤❤😢😢😢,,0,il_gazzettino,author_6793,0
Ugyhs4uiXYFngwP5_u14AaABAg,,JjtZcdmf4VQ,False,author_6794,2026-05-16T06:27:51Z,2026-05-16T06:27:51Z,0,Una nuova stella in paradiso,,0,il_gazzettino,author_6794,0
UgxHnS8XF9mjWCqfs8h4AaABAg,,JjtZcdmf4VQ,False,author_1617,2026-05-16T10:03:16Z,2026-05-16T10:03:16Z,1,Ma come fa un bambino di sei anni ha trovarsi vicino ha un muletto che tristezza i bambini vanno tenuti lontani dai pericoli 😢😢😢😢❤ povero cucciolo 😢😢😢,,0,il_gazzettino,author_1617,0
UgxE0wlXoxa-JszlLsJ4AaABAg,,JjtZcdmf4VQ,False,author_6671,2026-05-16T15:44:23Z,2026-05-16T15:44:23Z,0,Dolcissimo angelo!!!! Riposa in pace e condoglianze alla famiglia.....🙏🙏🙏🙏🙏🙏💙,,0,il_gazzettino,author_6671,0
Ugy7yOyBNRP8JVXhWY94AaABAg,,JjtZcdmf4VQ,False,author_5182,2026-05-16T17:16:32Z,2026-05-16T17:16:32Z,0,❤,,0,il_gazzettino,author_5182,0
UgwKsp_b414xAbfzRFp4AaABAg,,JjtZcdmf4VQ,False,author_6795,2026-05-16T18:28:11Z,2026-05-16T18:28:11Z,1,La cosa più straziante è il dolore de quel povero padre che dovrà vivere  secondo per secondo con quell  ricordo fatevi forza  carissimi genitori il vostro piccolo vi guarda da lassù e vi da la forza di andare avanti non vi conosco   cari genitori ma vi mando il mio abbraccio   forza,,0,il_gazzettino,author_6795,0
UgySzulVR0OVvkMHGn94AaABAg,,JjtZcdmf4VQ,False,author_6796,2026-05-16T22:58:28Z,2026-05-16T22:58:28Z,0,"Per quanto tempo ancora dovranno morire questi bambini per genitori che si fidano troppo di piccoli che non hanno ancora capito che se cade si può fare molto male e spesso è fatale per loro. Moto,trattori,gru,ecc…. Ma la salute dei vostri figli vi puzza?Ma perché non lasciate che ci sia il giusto equilibrio tra bambini ragazzi e uomini? Non mettete al mondo creature innocenti che hanno necessità di essere seguiti passo per passo e non metterli affianco a voi per distrarli e tenerli buoni in circostanze che sono vostre e non loro perché un bambino di questa età non può stare con adulti sulla gru o muletto che sia,ma bensì giocare con i suoi coetanei con macchinine o lego correre felice senza problemi almeno per lui che non è ancora un adulto ma non lo diventerà mai più perché non è stato seguito e accudito come va protetto e accudito un bambino di sei anni. Non avercela con loro piccolo angelo, magari neppure loro hanno avuto i genitori che li hanno protetti, e sono cresciuti senza avere una famiglia e di conseguenza non hanno potuto proteggerti dai pericoli come magari avrebbero dovuto e voluto. Perdonali, sei un bambino i bambini sono buoni, corri felice e gioca con gli angeli della tua età piccolino.",,0,il_gazzettino,author_6796,1
UgwFX2PlEmReABBGvp94AaABAg,,JjtZcdmf4VQ,False,author_6797,2026-05-17T22:13:14Z,2026-05-17T22:13:14Z,0,🙏🏻🙏🏻🙏🏻💔😞,,0,il_gazzettino,author_6797,0
