comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgztI_466yiuM18VdGt4AaABAg,,VsCoGOJMB0I,False,author_6686,2026-05-23T09:41:40Z,2026-05-23T09:41:40Z,0,Ma qua siamo al ridicolo,,0,il_gazzettino,author_6686,0
UgxwFqKxw1z5FOHDV4t4AaABAg,,VsCoGOJMB0I,False,author_6687,2026-05-23T09:55:58Z,2026-05-23T09:55:58Z,0,"Ancora fili, esistono....",,0,il_gazzettino,author_6687,0
UgySWNPXEHz7NyB-Ggp4AaABAg,,VsCoGOJMB0I,False,author_6688,2026-05-23T10:16:08Z,2026-05-23T10:16:08Z,0,A forza di magnetismo salterà tutto per aria ... abbiamo troppo!!e la gente non è contenta lo stesso! poi grazie alle radiazioni escono fuori malattie autoimmuni... per forza....,,0,il_gazzettino,author_6688,1
UgzmpNJo3DUFWQ9uLLF4AaABAg,,VsCoGOJMB0I,False,author_6689,2026-05-23T12:06:08Z,2026-05-23T12:06:08Z,0,"Se è di giorno rompete il cazzo, se pomeriggio rompete il cazzo, se di notte rompete il cazzo, se la fibra a casa è lenta .... Rompete il cazzo 

Insomma mai contenti",,0,il_gazzettino,author_6689,1
UgxC_uplYtfvjvMybZh4AaABAg,,VsCoGOJMB0I,False,author_119,2026-05-23T12:59:48Z,2026-05-23T12:59:48Z,3,Video fake: in genere prima si fa la ri-asfaltatura completa e dopo una settimana si apre il primo taglio 😅,,0,il_gazzettino,author_119,0
UgzhOzH8U3onINUKNE94AaABAg,,VsCoGOJMB0I,False,author_6690,2026-05-23T13:09:18Z,2026-05-23T13:09:18Z,0,votano stocazzo e poi si lamentano 😂,,0,il_gazzettino,author_6690,1
UgyL8QMTWmv4KFF53394AaABAg,,VsCoGOJMB0I,False,author_6691,2026-05-23T14:27:29Z,2026-05-23T14:27:29Z,0,Ma come gli viene in mente😡,,0,il_gazzettino,author_6691,1
Ugw00KbbesDEgsxGey54AaABAg,,VsCoGOJMB0I,False,author_27,2026-05-23T15:12:13Z,2026-05-23T15:12:13Z,0,Dunque vogliamo la fibra ma lavorare di giugno si intasa il traffico di notte si fa rumore alla fine si rifà nuovo l' Asfalto e dopo 2 giorni si rifà lo scavo 😂,,0,il_gazzettino,author_27,0
UgxC_uplYtfvjvMybZh4AaABAg.AX99ZB5pNZWAX9f4ag1Juo,UgxC_uplYtfvjvMybZh4AaABAg,VsCoGOJMB0I,True,author_8,2026-05-23T17:43:59Z,2026-05-23T17:43:59Z,0,No. Il video è vero c'è un articolo sul giornale...di Treviso. Ed io vivo a vittorio veneto.,UgxC_uplYtfvjvMybZh4AaABAg,1,il_gazzettino,author_8,0
UgywGHbECyNYQWf2ZM94AaABAg,,VsCoGOJMB0I,False,author_5298,2026-05-23T18:22:55Z,2026-05-23T18:22:55Z,0,E normale che chiamo i carrabinieri e partono anche le denunce....,,0,il_gazzettino,author_5298,0
UgzOBEjbq5OfoLKLbCB4AaABAg,,VsCoGOJMB0I,False,author_6673,2026-05-23T23:36:05Z,2026-05-23T23:36:05Z,0,Hanno ragione. Ma che si fanno questi lavori di notte?,,0,il_gazzettino,author_6673,0
Ugy1kGuP7Wt63GnbvfJ4AaABAg,,VsCoGOJMB0I,False,author_6692,2026-05-24T05:56:58Z,2026-05-24T05:56:58Z,0,Che fenomeni,,0,il_gazzettino,author_6692,0
UgyPxdStYdjtfv2lIYR4AaABAg,,VsCoGOJMB0I,False,author_6693,2026-05-24T18:05:18Z,2026-05-24T18:05:18Z,0,Straordinari,,0,il_gazzettino,author_6693,0
UgyRrGPrlPJMOKntNDZ4AaABAg,,VsCoGOJMB0I,False,author_6694,2026-05-25T09:43:56Z,2026-05-25T09:43:56Z,0,"Sì, avete ragione fa schifo come intervento, ma dovreste lamentarvi con il  comune e il sindaco, perché per fare gli scavi notturni devono chiedere a lui, che vuol dire, che lui ha accettato il processo.",,0,il_gazzettino,author_6694,0
