comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugwjy4GHB7sILoDDWbF4AaABAg,,mb3IIXvmTn4,False,author_6676,2026-05-24T12:39:20Z,2026-05-24T12:39:20Z,0,......fra.......,,0,il_gazzettino,author_6676,0
Ugy24OFgU82HQspVOVV4AaABAg,,mb3IIXvmTn4,False,author_1501,2026-05-24T15:57:23Z,2026-05-24T15:57:23Z,5,una casa popolare non si rimedia per la Signora???,,0,il_gazzettino,author_1501,0
Ugy24OFgU82HQspVOVV4AaABAg.AXC2fkWbS28AXC7U6IO5Qd,Ugy24OFgU82HQspVOVV4AaABAg,mb3IIXvmTn4,True,author_6677,2026-05-24T16:39:21Z,2026-05-24T16:39:21Z,0,"È italiana, non serve",Ugy24OFgU82HQspVOVV4AaABAg,1,il_gazzettino,author_6677,1
UgyLRQYtpObuyvLcZqd4AaABAg,,mb3IIXvmTn4,False,author_6677,2026-05-24T16:40:49Z,2026-05-24T16:40:49Z,1,"Fosse stato un di quelli con la pelle scura, avrebbero già urlato al razzismo, allo scandalo e così via.
Abbiamo la colpa di essere a casa nostra e BIANCHI.",,0,il_gazzettino,author_6677,1
UgxI1QRPdfxJAn7e5X94AaABAg,,mb3IIXvmTn4,False,author_6678,2026-05-24T17:38:35Z,2026-05-24T17:38:35Z,4,"Non ne fanno più 😢, in Italia la classe media impoverita e i poveri sempre più poveri di prima 😢,",,0,il_gazzettino,author_6678,0
Ugzq-aXeElY-8ou0Z-N4AaABAg,,mb3IIXvmTn4,False,author_3338,2026-05-24T19:04:24Z,2026-05-24T19:04:24Z,0,mandare a casa l'attuale governo....,,0,il_gazzettino,author_3338,0
UgyjFEtvlXlMyB0ZEE94AaABAg,,mb3IIXvmTn4,False,author_6652,2026-05-24T19:20:32Z,2026-05-24T19:20:32Z,1,Incredibile che nel 2026 ci siano questi casi !!!!!!!! Che vergogna  !!!!!!😢😢povera  signora.,,0,il_gazzettino,author_6652,0
UgwJ0txN1pWEpWZTbnJ4AaABAg,,mb3IIXvmTn4,False,author_6679,2026-05-24T19:58:54Z,2026-05-24T19:58:54Z,0,Che male che mi fa vedere un anziano così 😢,,0,il_gazzettino,author_6679,0
UgysT2lRBz95B-hoDth4AaABAg,,mb3IIXvmTn4,False,author_6680,2026-05-25T06:23:09Z,2026-05-25T06:23:09Z,0,Be signori miei tutto rispetto per la persona anziana ma andate a vedere dove spende penso la sua pensione .....  la.signora eh eh eh,,0,il_gazzettino,author_6680,1
UgxMUmZZtbMIwj4JweJ4AaABAg,,mb3IIXvmTn4,False,author_339,2026-05-25T10:11:39Z,2026-05-25T10:11:39Z,0,"Non è possibile dare una sistemazione alla signora 87enne, ci sono prima gli irregolari extracomunitari da salvaguardare",,0,il_gazzettino,author_339,1
Ugwh7WHf8MGAiP7XcAd4AaABAg,,mb3IIXvmTn4,False,author_6681,2026-05-26T16:11:14Z,2026-05-26T16:11:14Z,0,Assessore non essere di mano lunga aiutate questa nonnina. Io vivo in Germania vorrei fare qualcosa per questa carissima nonnina. Ho visto la sua storia triste da Matano alla vita in diretta. Ma faccio i miei siceri auguri di buon compleanno 87 anni con tutto il mio cuore ❤️ lei può essere mia Nonna ho 66 anni. Faccio i miei complimenti a Matano tramite Rai 1 sta facendo il possibile di aiutare questa nonnina. Voi che avete la possibilità fate una azione buona. Un grande gesto d'amore può fare questa nonnina felice lei chiede una stanzetta con cucina è un piccolo bagno addirittura vuole anche pagare l'affitto di casa che grande dignità. La bibbia dice c'è più felicità nel dare che nel ricevere voi tutti che avete la possibilità fatevi avanti. Un grande abbraccio dalla Germania ❤️😘🌹🫶🇮🇹👍,,0,il_gazzettino,author_6681,0
UgzktqbLnQNcWqQ67yN4AaABAg,,mb3IIXvmTn4,False,author_6682,2026-05-26T18:32:20Z,2026-05-26T18:32:20Z,0,Come si può fare per aiutare questa signora? Ci sono dei contatti a cui rivolgersi?,,0,il_gazzettino,author_6682,0
