comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxGUMWiQUM09oRstXp4AaABAg,,ugfbEOE2c10,False,author_6798,2026-05-15T16:20:48Z,2026-05-15T16:20:48Z,1,Grande Dolore immenso ❤,,0,il_gazzettino,author_6798,0
UgwBL45eSRcmtKRH_Rh4AaABAg,,ugfbEOE2c10,False,author_6799,2026-05-15T16:21:55Z,2026-05-15T16:21:55Z,4,Che bel ragazzo,,0,il_gazzettino,author_6799,0
Ugze3dZ9sUOA4NRdjT54AaABAg,,ugfbEOE2c10,False,author_4002,2026-05-15T16:37:35Z,2026-05-15T16:37:35Z,1,"❤❤❤❤❤
Mah...alla fine...cos'è successo...?????",,0,il_gazzettino,author_4002,0
UgxviJWf6iB7neqCKsF4AaABAg,,ugfbEOE2c10,False,author_6800,2026-05-15T16:41:06Z,2026-05-15T16:41:06Z,1,Dio com’eri bello 😢,,0,il_gazzettino,author_6800,0
UgwBL45eSRcmtKRH_Rh4AaABAg.AWpvKXLB90rAWpy1kbqJzD,UgwBL45eSRcmtKRH_Rh4AaABAg,ugfbEOE2c10,True,author_6801,2026-05-15T16:45:34Z,2026-05-15T16:45:34Z,0,44 anni un ragazzo?,UgwBL45eSRcmtKRH_Rh4AaABAg,1,il_gazzettino,author_6801,1
UgyJH9w-Cei1pKmrZgp4AaABAg,,ugfbEOE2c10,False,author_6802,2026-05-15T16:52:05Z,2026-05-15T16:52:05Z,2,😢😢😢❤❤❤❤UNA PREGHIERA AL CIELO INSIEME AI TUOI COMPAGNI 😢DESTINI CRUDELI😢RESTA RABBIA E TANTO DOLORE😢❤,,0,il_gazzettino,author_6802,0
UgwBL45eSRcmtKRH_Rh4AaABAg.AWpvKXLB90rAWpzGSZJL-h,UgwBL45eSRcmtKRH_Rh4AaABAg,ugfbEOE2c10,True,author_4212,2026-05-15T16:56:19Z,2026-05-15T16:56:19Z,1,"​author_6801  si, un ragazzo. 
Evidentemente avrai al massimo 15-16 anni e pensi che i quarantenni siano degli ottantenni",UgwBL45eSRcmtKRH_Rh4AaABAg.AWpvKXLB90rAWpy1kbqJzD,2,il_gazzettino,author_4212,1
UgzJLOBmHPYT1Nie1ZV4AaABAg,,ugfbEOE2c10,False,author_6803,2026-05-15T16:58:13Z,2026-05-15T16:58:13Z,0,Una preghiera x lui.e un abbraccio ai genitori...🙏🙏🙏🙏🙏🌹🌹🌹,,0,il_gazzettino,author_6803,0
Ugy1YiervEuujwLIFIx4AaABAg,,ugfbEOE2c10,False,author_566,2026-05-15T16:59:53Z,2026-05-15T16:59:53Z,1,50 metri sotto sono troppi. Non han saputo gestire.,,0,il_gazzettino,author_566,0
UgyVY4LhWDXVbPQOmoF4AaABAg,,ugfbEOE2c10,False,author_4377,2026-05-15T17:15:11Z,2026-05-15T17:15:11Z,0,L'ingestibile destino.Che riposi in pace.,,0,il_gazzettino,author_4377,0
UgwVT34OE_rTNzrmogR4AaABAg,,ugfbEOE2c10,False,author_3105,2026-05-15T18:35:27Z,2026-05-15T18:35:27Z,0,Condoglianze alla famiglia per questa tragedia 😢,,0,il_gazzettino,author_3105,0
UgwvFGNqyLKRp2xpHPJ4AaABAg,,ugfbEOE2c10,False,author_4865,2026-05-16T07:26:58Z,2026-05-16T07:26:58Z,0,R.p.i.,,0,il_gazzettino,author_4865,1
Ugz70jpCQaPdUEmMCLJ4AaABAg,,ugfbEOE2c10,False,author_670,2026-05-17T05:27:20Z,2026-05-17T05:27:20Z,0,🙏💙,,0,il_gazzettino,author_670,0
Ugwbsr5UmZmQ2f5iUIF4AaABAg,,ugfbEOE2c10,False,author_6804,2026-05-17T11:38:47Z,2026-05-17T11:38:47Z,0,❤❤🙏 chiedo pace di Dio a tutti che lui ha lasciato 🙏,,0,il_gazzettino,author_6804,0
