comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwYSbfN-anfr36noMp4AaABAg,,0gOuz12RUjU,False,author_5585,2026-05-24T14:23:52Z,2026-05-24T14:23:52Z,0,Bisogna dividere da buoni amici,,0,ilmessaggero,author_5585,0
UgxP6AtGPctvNG8Y_jB4AaABAg,,0gOuz12RUjU,False,author_5545,2026-05-24T14:32:11Z,2026-05-24T14:32:11Z,0,300'ooo euro ce l'ho pure io dentro casa! Non ho nemmeno la casa! Hehehehe,,0,ilmessaggero,author_5545,0
UgwYSbfN-anfr36noMp4AaABAg.AXBsyiqB7C7AXBu2tDuyVj,UgwYSbfN-anfr36noMp4AaABAg,0gOuz12RUjU,True,author_5545,2026-05-24T14:33:18Z,2026-05-24T14:33:18Z,0,Dove sono gli amici?,UgwYSbfN-anfr36noMp4AaABAg,1,ilmessaggero,author_5545,0
Ugz7xcYY-WijSzwy1954AaABAg,,0gOuz12RUjU,False,author_5586,2026-05-24T14:34:04Z,2026-05-24T14:34:04Z,1,Michele esiste  gente povera gente ricca fortunata meno fortunata nn dire queste cose,,0,ilmessaggero,author_5586,0
UgxD9X-QguccwTKxg-54AaABAg,,0gOuz12RUjU,False,author_5586,2026-05-24T14:34:29Z,2026-05-24T14:34:29Z,1,Io penso che ci vuole la pena di.morte,,0,ilmessaggero,author_5586,1
UgxP6AtGPctvNG8Y_jB4AaABAg.AXBtvcvZjMIAXBvr2oQR-l,UgxP6AtGPctvNG8Y_jB4AaABAg,0gOuz12RUjU,True,author_4276,2026-05-24T14:49:02Z,2026-05-24T14:49:02Z,0,"Anche se fossero stati 50€.
Subire una rapina è atroce",UgxP6AtGPctvNG8Y_jB4AaABAg,1,ilmessaggero,author_4276,0
Ugw3hVDP2RMfVir5VjZ4AaABAg,,0gOuz12RUjU,False,author_5587,2026-05-24T15:19:02Z,2026-05-24T15:19:02Z,6,"Speriamo che i rapinatori non si siano feriti,sennò so guai per i proprietari",,0,ilmessaggero,author_5587,1
Ugx_yu82KsB6nTFbIq54AaABAg,,0gOuz12RUjU,False,author_5588,2026-05-24T16:49:58Z,2026-05-24T16:49:58Z,1,CI VUOLE SI LA PENA DI MORTE,,0,ilmessaggero,author_5588,1
UgwhfL9xaCs5bbwzIF54AaABAg,,0gOuz12RUjU,False,author_5588,2026-05-24T16:53:17Z,2026-05-24T16:53:17Z,1,ALTRO CHE ASCOLTARE QUELLI DEL  GOVERNO   A LORO NON GHLIENE IMPORTA  UN  C - - - O  CI VUOLE LA PENA DI MORTE,,0,ilmessaggero,author_5588,1
UgwdwFH6s250Mci0W0V4AaABAg,,0gOuz12RUjU,False,author_4321,2026-05-24T19:17:01Z,2026-05-24T19:17:01Z,3,Purtroppo questa Italia non ha più regole punitive uno ruba e tiene in ostaggio delle persone e viene scagionato perché il fatto non sussiste un altro fa una strage a Modena e lo fanno passare per pazzo ditemi voi chi sono quelli normali,,0,ilmessaggero,author_4321,1
Ugw_RSx43mxvlw8hNAB4AaABAg,,0gOuz12RUjU,False,author_4964,2026-05-25T09:05:42Z,2026-05-25T09:05:42Z,0,Colpo all'assicurazione 😂😂😂😂😂,,0,ilmessaggero,author_4964,1
Ugw3hVDP2RMfVir5VjZ4AaABAg.AXBzHpJcO4fAXDtTCmPL7V,Ugw3hVDP2RMfVir5VjZ4AaABAg,0gOuz12RUjU,True,author_4964,2026-05-25T09:06:38Z,2026-05-25T09:06:38Z,0,Avranno l'assicurazione anche per questo 😂😂😂😂😂,Ugw3hVDP2RMfVir5VjZ4AaABAg,1,ilmessaggero,author_4964,1
UgwhfL9xaCs5bbwzIF54AaABAg.AXC945wcsKlAXDtbGPao9P,UgwhfL9xaCs5bbwzIF54AaABAg,0gOuz12RUjU,True,author_4964,2026-05-25T09:07:53Z,2026-05-25T09:07:53Z,0,Hai paura 😱 per'i tuoi orologi 😂😂😂?,UgwhfL9xaCs5bbwzIF54AaABAg,1,ilmessaggero,author_4964,1
UgxP6AtGPctvNG8Y_jB4AaABAg.AXBtvcvZjMIAXDtlqQumLc,UgxP6AtGPctvNG8Y_jB4AaABAg,0gOuz12RUjU,True,author_4964,2026-05-25T09:09:19Z,2026-05-25T09:09:48Z,0,"Vedi che ti fanno la rapina anche in Appartamento 😂😂😂 se in affitto, anche prima 😂😂😂",UgxP6AtGPctvNG8Y_jB4AaABAg,1,ilmessaggero,author_4964,1
Ugx1Oh0NHUePtflrmgF4AaABAg,,0gOuz12RUjU,False,author_5106,2026-05-25T09:48:44Z,2026-05-25T09:50:10Z,0,Io in casa non ho nemmeno 30 di euro. 300 mila euro😂😂 poi neanche ai mondiali andiamo. CALCIATORI DA SELFIE EBBASTA Giorgioo ci son le banche per il contante e per preziosi. 😊,,0,ilmessaggero,author_5106,1
UgyifjmkfPoOEOmqyEJ4AaABAg,,0gOuz12RUjU,False,author_5589,2026-05-25T10:36:35Z,2026-05-25T10:36:35Z,0,Bravi a non reagire altrimenti oltre la rapina ci scappava pure il risarcimento.,,0,ilmessaggero,author_5589,1
UgzQzzIvWJF3EtoolxV4AaABAg,,0gOuz12RUjU,False,author_5005,2026-05-25T11:20:35Z,2026-05-25T11:20:35Z,0,La redistribuzione della ricchezza devo di il vangelo di slain,,0,ilmessaggero,author_5005,1
UgxP6AtGPctvNG8Y_jB4AaABAg.AXBtvcvZjMIAXE7vEfAZBq,UgxP6AtGPctvNG8Y_jB4AaABAg,0gOuz12RUjU,True,author_5005,2026-05-25T11:21:41Z,2026-05-25T11:21:41Z,0,Bisogna pure avere qualcosa pronto per le spesucce e per pagare le mignotte.,UgxP6AtGPctvNG8Y_jB4AaABAg,1,ilmessaggero,author_5005,1
