comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
Ugy2uUiM8lopuxvLqRx4AaABAg,,0paspwjsZmE,False,author_843,2026-05-24T13:43:50Z,2026-05-24T13:43:50Z,2,Incominciamo bene,,0,ilmessaggero,author_843,3,0,gold
UgyI8673Ck_DIqHKtsZ4AaABAg,,0paspwjsZmE,False,author_5599,2026-05-24T13:44:57Z,2026-05-24T13:44:57Z,2,"Ogni anno lo stesso, hahahaha 😂😂😂",,0,ilmessaggero,author_5599,3,0,gold
UgzF9rovfDmyOlyjS6l4AaABAg,,0paspwjsZmE,False,author_5600,2026-05-24T13:46:17Z,2026-05-24T13:46:17Z,4,"A, giugno, maturail, grano, è, normale, faccia, caldo sedovesse, piovere, efare, freddo, se, non mi ricordo, male, il, grano si rovina",,0,ilmessaggero,author_5600,3,0,gold
UgxOXVa5Qp43a14r8TB4AaABAg,,0paspwjsZmE,False,author_5181,2026-05-24T14:23:02Z,2026-05-24T14:23:02Z,0,❤❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_5181,3,0,gold
UgxNqeQ3mP_f7wOTPcB4AaABAg,,0paspwjsZmE,False,author_5004,2026-05-24T14:41:30Z,2026-05-24T15:00:33Z,2,🔷 Siamo quasi a Giugno.. Caldo come Spesso in Passato.. Anche Meno che in passato.. 🤷 Sembra strano solo perché le settimane scorse faceva troppo freddo..,,0,ilmessaggero,author_5004,3,0,gold
UgwhOlCbT4exgREMIh14AaABAg,,0paspwjsZmE,False,author_5601,2026-05-24T14:57:08Z,2026-05-24T14:57:08Z,1,A cazzariiiii,,0,ilmessaggero,author_5601,3,1,gold
UgxirBfF2eUICHI3XEd4AaABAg,,0paspwjsZmE,False,author_2568,2026-05-24T16:44:56Z,2026-05-24T16:44:56Z,0,Buffoni,,0,ilmessaggero,author_2568,3,1,gold
UgyHojBzgsu9ZIIbwv54AaABAg,,0paspwjsZmE,False,author_5005,2026-05-24T18:12:02Z,2026-05-24T18:12:02Z,1,"Meno male, di freddo ne ho patito abbastanza quest'anno, abbiamo acceso i termo fino a settimana scorsa",,0,ilmessaggero,author_5005,3,0,gold
UgxNqeQ3mP_f7wOTPcB4AaABAg.AXBuzvhdSbCAXCIsXDWHfW,UgxNqeQ3mP_f7wOTPcB4AaABAg,0paspwjsZmE,True,author_1818,2026-05-24T18:18:56Z,2026-05-24T18:18:56Z,0,"Guarda su 3bmeteo lo storico, non abbiamo mai avuto più di 22 gradi a fine maggio",UgxNqeQ3mP_f7wOTPcB4AaABAg,1,ilmessaggero,author_1818,3,0,gold
UgyHojBzgsu9ZIIbwv54AaABAg.AXCI4vPalJTAXCO-OXQt6g,UgyHojBzgsu9ZIIbwv54AaABAg,0paspwjsZmE,True,author_5004,2026-05-24T19:03:42Z,2026-05-24T19:03:42Z,0,Appunto.. Non è normale il Freddo a Metà Maggio..,UgyHojBzgsu9ZIIbwv54AaABAg,1,ilmessaggero,author_5004,3,0,gold
UgyVgNxEMm7COXj4tpN4AaABAg,,0paspwjsZmE,False,author_5602,2026-05-24T19:04:52Z,2026-05-24T19:04:52Z,0,Il cambiamento climatico.....moriremo tutti,,0,ilmessaggero,author_5602,3,0,gold
