comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyHBDLImTz_tgt6UkJ4AaABAg,,2OdCVeqI-JM,False,author_482,2026-05-21T08:25:17Z,2026-05-21T08:25:17Z,11,"Non è una bella pubblicità x Napoli, programma veramente imbarazzante.",,0,ilmessaggero,author_482,0
UgwxTRyMJBSbeJxAMNp4AaABAg,,2OdCVeqI-JM,False,author_9,2026-05-21T08:57:09Z,2026-05-21T08:57:09Z,10,Adesso vedrete che chiedono aiuto allo stato,,0,ilmessaggero,author_9,1
Ugz-8xqkf_56ycVWqaB4AaABAg,,2OdCVeqI-JM,False,author_119,2026-05-21T08:57:29Z,2026-05-21T08:57:29Z,6,Lacrime napulitane...,,0,ilmessaggero,author_119,0
UgyjwWj0O0zTqmOxqLF4AaABAg,,2OdCVeqI-JM,False,author_6596,2026-05-21T09:06:20Z,2026-05-21T09:06:20Z,6,"Questo succede quando si viola la legge.
Non potete sempre pretendere in sconti.
Avete guadagnato milioni con quel posto.
Ora non la w tatevi",,0,ilmessaggero,author_6596,1
UgyeFWkjeBGLK1qq8_d4AaABAg,,2OdCVeqI-JM,False,author_6597,2026-05-21T09:14:47Z,2026-05-21T09:14:47Z,9,queste cose succedono solo a Bolzano,,0,ilmessaggero,author_6597,0
UgxEQ0JiTesEnO8TS0N4AaABAg,,2OdCVeqI-JM,False,author_5004,2026-05-21T14:27:39Z,2026-05-21T16:33:35Z,7,ABUSIVISMO EDILIZIO denunciato dal 2011 e Ancora siamo qui a parlarne❓❓,,0,ilmessaggero,author_5004,0
UgxWzAhD8m8AGPVJdQ54AaABAg,,2OdCVeqI-JM,False,author_3592,2026-05-21T14:40:02Z,2026-05-21T14:40:02Z,1,La legge va rispettata,,0,ilmessaggero,author_3592,0
UgyeFWkjeBGLK1qq8_d4AaABAg.AX3bDP5mJSBAX4_V32rl9u,UgyeFWkjeBGLK1qq8_d4AaABAg,2OdCVeqI-JM,True,author_6598,2026-05-21T18:18:58Z,2026-05-21T18:18:58Z,1,"Beh…beh… crans Montana e in Svizzera. Quindi, ognuno ha le sue pecche. Non generalizziamo",UgyeFWkjeBGLK1qq8_d4AaABAg,1,ilmessaggero,author_6598,0
UgwypRlzqTLpn6Dgy_54AaABAg,,2OdCVeqI-JM,False,author_5005,2026-05-21T19:52:34Z,2026-05-21T19:52:34Z,0,Terun,,0,ilmessaggero,author_5005,0
UgyuiL6cecaiWItyJrp4AaABAg,,2OdCVeqI-JM,False,author_6599,2026-05-21T20:07:51Z,2026-05-21T20:07:51Z,2,Fanno figli sulle spalle degli altri...,,0,ilmessaggero,author_6599,1
UgxFdI-W0Vs5DpEwG214AaABAg,,2OdCVeqI-JM,False,author_6600,2026-05-22T00:06:13Z,2026-05-22T00:06:13Z,2,È  mo' i CUOZZI di Napoli e Provincia dove si sposeranno????😂😂😂😂😂,,0,ilmessaggero,author_6600,1
UgyjwWj0O0zTqmOxqLF4AaABAg.AX3aFKemTVtAX5TXl77Vr5,UgyjwWj0O0zTqmOxqLF4AaABAg,2OdCVeqI-JM,True,author_1350,2026-05-22T02:37:24Z,2026-05-22T02:37:24Z,0,"Ma ki parla,nn sn i proprietari,ma ki ci lavorava",UgyjwWj0O0zTqmOxqLF4AaABAg,1,ilmessaggero,author_1350,0
UgxWzAhD8m8AGPVJdQ54AaABAg.AX4BRWqWhUyAX5Tg255bdg,UgxWzAhD8m8AGPVJdQ54AaABAg,2OdCVeqI-JM,True,author_1350,2026-05-22T02:38:40Z,2026-05-22T02:38:40Z,0,"Allora kissà xké finke c'è stato il padre,nessuno ha detto niente...Anke allora era abusivo...se lo è ora,lo era anke prima",UgxWzAhD8m8AGPVJdQ54AaABAg,1,ilmessaggero,author_1350,1
Ugwi2lBogOdKOTcc-gd4AaABAg,,2OdCVeqI-JM,False,author_1581,2026-05-22T09:15:16Z,2026-05-22T09:15:16Z,0,Poteva succedere ovunque.....,,0,ilmessaggero,author_1581,0
UgxqmGAXF7_8exPHbtB4AaABAg,,2OdCVeqI-JM,False,author_5212,2026-05-22T09:15:18Z,2026-05-22T09:15:18Z,0,"CAZZI VOSTRI !!!!!
AVETE LAVORATO NELL' ILLEGALITÀ PER 30 ANNI
PENSO CHE AVETE GIÀ RUBATO A SUFFICIENZA. 
TERRONI.",,0,ilmessaggero,author_5212,1
Ugwh4t70UI2q-AVoiOZ4AaABAg,,2OdCVeqI-JM,False,author_3280,2026-05-22T09:55:08Z,2026-05-22T09:55:08Z,6,Come poteva un baraccone del genere durare?,,0,ilmessaggero,author_3280,1
Ugw8trdT1GeDDfXb1kJ4AaABAg,,2OdCVeqI-JM,False,author_6601,2026-05-22T16:08:17Z,2026-05-22T16:08:17Z,4,Il castello dell'ignoranza !!!,,0,ilmessaggero,author_6601,1
Ugw0pzJhNS0m78Y_kG54AaABAg,,2OdCVeqI-JM,False,author_636,2026-05-23T10:58:02Z,2026-05-23T10:58:02Z,0,😂😂😂😂😂😂😂😂😂😂😂,,0,ilmessaggero,author_636,0
UgzSnihyqcD0OjXcSDF4AaABAg,,2OdCVeqI-JM,False,author_6602,2026-05-24T12:00:46Z,2026-05-24T12:00:46Z,0,Imparate a vivere con  onestà  e queste cose  non  vi accadranno  più  ...auguri.,,0,ilmessaggero,author_6602,1
Ugwi2lBogOdKOTcc-gd4AaABAg.AX6B3mXNitBAXCRg1l1yX0,Ugwi2lBogOdKOTcc-gd4AaABAg,2OdCVeqI-JM,True,author_6603,2026-05-24T19:35:53Z,2026-05-24T19:35:53Z,0,Però.....,Ugwi2lBogOdKOTcc-gd4AaABAg,1,ilmessaggero,author_6603,0
UgwBSqHVc2wpu7fcQoN4AaABAg,,2OdCVeqI-JM,False,author_5125,2026-05-28T11:59:09Z,2026-05-28T11:59:09Z,0,W la camorra,,0,ilmessaggero,author_5125,1
