comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugx_zTCo3CzQvefv6TZ4AaABAg,,4qItDsr6glA,False,author_644,2026-05-23T08:02:19Z,2026-05-23T08:02:19Z,1,❤❤❤❤❤,,0,ilmessaggero,author_644,0
UgwXEriHV80rsFMILDN4AaABAg,,4qItDsr6glA,False,author_644,2026-05-23T08:03:04Z,2026-05-23T08:03:04Z,1,Forza rocco ti auguro di guarire presto ❤❤❤❤,,0,ilmessaggero,author_644,0
Ugyykez0XKi_TdRv5TJ4AaABAg,,4qItDsr6glA,False,author_4964,2026-05-23T08:22:21Z,2026-05-23T08:23:12Z,1,"Alla tua età, anch'io sono caduto nella cantina di casa.
Stavo pitturando la porta, quando devo avere messo un piede sul l'orlo del primo gradino, mi sono fatto tutta la scalinata, e con la testa devo avere sbattuto contro qualcosa, ho perso conoscenze solo per poco, sono stato recuperato da mia madre.
Va tutto bene, lo auguro anche a te.",,0,ilmessaggero,author_4964,0
Ugwci9HhLNYXSQ1N0xV4AaABAg,,4qItDsr6glA,False,author_5879,2026-05-23T09:01:48Z,2026-05-23T09:01:48Z,2,In bocca a lupo per la tua guarigione. Sei un leone protetto dal Signore .❤❤❤❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_5879,0
Ugxv--GHyPncf2WBu5d4AaABAg,,4qItDsr6glA,False,author_6,2026-05-23T09:54:00Z,2026-05-23T09:54:00Z,1,🙏🏻❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,0,ilmessaggero,author_6,0
Ugz6x8M7z8FUwXSCaOl4AaABAg,,4qItDsr6glA,False,author_3740,2026-05-23T10:31:49Z,2026-05-23T10:31:49Z,2,"Da capire perché a 12 anni sia così impulsivo. Sindrome ADHD?
Mai sottovalutare questi comportamenti fuori logica, anche in un bambino non di solo, bensì già di 12 anni!",,0,ilmessaggero,author_3740,1
UgzeiK_jkkZlhFk75eh4AaABAg,,4qItDsr6glA,False,author_2252,2026-05-23T10:47:39Z,2026-05-23T10:47:39Z,1,Forza rocco,,0,ilmessaggero,author_2252,0
UgzwAHUISlZKx_iMw_l4AaABAg,,4qItDsr6glA,False,author_5880,2026-05-23T16:04:44Z,2026-05-23T16:04:44Z,1,Grande Rocco lunga vita ❤❤❤❤❤❤❤🎉🎉🎉🎉🎉sei una forza della vita,,0,ilmessaggero,author_5880,0
UgyYQTILro9uhVtc8U54AaABAg,,4qItDsr6glA,False,author_5881,2026-05-23T18:54:58Z,2026-05-23T18:54:58Z,2,"Ciao piccolo grande Rocco ❣️ Ti auguro un 
Buon proseguimento di pronta guarigione💪",,0,ilmessaggero,author_5881,0
Ugz6x8M7z8FUwXSCaOl4AaABAg.AX8tcLnNybkAXAuRo7bHqa,Ugz6x8M7z8FUwXSCaOl4AaABAg,4qItDsr6glA,True,author_5882,2026-05-24T05:17:28Z,2026-05-24T05:17:28Z,1,Cosa te ne frega?,Ugz6x8M7z8FUwXSCaOl4AaABAg,1,ilmessaggero,author_5882,1
UgxAKN6K807oFEojznZ4AaABAg,,4qItDsr6glA,False,author_4588,2026-05-24T06:12:46Z,2026-05-24T06:12:46Z,1,"Amore,sei un amore ❤❤❤❤",,0,ilmessaggero,author_4588,0
Ugx8EPnzNNsYAeea_ch4AaABAg,,4qItDsr6glA,False,author_5883,2026-05-24T08:48:18Z,2026-05-24T08:48:18Z,2,Un abbraccio affettuoso da una nonna!,,0,ilmessaggero,author_5883,0
Ugx3osrdmTtFmjZJbfF4AaABAg,,4qItDsr6glA,False,author_5884,2026-05-25T07:13:22Z,2026-05-25T07:13:22Z,0,Augurissimi bimbo mio ❣️👋☺️,,0,ilmessaggero,author_5884,0
UgxqNzOIaqlFM6sjT2h4AaABAg,,4qItDsr6glA,False,author_5885,2026-05-25T20:02:27Z,2026-05-25T20:02:27Z,0,"Ho povero bimbo ❤ sono felice che sta bene, mi viene in mente un ricordo  da piccola mia sorella testona 😂 e caduta dalla finestra  1 piano  eravamo  ha Sassari  fortunatamente x essere un 1 piano era un po' più basso, ha battuto la testa sul marciapiede ma si è fatta male, sta bene ❤",,0,ilmessaggero,author_5885,0
UgxlNUphNX1D1s2FMYF4AaABAg,,4qItDsr6glA,False,author_4276,2026-05-27T13:40:50Z,2026-05-27T13:40:50Z,0,❤❤❤,,0,ilmessaggero,author_4276,0
