comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyXFOyxKAtG4IJn2IF4AaABAg,,ATFkDahYKDY,False,author_5043,2026-05-27T11:57:35Z,2026-05-27T11:57:35Z,0,Palle palle palle palle palle palle,,0,ilmessaggero,author_5043,1
UgyXFOyxKAtG4IJn2IF4AaABAg.AXJLbxGqrxaAXJM3Z8882s,UgyXFOyxKAtG4IJn2IF4AaABAg,ATFkDahYKDY,True,author_1496,2026-05-27T12:01:29Z,2026-05-27T12:01:56Z,0,"Quando sarebbe bello vedere voi illuminati positivi all’ebola.
E visto che il tasso di mortalità, a seconda dei ceppi, arriva anche al 50% ci sarebbero buone possibilità di levarsi dalle palle di voi cog*ioni. 😘",UgyXFOyxKAtG4IJn2IF4AaABAg,1,ilmessaggero,author_1496,1
Ugxj0PDoZi_ZdZqKV5V4AaABAg,,ATFkDahYKDY,False,author_5044,2026-05-27T12:04:01Z,2026-05-27T12:04:01Z,1,Eccoci... poggi poggi boum boum!,,0,ilmessaggero,author_5044,1
Ugwr-0xRlNZZT5annBB4AaABAg,,ATFkDahYKDY,False,author_5045,2026-05-27T12:39:06Z,2026-05-27T12:39:06Z,3,Bravissima dottoressa grazie mille,,0,ilmessaggero,author_5045,0
Ugzqfl7r26CntUVIuUF4AaABAg,,ATFkDahYKDY,False,author_5046,2026-05-27T13:48:42Z,2026-05-27T13:48:42Z,1,Ecco fatto....come il covid,,0,ilmessaggero,author_5046,1
UgzenUUBo_ieQaAsb8J4AaABAg,,ATFkDahYKDY,False,author_5047,2026-05-27T15:07:19Z,2026-05-27T15:10:43Z,5,"Mi ricorda qualcosa 😑. Poi tutti ""state tranquilli !"" Ma magari prima di rientrare fare la quarantena la?! Tanto di cappello a questi medici che si espongono in prima persona x aiutare chi è meno furtunato ma un po' più di attenzione x favore prima di tornare",,0,ilmessaggero,author_5047,1
Ugx8-eU5JDOoVricE6J4AaABAg,,ATFkDahYKDY,False,author_5042,2026-05-27T20:58:33Z,2026-05-27T20:58:33Z,3,Complimenti per aiutare i  congolesi è tornata in Italia come appestatrice invece di fermarsi a fare la quarantena prima di partire. 👍👍,,0,ilmessaggero,author_5042,1
Ugwr-0xRlNZZT5annBB4AaABAg.AXJQN1u1XrJAXKPE50LHjH,Ugwr-0xRlNZZT5annBB4AaABAg,ATFkDahYKDY,True,author_4964,2026-05-27T21:48:23Z,2026-05-27T21:48:23Z,0,"Schifosa Ipocrita è Infame.
Doveva fare la Quarantena lì 😢!",Ugwr-0xRlNZZT5annBB4AaABAg,1,ilmessaggero,author_4964,1
UgytEopzLN463ZoeE-J4AaABAg,,ATFkDahYKDY,False,author_5048,2026-05-27T22:01:52Z,2026-05-27T22:01:52Z,0,Siamo sicuri???,,0,ilmessaggero,author_5048,1
Ugw2v5MeAbhwn8hYsLx4AaABAg,,ATFkDahYKDY,False,author_1380,2026-05-28T12:03:14Z,2026-05-28T12:03:14Z,0,"Beh direi che è proprio il top questa dottoressa!!! Sa di essere stata in contatto con dei positivi,prende un aereo con altre 100 persone,e va in ospedale!!! Grande! Una stretta di mano ed una pacca sulla spalla!!!",,0,ilmessaggero,author_1380,1
