comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzuAAAX4dPUKlxGhxl4AaABAg,,Eu0pibvBVjo,False,author_4569,2026-05-22T17:21:52Z,2026-05-22T17:21:52Z,4,Buffone,,0,ilmessaggero,author_4569,1
UgztFp3y8ExhCGDkpUF4AaABAg,,Eu0pibvBVjo,False,author_5924,2026-05-22T17:47:22Z,2026-05-22T17:47:22Z,1,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,ilmessaggero,author_5924,0
UgwRg4AihOVGiojLbhJ4AaABAg,,Eu0pibvBVjo,False,author_5925,2026-05-22T22:09:10Z,2026-05-22T22:09:10Z,0,Imbroglione,,0,ilmessaggero,author_5925,1
UgxG-N4axBdY9QJYgix4AaABAg,,Eu0pibvBVjo,False,author_5158,2026-05-22T22:42:05Z,2026-05-22T22:42:05Z,1,Trump forever.,,0,ilmessaggero,author_5158,0
Ugyxxil_aoqPr_c-kQF4AaABAg,,Eu0pibvBVjo,False,author_1204,2026-05-22T23:38:55Z,2026-05-22T23:38:55Z,0,Il pagliaccio trumpstein....,,0,ilmessaggero,author_1204,1
UgxRxHx1gQWaNSHWCJF4AaABAg,,Eu0pibvBVjo,False,author_5926,2026-05-23T06:29:56Z,2026-05-23T06:29:56Z,0,Jes MAI FIRRERR😮😮MA ULTIMA SSRA SEMPRE TUA MAI FIRERR,,0,ilmessaggero,author_5926,1
UgxG-N4axBdY9QJYgix4AaABAg.AX7cOz5bm32AX8W9O5Zu_l,UgxG-N4axBdY9QJYgix4AaABAg,Eu0pibvBVjo,True,author_5927,2026-05-23T06:58:01Z,2026-05-23T06:58:01Z,0,Contenta te,UgxG-N4axBdY9QJYgix4AaABAg,1,ilmessaggero,author_5927,0
UgztFp3y8ExhCGDkpUF4AaABAg.AX75fVxsuM7AX8q3DWYvnN,UgztFp3y8ExhCGDkpUF4AaABAg,Eu0pibvBVjo,True,author_5928,2026-05-23T10:00:40Z,2026-05-23T10:00:40Z,0,😂😂😂😂😂😂😂😂😂😂😂😂,UgztFp3y8ExhCGDkpUF4AaABAg,1,ilmessaggero,author_5928,0
UgwZq9QgmjwMW8yPmqt4AaABAg,,Eu0pibvBVjo,False,author_5928,2026-05-23T10:00:54Z,2026-05-23T10:00:54Z,0,😂😂😂😂😂😂,,0,ilmessaggero,author_5928,0
UgxG-N4axBdY9QJYgix4AaABAg.AX7cOz5bm32AX9KVmctMVx,UgxG-N4axBdY9QJYgix4AaABAg,Eu0pibvBVjo,True,author_1496,2026-05-23T14:35:27Z,2026-05-23T14:35:54Z,1,"Quindi ti piacciono i dittatori.
Buon per te.",UgxG-N4axBdY9QJYgix4AaABAg,1,ilmessaggero,author_1496,1
UgxG-N4axBdY9QJYgix4AaABAg.AX7cOz5bm32AXBHEEZau75,UgxG-N4axBdY9QJYgix4AaABAg,Eu0pibvBVjo,True,author_5929,2026-05-24T08:45:20Z,2026-05-24T08:45:20Z,0,"I dittatori li hai visti coi tuoi occhi, immenso cretino :Obama, Biden e i loro cari vicini e lontani. Tu e quelli come te siate maledetti in eterno.",UgxG-N4axBdY9QJYgix4AaABAg,1,ilmessaggero,author_5929,1
Ugx-Tbc1rBAXMA4EL014AaABAg,,Eu0pibvBVjo,False,author_2556,2026-05-24T14:27:11Z,2026-05-24T14:27:11Z,0,😂😂😂😂😂,,0,ilmessaggero,author_2556,0
