comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyrEw96JdDH8aMn5n94AaABAg,,Hw0x0yyN-Pg,False,author_5049,2026-05-27T11:26:27Z,2026-05-27T11:26:27Z,3,Beh ma questi scienziati alle persone che muoiono non frega niente evidentemente.,,0,ilmessaggero,author_5049,1
UgzKi-CTDAKneROt6d14AaABAg,,Hw0x0yyN-Pg,False,author_3584,2026-05-27T11:37:45Z,2026-05-27T11:37:45Z,0,Ci toccherà portare le balene e i delfini dallo psicologo.....avvisate subito la Brambilla così fa qualcosa,,0,ilmessaggero,author_3584,1
UgyZREwpF8acZo0HYiZ4AaABAg,,Hw0x0yyN-Pg,False,author_5050,2026-05-27T11:39:11Z,2026-05-27T11:39:11Z,2,Vomitevole preoccuparsi delle balene invece di pubblicare i nomi dei bambini uccisi sotto le bombe del club Epstein.,,0,ilmessaggero,author_5050,1
UgwAHeeEOirYuw9pDgZ4AaABAg,,Hw0x0yyN-Pg,False,author_5051,2026-05-27T11:45:30Z,2026-05-27T11:45:30Z,4,Tranquilli  le guerre  sono green 😡😡,,0,ilmessaggero,author_5051,1
Ugz23CWAKKLgqLH82XZ4AaABAg,,Hw0x0yyN-Pg,False,author_72,2026-05-27T12:09:21Z,2026-05-27T12:09:21Z,4,C'e' poco da fare battute ! Quanta ignoranza!!!,,0,ilmessaggero,author_72,1
UgyrEw96JdDH8aMn5n94AaABAg.AXJI311Z4TSAXJNM-GCqzG,UgyrEw96JdDH8aMn5n94AaABAg,Hw0x0yyN-Pg,True,author_4270,2026-05-27T12:12:44Z,2026-05-27T12:12:44Z,2,"Loro lanciano l'allarme per quello che è il loro campo di studio, cosa vuol dire che non gliene frega niente delle vite umane???",UgyrEw96JdDH8aMn5n94AaABAg,1,ilmessaggero,author_4270,0
Ugz4XKI-nom0CUY4Gv94AaABAg,,Hw0x0yyN-Pg,False,author_4283,2026-05-27T12:22:35Z,2026-05-27T12:22:35Z,0,Sempre colpa di alcuni uomini sempreeee,,0,ilmessaggero,author_4283,1
UgzTFMdBaoRCGF_J2EF4AaABAg,,Hw0x0yyN-Pg,False,author_115,2026-05-27T12:36:27Z,2026-05-27T12:36:27Z,8,"Buongiorno  questi esseri umani  al potere ma chi si credono di essere, stanno distruggendo ogni cosa fanno pena e mi fanno schifo",,0,ilmessaggero,author_115,1
UgxJA3zBxrkWuk7kQkF4AaABAg,,Hw0x0yyN-Pg,False,author_5052,2026-05-27T15:20:19Z,2026-05-27T15:20:19Z,0,"'pigna an culu.
criminals!!!",,0,ilmessaggero,author_5052,1
UgyhFty1g0AekoFQJkd4AaABAg,,Hw0x0yyN-Pg,False,author_92,2026-05-27T15:24:24Z,2026-05-27T15:24:24Z,5,Anche loro sono vittime di questa infamiia trumpiana e neta,,0,ilmessaggero,author_92,1
