comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwLDriWkrVqZHqRDvt4AaABAg,,IFgbOLDf1TU,False,author_5772,2026-05-23T13:52:52Z,2026-05-23T13:52:52Z,3,Vada a cantare a Mosca.,,0,ilmessaggero,author_5772,1
UgzXq_OTsXmRNb3ukrJ4AaABAg,,IFgbOLDf1TU,False,author_4964,2026-05-23T13:54:42Z,2026-05-23T13:54:42Z,0,Sono tutti gelosi...,,0,ilmessaggero,author_4964,0
UgzsaF6b3dR_yYs8e8h4AaABAg,,IFgbOLDf1TU,False,author_5773,2026-05-23T13:55:15Z,2026-05-23T13:55:15Z,0,Mafioso di mer.....,,0,ilmessaggero,author_5773,1
UgwrYIXSxhOgh3ceHdF4AaABAg,,IFgbOLDf1TU,False,author_129,2026-05-23T13:57:48Z,2026-05-23T13:57:48Z,4,"E basta... Quando uno fa il suo tempo, se deve anna' a ripone, come se dice a roma.... Grande onore e grande rispetto, ma non ha più voce e sostegno diaframmatico.",,0,ilmessaggero,author_129,1
UgxBcrXy2aXcrrWSyZR4AaABAg,,IFgbOLDf1TU,False,author_1661,2026-05-23T13:59:22Z,2026-05-23T13:59:22Z,1,La salute a 83 anni....,,0,ilmessaggero,author_1661,0
UgwjZVSLENacEEBxDBJ4AaABAg,,IFgbOLDf1TU,False,author_5335,2026-05-23T14:06:13Z,2026-05-23T14:06:13Z,2,Spera in un miracolo😂😂😂😂,,0,ilmessaggero,author_5335,1
Ugz5gOA8ssnBa81kN4B4AaABAg,,IFgbOLDf1TU,False,author_4685,2026-05-23T14:07:20Z,2026-05-23T14:07:43Z,0,"Albano, senza togliere nulla agli altri, la tua voce però è di una potenza pazzesca forse metteresti in ombra qualcuno.",,0,ilmessaggero,author_4685,0
Ugyhsmr_iopvg-P2LdJ4AaABAg,,IFgbOLDf1TU,False,author_5774,2026-05-23T14:08:44Z,2026-05-23T14:08:44Z,0,"Albano , goditi la pensione e non rompere più 😢😢😢😢😢😢😢😢",,0,ilmessaggero,author_5774,0
Ugz4QgneYZxJhPK-OWN4AaABAg,,IFgbOLDf1TU,False,author_535,2026-05-23T14:30:37Z,2026-05-23T14:30:37Z,1,🙏❤️💐🌹auguri,,0,ilmessaggero,author_535,0
Ugz5gOA8ssnBa81kN4B4AaABAg.AX9HHlVXpHeAX9LXXx3Zag,Ugz5gOA8ssnBa81kN4B4AaABAg,IFgbOLDf1TU,True,author_590,2026-05-23T14:44:26Z,2026-05-23T14:44:26Z,0,"Per la voce si, indubbiamente, ma i gusti musicali ed il pubblico sono cambiati, va accettato.   Amadeus non doveva promettere, Conti non lo ha illuso.",Ugz5gOA8ssnBa81kN4B4AaABAg,1,ilmessaggero,author_590,0
Ugxp60esdF3cJyb8dg14AaABAg,,IFgbOLDf1TU,False,author_3420,2026-05-23T15:38:49Z,2026-05-23T15:38:49Z,0,"Un vecchio proverbio dice "" quando il corpo si frustra l'anima si aggiusta""",,0,ilmessaggero,author_3420,0
UgyIjt7euJWSCZpM4BR4AaABAg,,IFgbOLDf1TU,False,author_5252,2026-05-23T16:44:53Z,2026-05-23T16:44:53Z,0,Brutta cosa la demenza senile😅😅,,0,ilmessaggero,author_5252,1
