comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy3eTVngCgxr1up8Bx4AaABAg,,PJ6OrEAjTZY,False,author_5181,2026-05-24T12:30:53Z,2026-05-24T12:30:53Z,2,❤❤❤😢😢😢,,0,ilmessaggero,author_5181,0
Ugz49VptWkTDkbEAMzB4AaABAg,,PJ6OrEAjTZY,False,author_2759,2026-05-24T13:01:16Z,2026-05-24T13:01:16Z,11,😢 non seguo il calcio ⚽ ad ogni modo auguri di pronta guarigione!!,,0,ilmessaggero,author_2759,0
UgwhCVVMiVNi0vWRQGt4AaABAg,,PJ6OrEAjTZY,False,author_5312,2026-05-24T13:35:32Z,2026-05-24T13:35:32Z,8,Spero che tutto si risolva x il meglio x questo ragazzo 🙏🏼😢,,0,ilmessaggero,author_5312,0
Ugz7h-_r7qeXyxsJ0j54AaABAg,,PJ6OrEAjTZY,False,author_5609,2026-05-24T14:05:36Z,2026-05-24T14:05:36Z,4,Si dovrebbe andare tutti a piedi o in bicicletta,,0,ilmessaggero,author_5609,0
UgyulXJm0fATrmmcmcR4AaABAg,,PJ6OrEAjTZY,False,author_4964,2026-05-24T14:51:55Z,2026-05-24T14:51:55Z,0,Com'è successo 😢?,,0,ilmessaggero,author_4964,0
UgycbHNw2EDHhZrg-KF4AaABAg,,PJ6OrEAjTZY,False,author_5610,2026-05-24T17:27:47Z,2026-05-24T17:27:47Z,0,🙏🙏🙏,,0,ilmessaggero,author_5610,0
Ugz7h-_r7qeXyxsJ0j54AaABAg.AXBqsy_0iuoAXCJQri-vsj,Ugz7h-_r7qeXyxsJ0j54AaABAg,PJ6OrEAjTZY,True,author_5611,2026-05-24T18:23:46Z,2026-05-24T18:23:46Z,0,Ma vai a ....,Ugz7h-_r7qeXyxsJ0j54AaABAg,1,ilmessaggero,author_5611,1
UgyulXJm0fATrmmcmcR4AaABAg.AXBwBFXC0lDAXCMg8JEvM9,UgyulXJm0fATrmmcmcR4AaABAg,PJ6OrEAjTZY,True,author_5612,2026-05-24T18:52:12Z,2026-05-24T18:52:12Z,0,Correva sicuro,UgyulXJm0fATrmmcmcR4AaABAg,1,ilmessaggero,author_5612,1
Ugxfy-8MM_raIxbBUrZ4AaABAg,,PJ6OrEAjTZY,False,author_5613,2026-05-24T19:45:13Z,2026-05-24T19:45:13Z,0,🙏,,0,ilmessaggero,author_5613,0
Ugx-WqCNfgnE-GjjHmV4AaABAg,,PJ6OrEAjTZY,False,author_5614,2026-05-24T20:54:59Z,2026-05-24T20:54:59Z,0,Che il Signore lo aiuti,,0,ilmessaggero,author_5614,0
UgxhWt5ZRqD5urGHLzp4AaABAg,,PJ6OrEAjTZY,False,author_5559,2026-05-24T21:36:06Z,2026-05-24T21:36:06Z,0,💪😇🙏🏻👍😳,,0,ilmessaggero,author_5559,0
UgzzNYcpK_IeNmixioh4AaABAg,,PJ6OrEAjTZY,False,author_622,2026-05-24T23:05:30Z,2026-05-24T23:05:30Z,0,Preghiamo per lui,,0,ilmessaggero,author_622,0
Ugz7h-_r7qeXyxsJ0j54AaABAg.AXBqsy_0iuoAXExG19LnrK,Ugz7h-_r7qeXyxsJ0j54AaABAg,PJ6OrEAjTZY,True,author_1318,2026-05-25T18:59:02Z,2026-05-25T18:59:02Z,0,Solo perché tu non ti puoi permettere un mezzo di trasporto non significa che non debbano usarlo gli altri!,Ugz7h-_r7qeXyxsJ0j54AaABAg,1,ilmessaggero,author_1318,0
Ugz7h-_r7qeXyxsJ0j54AaABAg.AXBqsy_0iuoAXF9cX43pOt,Ugz7h-_r7qeXyxsJ0j54AaABAg.AXBqsy_0iuoAXExG19LnrK,PJ6OrEAjTZY,True,author_5609,2026-05-25T20:55:50Z,2026-05-25T20:55:50Z,0,​author_7174 chi te lo ha detto che non posso permettermelo?,Ugz7h-_r7qeXyxsJ0j54AaABAg.AXBqsy_0iuoAXExG19LnrK,2,ilmessaggero,author_5609,0
UgxWBBPGBVJM8U67IxZ4AaABAg,,PJ6OrEAjTZY,False,author_5356,2026-05-26T09:39:00Z,2026-05-26T09:39:00Z,0,"Purtroppo tutti i mezzi di trasporto possono risultare pericolosi, sopratutto se si va troppo veloci.
E comunque è tutto pericoloso, nocivo e dannoso.
Anche a fare super attenzione, possono succedere incidenti, anche soltanto a causa di imprevisti improvvisi ed inaspettati.
Per tale motivo occorre avere la forza di procedere ad una velocità che ci consenta di rallentare abbastanza in caso di necessità.
Poi ogni incidente ha le sue dinamiche proprie.
Speriamo si rimetta bene e presto.",,0,ilmessaggero,author_5356,0
