comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy4zXkZCWcfl0ZiSPN4AaABAg,,QcW2Q41IpZI,False,author_5615,2026-05-24T10:25:52Z,2026-05-24T10:25:52Z,0,1500 euro al mese😢,,0,ilmessaggero,author_5615,0
UgxOwK4y99gjXsk5XdV4AaABAg,,QcW2Q41IpZI,False,author_5616,2026-05-24T10:27:17Z,2026-05-24T10:27:17Z,4,Grande❤,,0,ilmessaggero,author_5616,0
Ugxln6_Z3TJ145QrL9p4AaABAg,,QcW2Q41IpZI,False,author_5617,2026-05-24T10:31:29Z,2026-05-24T10:31:29Z,0,Sei bella,,0,ilmessaggero,author_5617,1
Ugz0eTEQBXnJY4qI0dl4AaABAg,,QcW2Q41IpZI,False,author_5618,2026-05-24T10:31:45Z,2026-05-24T10:31:45Z,4,Complimenti!,,0,ilmessaggero,author_5618,0
UgxOhFy6ZajRSl0JftN4AaABAg,,QcW2Q41IpZI,False,author_5619,2026-05-24T10:39:24Z,2026-05-24T10:39:24Z,3,"Super, spero che lo stipendio sia adeguato❤",,0,ilmessaggero,author_5619,0
Ugyfjny_6IdFU9VrO554AaABAg,,QcW2Q41IpZI,False,author_5620,2026-05-24T10:44:46Z,2026-05-24T10:44:46Z,1,Capirai...,,0,ilmessaggero,author_5620,0
UgyUHZp49Ca10GzOr_F4AaABAg,,QcW2Q41IpZI,False,author_5621,2026-05-24T10:47:02Z,2026-05-24T10:47:02Z,0,Mai e poi mai con una società come Ryanair...,,0,ilmessaggero,author_5621,1
Ugw3SuYJv7nOg19qrVh4AaABAg,,QcW2Q41IpZI,False,author_2830,2026-05-24T10:49:07Z,2026-05-24T10:49:07Z,0,Grazie a Ryanair il turismo ha portato soltanto spazzatura. Pagano 30 euro in hotel e pretendono di tutto.  Zero rispetto.,,0,ilmessaggero,author_2830,1
Ugy4zXkZCWcfl0ZiSPN4AaABAg.AXBSjdpMYxBAXBVuS8_qOX,Ugy4zXkZCWcfl0ZiSPN4AaABAg,QcW2Q41IpZI,True,author_5622,2026-05-24T10:53:34Z,2026-05-24T10:53:34Z,1,"Per i primi due anni perché glielo scalano dal type rating, poi si arriva ben oltre i 3.500 euro fino a 10.000 per i comandanti.",Ugy4zXkZCWcfl0ZiSPN4AaABAg,1,ilmessaggero,author_5622,0
UgwG5GXrJhustttQ2tF4AaABAg,,QcW2Q41IpZI,False,author_5623,2026-05-24T11:05:08Z,2026-05-24T11:05:08Z,4,Braviasima❤,,0,ilmessaggero,author_5623,0
UgyCH_fbGlVq0TxOJoB4AaABAg,,QcW2Q41IpZI,False,author_5624,2026-05-24T11:15:52Z,2026-05-24T11:15:52Z,3,"Complimenti, io mi sono trovato sempre bene con Ryanair",,0,ilmessaggero,author_5624,0
UgzvzXKYWSJr9vyVECB4AaABAg,,QcW2Q41IpZI,False,author_5625,2026-05-24T11:22:09Z,2026-05-24T11:22:09Z,4,Poveri quelli a bordo,,0,ilmessaggero,author_5625,1
Ugxt5QlqlgQ_zYm13iF4AaABAg,,QcW2Q41IpZI,False,author_5626,2026-05-24T11:24:53Z,2026-05-24T11:24:53Z,0,E anche un bel figone,,0,ilmessaggero,author_5626,1
UgxkbNYjqkDdlxGBVTh4AaABAg,,QcW2Q41IpZI,False,author_5627,2026-05-24T11:27:50Z,2026-05-24T11:27:50Z,12,Bravissima. Un ringraziamento speciale anche ai genitori che le hanno dato il meglio❤,,0,ilmessaggero,author_5627,0
UgwX8fQbo_lNg851NrZ4AaABAg,,QcW2Q41IpZI,False,author_5628,2026-05-24T11:28:51Z,2026-05-24T11:28:51Z,0,E sti cazzi😂,,0,ilmessaggero,author_5628,1
UgxOhFy6ZajRSl0JftN4AaABAg.AXBUHnaro1hAXBZyovF56N,UgxOhFy6ZajRSl0JftN4AaABAg,QcW2Q41IpZI,True,author_5628,2026-05-24T11:29:06Z,2026-05-24T11:29:06Z,0,Questi sono i commenti di un coione😂,UgxOhFy6ZajRSl0JftN4AaABAg,1,ilmessaggero,author_5628,1
UgzWKsIxpXcVYPr2CHR4AaABAg,,QcW2Q41IpZI,False,author_300,2026-05-24T11:39:32Z,2026-05-24T11:39:32Z,0,Auguri ‼️ 👍,,0,ilmessaggero,author_300,0
