comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgyIwHHYfBZwXTmj9VV4AaABAg,,Re8gVvm24ZU,False,author_3352,2026-05-22T08:11:51Z,2026-05-22T08:11:51Z,17,La troppa sopravvalutazione di sé stessi!🎉,,0,ilmessaggero,author_3352,1,1,gold
Ugxh7xoYPwrpqr8ju-F4AaABAg,,Re8gVvm24ZU,False,author_4669,2026-05-22T08:13:34Z,2026-05-22T08:13:34Z,22,"La tragedia si e conclusa qualunque sia stata la causa, adesso queste persone non ci sono più lasciamo riposare in pace 🙏🙏🙏🙏🙏 un grande grazie ai sub finlandesi che li anno portato in superficie, cosa dire in questi casi, ovviamente bisogna capire cosa sia successo, diciamo che la fatalità è l'imprevisto a portato via delle splendide persone, ❤❤❤❤❤",,0,ilmessaggero,author_4669,1,0,gold
UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX68aOyuamp,UgyIwHHYfBZwXTmj9VV4AaABAg,Re8gVvm24ZU,True,author_6192,2026-05-22T08:53:39Z,2026-05-22T08:53:39Z,6,"A me però lei piace troppo, dico la sub finlandese mentre per quanto riguarda gli italiani, erano guidati da una ebete piena di ego, lo si vedeva già dalla faccia",UgyIwHHYfBZwXTmj9VV4AaABAg,1,ilmessaggero,author_6192,1,1,gold
Ugx1uv67gzviwCOblDl4AaABAg,,Re8gVvm24ZU,False,author_5903,2026-05-22T09:08:32Z,2026-05-22T09:08:32Z,10,Riposino in pace 🙏,,0,ilmessaggero,author_5903,1,0,gold
UgyVeaKp5fOYE_RBq9J4AaABAg,,Re8gVvm24ZU,False,author_5399,2026-05-22T09:11:54Z,2026-05-22T09:11:54Z,0,Comunque chiararli super sub é davvero da ritardati...o da giornalisti italiani. Da un giornalista mi aspetterei come minimo che conosca la lingua in cui scrive...e invece super sub al posto di speleo sub...mah...😢,,0,ilmessaggero,author_5399,1,1,gold
UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX6BW0FR8fi,UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX68aOyuamp,Re8gVvm24ZU,True,author_4967,2026-05-22T09:19:07Z,2026-05-22T09:19:07Z,9,"@author_6192 abbi rispetto, non sai come sono andate le cose",UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX68aOyuamp,2,ilmessaggero,author_4967,1,0,gold
UgzuBdeinjWTRzlbkA14AaABAg,,Re8gVvm24ZU,False,author_5312,2026-05-22T13:20:47Z,2026-05-22T13:20:47Z,21,Onore a questi grandi super-sub finlandesi 🙏🏼❤️,,0,ilmessaggero,author_5312,1,0,gold
UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX6cIm8zcV7,UgyIwHHYfBZwXTmj9VV4AaABAg,Re8gVvm24ZU,True,author_5312,2026-05-22T13:21:59Z,2026-05-22T13:21:59Z,0,@author_6192 Sinceramente è più il tuo commento ad essere da ebete,UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX68aOyuamp,2,ilmessaggero,author_5312,1,1,gold
Ugxh7xoYPwrpqr8ju-F4AaABAg.AX64-rsd76PAX6iy7ISdod,Ugxh7xoYPwrpqr8ju-F4AaABAg,Re8gVvm24ZU,True,author_5979,2026-05-22T14:20:12Z,2026-05-22T14:20:12Z,4,la fatalità? l imprevisto? veramente ha parlato di errore umano......,Ugxh7xoYPwrpqr8ju-F4AaABAg,1,ilmessaggero,author_5979,1,0,gold
UgwzSVnwcFTh9LaMDuV4AaABAg,,Re8gVvm24ZU,False,author_3749,2026-05-22T14:52:42Z,2026-05-22T14:52:42Z,3,Se non ci fosse stata una grave negligenza nell'infilarsi dentro una grotta a quest'ora sapremmo cos'è avvenuto dettagliatamente,,0,ilmessaggero,author_3749,1,0,gold
Ugwf9KhIN1MLZ08xawV4AaABAg,,Re8gVvm24ZU,False,author_5181,2026-05-22T17:25:28Z,2026-05-22T17:25:28Z,0,❤❤❤❤❤😢😢😢😢😢,,0,ilmessaggero,author_5181,1,0,gold
UgwCvnDZDOut_DOswdB4AaABAg,,Re8gVvm24ZU,False,author_6193,2026-05-22T18:12:31Z,2026-05-22T18:12:31Z,9,Bisogna premiare queste persone assieme al sub maldiviano che ha perso la vita .,,0,ilmessaggero,author_6193,1,0,gold
Ugxh7xoYPwrpqr8ju-F4AaABAg.AX64-rsd76PAX7G7wL89Eb,Ugxh7xoYPwrpqr8ju-F4AaABAg.AX64-rsd76PAX6iy7ISdod,Re8gVvm24ZU,True,author_6194,2026-05-22T19:18:46Z,2026-05-22T19:18:46Z,5,@user dispiace dirlo ma credo che la professoressa e chi la seguiva hanno sottovalutato i rischi di quel tipo di immersione dimostrando scarsa preparazione e professionalità sopravvalutando le loro capacità. Utilizzando inoltre una attrezzatura insufficiente per quelle profondità hanno dimostrato anche scarsa capacità di pianificazione. Non ultimo poi dispiace dirlo ma io critico anche il comportamento della professoressa come mamma perché mai mi sognerei di portare con me mia figlia appena ventenne in una immersione del genere perché non avrebbe mai potuto avere esperienza sufficiente data l età. Detto ciò le più sincere condoglianze e profondo rispetto per il dolore di queste 5 famiglie ricordando anche la famiglia del povero sergente maldiviano deceduto per tentare il recupero dei corpi,Ugxh7xoYPwrpqr8ju-F4AaABAg.AX64-rsd76PAX6iy7ISdod,2,ilmessaggero,author_6194,1,0,gold
UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX7L-mFwAU9,UgyIwHHYfBZwXTmj9VV4AaABAg,Re8gVvm24ZU,True,author_783,2026-05-22T20:01:20Z,2026-05-22T20:01:20Z,0,@user,UgyIwHHYfBZwXTmj9VV4AaABAg.AX63oM_TCtdAX68aOyuamp,2,ilmessaggero,author_783,1,0,gold
