comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwKLuuRpdPQYWFGmI14AaABAg,,Rm-8FjCgI0k,False,author_4276,2026-05-21T08:51:51Z,2026-05-21T08:51:51Z,3,Spero che siano 20anni effettivi,,0,ilmessaggero,author_4276,1
Ugy-o0dnwwf7A5VGiZl4AaABAg,,Rm-8FjCgI0k,False,author_3905,2026-05-21T09:04:18Z,2026-05-21T09:04:18Z,0,Ma non c erano altri criminali presenti e partecipi a quella vile e vigliacca aggressione?? Loro galera no? 20 anni effettifi devo essere!!!,,0,ilmessaggero,author_3905,1
UgzzabNcQN-v_9q_e7Z4AaABAg,,Rm-8FjCgI0k,False,author_6571,2026-05-21T09:07:02Z,2026-05-21T09:07:02Z,0,"L’abbraccio  falso  dell’aggressione?Per la mor del cielo ognuno che ha subito un’aggressione decide quello che è giusto fare x se!! Da cittadino arrabbiato per il danno permanente subito da questo ragazzo non condivido!!

È vergognoso che questa gentaglia violenta arrivi nel nostra nazione a delinquere?

Chi subisce il torto per la legge italiana è quello che paga il prezzo più alto!!
20 anni sono davvero pochissimi tenendo presente che se gli va male farà 5/6 di galera.
Per me le leggi proteggono chi causa il torto e non chi lo subisce.e il mio pensiero personale.",,0,ilmessaggero,author_6571,1
UgxpIHp-mkjGVatkiJp4AaABAg,,Rm-8FjCgI0k,False,author_6585,2026-05-21T10:07:22Z,2026-05-21T10:07:22Z,7,A gente così  20 anni sono anche pochi,,0,ilmessaggero,author_6585,1
UgwWnM12Zc9ylOpfIxd4AaABAg,,Rm-8FjCgI0k,False,author_6585,2026-05-21T10:08:01Z,2026-05-21T10:08:01Z,0,A gente così  20 anni sono anche pochi,,0,ilmessaggero,author_6585,1
UgzzabNcQN-v_9q_e7Z4AaABAg.AX3aKSWAv2cAX3hvibDLNY,UgzzabNcQN-v_9q_e7Z4AaABAg,Rm-8FjCgI0k,True,author_5312,2026-05-21T10:13:24Z,2026-05-21T10:13:24Z,0,"L'accoltellatore condannato a 20 anni, è italiano!",UgzzabNcQN-v_9q_e7Z4AaABAg,1,ilmessaggero,author_5312,1
Ugx6pp5Rn8GMiXgRMaF4AaABAg,,Rm-8FjCgI0k,False,author_6586,2026-05-21T10:13:25Z,2026-05-21T10:13:58Z,3,"Mhaa! Una volta tanto che c'è una condanna quasi seria, anche se a uno soltanto degli aggressori, ci si mette pure la vittima. Ma dove siamo arrivati? Ma davvero qualcuno può credere che si possa andare avanti così? Mala tempora currunt!",,0,ilmessaggero,author_6586,0
Ugw1wpC5DgraDTzhe_B4AaABAg,,Rm-8FjCgI0k,False,author_6587,2026-05-21T12:20:30Z,2026-05-21T12:20:30Z,0,Sono pure pochi,,0,ilmessaggero,author_6587,1
UgznUWy8i05iA_25V8N4AaABAg,,Rm-8FjCgI0k,False,author_1752,2026-05-21T12:25:22Z,2026-05-21T12:25:22Z,0,20 anni e dopo sedia elettrica e voilà,,0,ilmessaggero,author_1752,1
UgwPYsNLDv3Dt9QA-jR4AaABAg,,Rm-8FjCgI0k,False,author_5086,2026-05-21T14:09:54Z,2026-05-21T14:09:54Z,0,"Lo ha perdonato, è vivo x miracolo penso che questo ragazzo non ha rispetto x se stesso.",,0,ilmessaggero,author_5086,1
