comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzC1_sfSvkXjGV_tQZ4AaABAg,,THWNu-DUS_k,False,author_6259,2026-05-21T16:02:14Z,2026-05-21T16:02:14Z,29,Povera ragazza,,0,ilmessaggero,author_6259,0
UgxwN6xRDLVBz5DCSc14AaABAg,,THWNu-DUS_k,False,author_2003,2026-05-21T16:07:09Z,2026-05-21T16:07:09Z,4,Che consolazione,,0,ilmessaggero,author_2003,1
UgyjHKu7kmCnXhYWRNl4AaABAg,,THWNu-DUS_k,False,author_618,2026-05-21T16:16:05Z,2026-05-21T16:16:05Z,0,❤🙏💫,,0,ilmessaggero,author_618,0
Ugx92Rl3fNhHUChFQyB4AaABAg,,THWNu-DUS_k,False,author_648,2026-05-21T16:19:38Z,2026-05-21T16:19:38Z,34,Giustizia  fatta devono stare in galera,,0,ilmessaggero,author_648,1
UgzuhYOLYXzA-5Z1cut4AaABAg,,THWNu-DUS_k,False,author_6260,2026-05-21T16:20:52Z,2026-05-21T16:20:52Z,44,"Finalmente! Ho seguito questo caso fin dall'inizio, mi era sembrato da subito che si trattava di una tentata violenza! Povera ragazza!",,0,ilmessaggero,author_6260,0
Ugyj3EqPyX8gFTpynGZ4AaABAg,,THWNu-DUS_k,False,author_5945,2026-05-21T16:22:26Z,2026-05-21T16:22:26Z,11,E spero l ergastolo,,0,ilmessaggero,author_5945,1
Ugz-CWqPyL4hn3qHV814AaABAg,,THWNu-DUS_k,False,author_6261,2026-05-21T16:26:02Z,2026-05-21T16:26:02Z,1,E da dove li devono prendere i soldi per risarcire i genitori?,,0,ilmessaggero,author_6261,1
Ugyj3EqPyX8gFTpynGZ4AaABAg.AX4N9XW7aMMAX4OVVOj5xL,Ugyj3EqPyX8gFTpynGZ4AaABAg,THWNu-DUS_k,True,author_247,2026-05-21T16:34:10Z,2026-05-21T16:34:10Z,1,Si in un paese civile ……,Ugyj3EqPyX8gFTpynGZ4AaABAg,1,ilmessaggero,author_247,0
UgyBxir7vopMXeop0bp4AaABAg,,THWNu-DUS_k,False,author_6262,2026-05-21T16:36:39Z,2026-05-21T16:36:39Z,14,Maledetti !!!!!povera ragazza ❤😢riposa in pace🙏🥺♥️,,0,ilmessaggero,author_6262,0
Ugxr8QeqP_iCWaUV-654AaABAg,,THWNu-DUS_k,False,author_6263,2026-05-21T16:38:13Z,2026-05-21T16:38:13Z,11,I soldi non portano più i figli 😢😢,,0,ilmessaggero,author_6263,0
Ugx92Rl3fNhHUChFQyB4AaABAg.AX4Mq5A74sIAX4RbjcNo0T,Ugx92Rl3fNhHUChFQyB4AaABAg,THWNu-DUS_k,True,author_6264,2026-05-21T17:01:22Z,2026-05-21T17:01:22Z,4,Purtroppo giustizia non si farà mai finché i colpevoli respirano,Ugx92Rl3fNhHUChFQyB4AaABAg,1,ilmessaggero,author_6264,1
