comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgziuiSJ5iaTeyuaXPV4AaABAg,,V25e7Y9PJg8,False,author_2118,2026-05-21T10:43:01Z,2026-05-21T10:43:01Z,1,Quindi alla boia di un giuda sono andati a fare immersione,,0,ilmessaggero,author_2118,1
Ugz9TN4DAX8Ae0BWv954AaABAg,,V25e7Y9PJg8,False,author_6545,2026-05-21T10:44:37Z,2026-05-21T10:44:37Z,21,Si vede subito che popolazione è   anno prestato soccorso e non vogliono essere pagati invece gli Svizzeri vogliono essere pagati anche se colpa è loro👍,,0,ilmessaggero,author_6545,1
UgzOupqp4tCzqucmLYR4AaABAg,,V25e7Y9PJg8,False,author_6545,2026-05-21T10:44:42Z,2026-05-21T10:44:42Z,4,Si vede subito che popolazione è   anno prestato soccorso e non vogliono essere pagati invece gli Svizzeri vogliono essere pagati anche se colpa è loro👍,,0,ilmessaggero,author_6545,1
UgxK0n2Lti3apiW3E5N4AaABAg,,V25e7Y9PJg8,False,author_6546,2026-05-21T11:19:06Z,2026-05-21T11:19:06Z,7,"Ma com'è possibile ,hanno detto che erano esperi di queste grotte profonde???? 
Forse hanno fatto tutto con troppa superficialità,non tenendo conto del pericolo in agguato......
Tutto.  fatto con molta leggerezza .",,0,ilmessaggero,author_6546,0
UgyRRUZDDRK18Sk2OzV4AaABAg,,V25e7Y9PJg8,False,author_3512,2026-05-21T11:20:34Z,2026-05-21T11:20:34Z,10,"Chapo' ai finlandesi , ma i 5 morti italiani mi chiedo come si può essere così incoscienti .",,0,ilmessaggero,author_3512,1
Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX3qe_xczFO,Ugz9TN4DAX8Ae0BWv954AaABAg,V25e7Y9PJg8,True,author_1318,2026-05-21T11:29:43Z,2026-05-21T11:29:43Z,4,"Gli svizzeri non hanno colpe, o meglio, non ne hanno solo loro.
Se un bambino vede un incendio, scappa, mentre i nostri fenomeni hanno preferito fermarsi a filmare il tutto.
Non è proprio la stessa cosa!",Ugz9TN4DAX8Ae0BWv954AaABAg,1,ilmessaggero,author_1318,0
Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX3qfSUe6ku,Ugz9TN4DAX8Ae0BWv954AaABAg,V25e7Y9PJg8,True,author_4967,2026-05-21T11:29:50Z,2026-05-21T11:29:50Z,1,tu credi a tutto quello che ti dicono,Ugz9TN4DAX8Ae0BWv954AaABAg,1,ilmessaggero,author_4967,0
UgxnAek6nWZej4qGX6J4AaABAg,,V25e7Y9PJg8,False,author_4967,2026-05-21T11:31:21Z,2026-05-21T11:31:21Z,4,"Vogliamo le prove che non vogliono essere pagati, non solo le vostre parole di giornalai bugiardi",,0,ilmessaggero,author_4967,1
Ugxaq3zb4uDB9Q-tX-h4AaABAg,,V25e7Y9PJg8,False,author_4967,2026-05-21T11:33:02Z,2026-05-21T11:33:02Z,3,"Seeee, come quando fanno liberare degli ostaggi e ti raccontano che non è stato pagato nessun riscatto.  Notizie date in pasto al popolo bue che si beve tutto",,0,ilmessaggero,author_4967,1
UgxrfZpjDjgnFibqLDJ4AaABAg,,V25e7Y9PJg8,False,author_6547,2026-05-21T11:35:16Z,2026-05-21T11:35:16Z,42,Grande ❤ onore ai finlandesi grazie di esistere.👍,,0,ilmessaggero,author_6547,0
UgxrfZpjDjgnFibqLDJ4AaABAg.AX3rIJKMwa3AX3rZoxewvD,UgxrfZpjDjgnFibqLDJ4AaABAg,V25e7Y9PJg8,True,author_4967,2026-05-21T11:37:40Z,2026-05-21T11:37:40Z,0,credici,UgxrfZpjDjgnFibqLDJ4AaABAg,1,ilmessaggero,author_4967,0
UgwR-vZ1ZJdrIdTQ8rp4AaABAg,,V25e7Y9PJg8,False,author_115,2026-05-21T12:08:38Z,2026-05-21T12:08:38Z,18,"Se la notizia  è  vera, tutto il mondo deve prendere esempio da loro, sono delle persone magnifiche e rare, complimenti  a loro di ❤ saluti cari a loro bravi 😮😊",,0,ilmessaggero,author_115,0
UgyLMZdHvUa0HjsqlVx4AaABAg,,V25e7Y9PJg8,False,author_5312,2026-05-21T12:57:42Z,2026-05-21T12:57:42Z,15,"Grazie di cuore alla squadra di subaquei finlandesi ❤
Questo vi fa veramente onore 🙏🏼",,0,ilmessaggero,author_5312,0
Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX40DROEx0r,Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX3qe_xczFO,V25e7Y9PJg8,True,author_5312,2026-05-21T13:01:59Z,2026-05-21T13:01:59Z,4,"​author_1318 Se il locale era a norma, l'incendio non ci sarebbe stato.
Invece è stato volutamente ristrutturato con materiali altamente infiammabili. 
Questo è un reato vero e proprio. Fenomeno!",Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX3qe_xczFO,2,ilmessaggero,author_5312,0
Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX411LnqEUh,Ugz9TN4DAX8Ae0BWv954AaABAg,V25e7Y9PJg8,True,author_843,2026-05-21T13:09:04Z,2026-05-21T13:09:04Z,0,Buon anno anche a te,Ugz9TN4DAX8Ae0BWv954AaABAg,1,ilmessaggero,author_843,0
Ugz9TN4DAX8Ae0BWv954AaABAg.AX3lVMHMhYyAX42tstX-GK,Ugz9TN4DAX8Ae0BWv954AaABAg,V25e7Y9PJg8,True,author_5889,2026-05-21T13:25:24Z,2026-05-21T13:25:24Z,2,"Gli svizzeri non vogliono essere pagati hanno mandato le fatture solo per fare sapere quello che hanno speso , la fattura aveva la dicitura di non dover essere pagata",Ugz9TN4DAX8Ae0BWv954AaABAg,1,ilmessaggero,author_5889,0
UgxrfZpjDjgnFibqLDJ4AaABAg.AX3rIJKMwa3AX47d3Q5uto,UgxrfZpjDjgnFibqLDJ4AaABAg,V25e7Y9PJg8,True,author_4964,2026-05-21T14:06:47Z,2026-05-21T14:06:47Z,1,"Quante minchiate raccontano le persone però...
Se qualcuno deve pagare, sono comunque le assicurazioni che lo devono.",UgxrfZpjDjgnFibqLDJ4AaABAg,1,ilmessaggero,author_4964,0
UgxRYSl_oq1gg4gscDx4AaABAg,,V25e7Y9PJg8,False,author_6548,2026-05-21T14:45:12Z,2026-05-21T14:45:12Z,11,A volte le parole non bastano..GRAZIE  FINLANDESI❤❤❤❤❤,,0,ilmessaggero,author_6548,0
UgzZa0_gquuj5L4Ouh94AaABAg,,V25e7Y9PJg8,False,author_1053,2026-05-21T15:19:24Z,2026-05-21T15:19:24Z,38,Ragazzi non dimentichiamo anche il Maldiviano🙏🙏🙏,,0,ilmessaggero,author_1053,0
UgxK0n2Lti3apiW3E5N4AaABAg.AX3pRodIR-vAX4KUMA4CKN,UgxK0n2Lti3apiW3E5N4AaABAg,V25e7Y9PJg8,True,author_6549,2026-05-21T15:59:03Z,2026-05-21T15:59:03Z,2,Sono d'accordo con te.,UgxK0n2Lti3apiW3E5N4AaABAg,1,ilmessaggero,author_6549,0
UgyLMZdHvUa0HjsqlVx4AaABAg.AX4-j0AX8KJAX4KfHs4z5h,UgyLMZdHvUa0HjsqlVx4AaABAg,V25e7Y9PJg8,True,author_6549,2026-05-21T16:00:41Z,2026-05-21T16:00:41Z,4,"Professionisti.. 
Non come i sub deceduti, purtroppo.",UgyLMZdHvUa0HjsqlVx4AaABAg,1,ilmessaggero,author_6549,1
UgyVhPhHhmbg-n9tXH54AaABAg,,V25e7Y9PJg8,False,author_6550,2026-05-21T16:04:38Z,2026-05-21T16:04:38Z,0,Bravi!❤,,0,ilmessaggero,author_6550,0
UgwpeFybKN_2QEN2ysh4AaABAg,,V25e7Y9PJg8,False,author_6551,2026-05-21T16:11:03Z,2026-05-21T16:11:03Z,0,In italia sub all'altezza dei 3 finlandesi ce ne sono?,,0,ilmessaggero,author_6551,0
UgyRRUZDDRK18Sk2OzV4AaABAg.AX3pbfSBxCyAX4O0DhpP_6,UgyRRUZDDRK18Sk2OzV4AaABAg,V25e7Y9PJg8,True,author_6552,2026-05-21T16:29:54Z,2026-05-21T16:29:54Z,0,Chapeau,UgyRRUZDDRK18Sk2OzV4AaABAg,1,ilmessaggero,author_6552,0
UgxlA3qVPHBCpN1ktv54AaABAg,,V25e7Y9PJg8,False,author_1700,2026-05-21T16:30:18Z,2026-05-21T16:30:18Z,5,Sono partiti senza le torce ????? Non ci credo 😮,,0,ilmessaggero,author_1700,0
UgxK0n2Lti3apiW3E5N4AaABAg.AX3pRodIR-vAX4Vc540oXb,UgxK0n2Lti3apiW3E5N4AaABAg,V25e7Y9PJg8,True,author_6331,2026-05-21T17:36:22Z,2026-05-21T17:36:22Z,1,Magari non avevano paura. E questa  È stata la loro sciagura,UgxK0n2Lti3apiW3E5N4AaABAg,1,ilmessaggero,author_6331,1
Ugz4c1JRzOvapsBoDjp4AaABAg,,V25e7Y9PJg8,False,author_6553,2026-05-21T18:24:49Z,2026-05-21T18:24:49Z,0,Un grazie di❤,,0,ilmessaggero,author_6553,0
UgxK0n2Lti3apiW3E5N4AaABAg.AX3pRodIR-vAX4alzHxv3U,UgxK0n2Lti3apiW3E5N4AaABAg,V25e7Y9PJg8,True,author_6554,2026-05-21T18:30:09Z,2026-05-21T18:30:09Z,7,"In grotta senza torcia principale, torcia di scorta, filo di Arianna, bombola 12 litri, oltre i 50 metri di profondità, si sono infilati dentro la grotta senza nemmeno fare un calcolo dei consumi, tempi di fondo, tempi di decompressione, aria residua per eventuali inconvenienti, e dicono sub esperti? Sicuramente si in immersioni ricreative a 20-30 metri di profondità, mi spiace molto per le loro vite ma quello che è successo deve essere un monitor per tutti i sub che vogliono andare in grotta per raccontarlo al bar, onore ai su Finlandesi professionisti di altissimo livello.",UgxK0n2Lti3apiW3E5N4AaABAg,1,ilmessaggero,author_6554,1
