comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugw29IqJTtJ8a0tp7q14AaABAg,,YmUOlS_fcgc,False,author_6201,2026-05-21T23:07:29Z,2026-05-21T23:07:29Z,1,Fuori di testa.,,0,ilmessaggero,author_6201,1
UgzafauR_i7TkGRaguV4AaABAg,,YmUOlS_fcgc,False,author_213,2026-05-22T05:38:54Z,2026-05-22T05:38:54Z,5,"L'ultima volta che e' accaduto ho meglio le ultime volte in Europa sono scoppiati due conflitti bellici, dobbiamo prepararci al peggio? Dunque",,0,ilmessaggero,author_213,1
UgwZHJqEcRSg8ggCyOR4AaABAg,,YmUOlS_fcgc,False,author_6202,2026-05-22T08:03:30Z,2026-05-22T08:03:30Z,0,Lo sapete che i tedeschi quando gli muore la madre gli ficcano le dita nella figa e gliela leccano tutta prima di metterle sottoterra e al padre glielo ficcano in culo tutto dentro mentre la moglie o il rispettivo marito guarda ?,,0,ilmessaggero,author_6202,1
Ugzx5TnNlHTJ4Eb6Spd4AaABAg,,YmUOlS_fcgc,False,author_6203,2026-05-22T14:35:57Z,2026-05-22T14:35:57Z,5,"la Germania, visto i gloriosi precedenti.....non dovrebbe possedere neanche dei temperini per sbucciare le mele.",,0,ilmessaggero,author_6203,1
Ugzx-lP8x_-W9cb9cDB4AaABAg,,YmUOlS_fcgc,False,author_1480,2026-05-22T17:58:24Z,2026-05-22T17:58:24Z,0,Io una Germania leader l’accetterei a patto che il suo leader sia uno con i baffi che gli strofinano per terra..,,0,ilmessaggero,author_1480,1
UgzmVkKN_N1reune9Ld4AaABAg,,YmUOlS_fcgc,False,author_6204,2026-05-22T19:31:18Z,2026-05-22T19:31:18Z,0,Ma andate affacciano  nazisti,,0,ilmessaggero,author_6204,1
Ugz8bOJFg8N2jlah5Mx4AaABAg,,YmUOlS_fcgc,False,author_4151,2026-05-22T20:26:01Z,2026-05-22T20:26:01Z,3,E pensare che stavano con il culo a terra e con una firma li abbiamo fatto risorgere tagliandoci le palle da soli. Prodi Prodi che tu possa pagare x eterno,,0,ilmessaggero,author_4151,1
Ugzl9IKP05cA2f8LiqN4AaABAg,,YmUOlS_fcgc,False,author_6155,2026-05-23T03:09:48Z,2026-05-23T03:09:48Z,2,"Noi stupidi ci siamo dimenticati cosa hanno fatto i tedeschi nell'ultima guerra mondiale, non dobbiamo permettere alla Germania di armarsi, sono pericolosi.",,0,ilmessaggero,author_6155,1
UgyxQNmPySam_w01raV4AaABAg,,YmUOlS_fcgc,False,author_6205,2026-05-23T15:21:43Z,2026-05-23T15:21:43Z,1,Perché voi e non un altro  paese ?,,0,ilmessaggero,author_6205,0
Ugw2qingqtyrrfugqAV4AaABAg,,YmUOlS_fcgc,False,author_5700,2026-05-24T15:00:54Z,2026-05-24T15:01:04Z,0,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,,0,ilmessaggero,author_5700,1
Ugy0stBO2e6e3WDU6SV4AaABAg,,YmUOlS_fcgc,False,author_5700,2026-05-24T15:01:42Z,2026-05-24T15:01:50Z,0,3    ORESNIK   E  SPARITE DAL  CONTINENTE    NON  VEDO  L ' ORA   CRUCCHI DEMMMMMERDA    SIETE SEMPRE STATI  LA FECCIA   DELL  '   UE    🤡,,0,ilmessaggero,author_5700,1
UgwfmjPqJLEIehpMk3F4AaABAg,,YmUOlS_fcgc,False,author_3846,2026-05-24T16:25:24Z,2026-05-24T16:25:24Z,0,Ma chi vi vuole come leader. Attenti ai russi che stavolta vi cancellano.,,0,ilmessaggero,author_3846,1
