comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwKEPIFZsuHN3H9i9d4AaABAg,,bOxgbT3vlyQ,False,author_5082,2026-05-25T10:47:34Z,2026-05-25T10:47:34Z,13,Oddioooo che tragedia 😭😭😭 mi auguro che non perda anche il bimbo in grembo.,,0,ilmessaggero,author_5082,0
Ugx4ncJeGRWJ6ubdU5p4AaABAg,,bOxgbT3vlyQ,False,author_5417,2026-05-25T10:48:10Z,2026-05-25T10:48:10Z,0,😢😢,,0,ilmessaggero,author_5417,0
Ugy80TD7DI3lqmG88xB4AaABAg,,bOxgbT3vlyQ,False,author_5082,2026-05-25T10:48:28Z,2026-05-25T10:48:28Z,26,Poveri genitori. Una vita distrutta 😭😭😭,,0,ilmessaggero,author_5082,0
UgxOTbQptxe-CXZEEst4AaABAg,,bOxgbT3vlyQ,False,author_3589,2026-05-25T10:54:27Z,2026-05-25T10:54:27Z,19,Povero bimbo e povero papà 😢,,0,ilmessaggero,author_3589,0
UgwKEPIFZsuHN3H9i9d4AaABAg.AXE40SmU97fAXE59S0z7Uf,UgwKEPIFZsuHN3H9i9d4AaABAg,bOxgbT3vlyQ,True,author_5082,2026-05-25T10:57:32Z,2026-05-25T10:57:32Z,0,"Signore aiuta questa famiglia,",UgwKEPIFZsuHN3H9i9d4AaABAg,1,ilmessaggero,author_5082,0
UgxOxV0QQr9sAGkHkpJ4AaABAg,,bOxgbT3vlyQ,False,author_5418,2026-05-25T10:59:33Z,2026-05-25T10:59:33Z,5,Troppo leggeri di testa irresponsabili imprudenti .ecco i genitori di oggi,,0,ilmessaggero,author_5418,1
UgyDcy5WrPCWKhAHR_R4AaABAg,,bOxgbT3vlyQ,False,author_116,2026-05-25T10:59:56Z,2026-05-25T10:59:56Z,23,Santo Cielo...non e' la prima volta che vengono coinvolti bambini con trattori.  Cosa non e' chiaro da capire che quando si usa il trattore i bambini devono STARE IN CASA !!!,,0,ilmessaggero,author_116,1
UgwLO4z8qpjpjdGw8vh4AaABAg,,bOxgbT3vlyQ,False,author_5419,2026-05-25T11:09:19Z,2026-05-25T11:09:19Z,5,Menomale che i genitori di oggi sono più apprensivi e protettivi intanto succedono cose che prima non accadevano,,0,ilmessaggero,author_5419,0
UgyH7riuTGNG2CI4Lb14AaABAg,,bOxgbT3vlyQ,False,author_5420,2026-05-25T11:25:06Z,2026-05-25T11:25:06Z,1,"Quando andavo dai parenti contadini mi dicevano sempre quando facevano le manovre di stare distante dai trattori e i mezzi agricoli.Questo anche chi lavorara insieme.Infatti non e' mai successo nulla e tutti sani
Quando ero piu' giovane stavo con i cani a giocare si anche in stalla.😊😊😊😊😊😊",,0,ilmessaggero,author_5420,0
UgyoEadOLu5aBqBVa1R4AaABAg,,bOxgbT3vlyQ,False,author_5421,2026-05-25T11:51:08Z,2026-05-25T11:51:08Z,0,😤😤😤🙏🙏🙏😩😩😩,,0,ilmessaggero,author_5421,0
