comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxPlx9lR4jnGd8P34R4AaABAg,,cFsp0FC58zE,False,author_5374,2026-05-25T13:34:01Z,2026-05-25T13:34:01Z,5,Pazzesco non ci posso credere,,0,ilmessaggero,author_5374,0
UgzhUkA2_TIev40Rgo94AaABAg,,cFsp0FC58zE,False,author_1705,2026-05-25T13:36:31Z,2026-05-25T13:36:31Z,5,State a casa😂,,0,ilmessaggero,author_1705,0
UgxYMW9Wwz28fWxiPcN4AaABAg,,cFsp0FC58zE,False,author_5375,2026-05-25T13:42:50Z,2026-05-25T13:42:50Z,8,Strillate quanto vi pare tanto non mi vaccino,,0,ilmessaggero,author_5375,0
UgxI-sPsw4VuVXtMFe14AaABAg,,cFsp0FC58zE,False,author_5376,2026-05-25T13:43:49Z,2026-05-25T13:43:49Z,18,Perché non li avete lasciati la a fare la quarantena? 😡,,0,ilmessaggero,author_5376,1
UgyvuM2NwlDRynUPa7F4AaABAg,,cFsp0FC58zE,False,author_5099,2026-05-25T13:48:42Z,2026-05-25T13:48:42Z,5,Beh ma non potevano curarsi la,,0,ilmessaggero,author_5099,1
UgzaQ7PW33OS4etB5zl4AaABAg,,cFsp0FC58zE,False,author_5149,2026-05-25T13:50:04Z,2026-05-25T13:50:04Z,0,Portano la cultura esotica per farci stare meglio 😅...,,0,ilmessaggero,author_5149,1
UgylI-IPmeJmGs_CoXp4AaABAg,,cFsp0FC58zE,False,author_5377,2026-05-25T14:10:12Z,2026-05-25T14:10:12Z,4,"Complimenti per il monitoraggio, ma neanche dovevano farli partire. E la figlia ha la malaria,",,0,ilmessaggero,author_5377,0
UgyMhV-wKsewu4LAVFV4AaABAg,,cFsp0FC58zE,False,author_9,2026-05-25T14:13:30Z,2026-05-25T14:13:30Z,2,Pazzesco,,0,ilmessaggero,author_9,0
UgxYMW9Wwz28fWxiPcN4AaABAg.AXEO45o-9vcAXETtqAr_TD,UgxYMW9Wwz28fWxiPcN4AaABAg,cFsp0FC58zE,True,author_5378,2026-05-25T14:33:43Z,2026-05-25T14:33:43Z,3,Questo non è il COVID caro. Questa è una malattia mortale e senza nessuna terapia.,UgxYMW9Wwz28fWxiPcN4AaABAg,1,ilmessaggero,author_5378,0
UgxiWG1KXsJDJEIoTcZ4AaABAg,,cFsp0FC58zE,False,author_5379,2026-05-25T14:57:08Z,2026-05-25T14:57:08Z,0,😅😅😅 😂😂😂😂,,0,ilmessaggero,author_5379,0
Ugx_VsQPSN5eV13ODjh4AaABAg,,cFsp0FC58zE,False,author_5380,2026-05-25T15:08:58Z,2026-05-25T15:09:35Z,5,"Sento riecheggiare le parole tampone, Greenpass, lockdown, si ritorna in smart working e DAD, sarà la più bella estate di sempre...forse.",,0,ilmessaggero,author_5380,0
Ugw7OE1Cbx704B93wKd4AaABAg,,cFsp0FC58zE,False,author_1919,2026-05-25T15:38:21Z,2026-05-25T15:38:21Z,0,"Dei neri non si può fare a meno, dice qualche sinistroide, infatti ci portano tanti bei regali!",,0,ilmessaggero,author_1919,1
UgzToXyshZkpeX4xpOZ4AaABAg,,cFsp0FC58zE,False,author_5381,2026-05-25T15:44:22Z,2026-05-25T15:44:22Z,0,"Ma tutti i casi disperati arrivano in Italia??? Ormai altro che stivale l'Italia dovrebbe avere la forma di un cassonetto dell'immondizia, povera Italia 😢😢",,0,ilmessaggero,author_5381,1
UgxIm6x-MmPs3bCLooZ4AaABAg,,cFsp0FC58zE,False,author_5382,2026-05-25T15:53:13Z,2026-05-25T15:53:13Z,0,"Ma che caxxo andate a fare in uganda se ci volete andare ci rimanete . Rispetto per i missionari ,ma quelli veri ,non quelli che volano e rivolano",,0,ilmessaggero,author_5382,1
UgwGYfSW7HZKZhJrpeB4AaABAg,,cFsp0FC58zE,False,author_303,2026-05-25T16:01:32Z,2026-05-25T17:02:09Z,5,Stare in africa a fare la quarantena era difficile è giusto prendere l'aereo e spargere i microbi ovunque.......ignoranti non avete il minimo rispetto per il prossimo 😢😢😮😮sono cooperanti italiani che sono andati là ad aiutare fare volontariato in Italia fa schifo fa più in farlo in africa,,0,ilmessaggero,author_303,1
UgwPRnkp_E4mBzrFyed4AaABAg,,cFsp0FC58zE,False,author_5356,2026-05-25T16:27:33Z,2026-05-25T16:27:33Z,0,"Comunque, in base alle informazioni e ai dati, non è il caso di preoccuparsi.",,0,ilmessaggero,author_5356,0
UgzG2XKzdcfBYal8dHF4AaABAg,,cFsp0FC58zE,False,author_213,2026-05-25T16:47:04Z,2026-05-25T16:47:04Z,1,Veramente ma se uno a l ebola doveva per forza rientrare ho venire in Italia non poteva stare ed essere messo in quarantena là?,,0,ilmessaggero,author_213,0
Ugx_VsQPSN5eV13ODjh4AaABAg.AXEXvw9dL5MAXElGgVswaZ,Ugx_VsQPSN5eV13ODjh4AaABAg,cFsp0FC58zE,True,author_5383,2026-05-25T17:14:16Z,2026-05-25T17:14:16Z,0,Giusto casomai se non ti piace puoi sempre trasferiti in Congo o in uganda,Ugx_VsQPSN5eV13ODjh4AaABAg,1,ilmessaggero,author_5383,1
UgxYMW9Wwz28fWxiPcN4AaABAg.AXEO45o-9vcAXElL7iKP8z,UgxYMW9Wwz28fWxiPcN4AaABAg,cFsp0FC58zE,True,author_5383,2026-05-25T17:14:52Z,2026-05-25T17:14:52Z,0,"Facci un favore, vai a fare in giro in Congo poi ci racconti😂😂😂",UgxYMW9Wwz28fWxiPcN4AaABAg,1,ilmessaggero,author_5383,1
UgxpMyvr3skI3oWxnVt4AaABAg,,cFsp0FC58zE,False,author_5384,2026-05-25T17:15:02Z,2026-05-25T17:15:02Z,0,Che caxxo sono andati a fare in uganda.......... potevano restare la......,,0,ilmessaggero,author_5384,1
UgwvtpnXpxA0rqoP5Y54AaABAg,,cFsp0FC58zE,False,author_5383,2026-05-25T17:18:27Z,2026-05-25T17:18:27Z,0,"Tranquilli ragazzi adesso si stanno organizzando i novax, verranno mandati in Congo a debellare il virus",,0,ilmessaggero,author_5383,1
UgwvtpnXpxA0rqoP5Y54AaABAg.AXElkKtK-KcAXEozhpsiK6,UgwvtpnXpxA0rqoP5Y54AaABAg,cFsp0FC58zE,True,author_5385,2026-05-25T17:46:46Z,2026-05-25T17:46:46Z,1,Non esiste il vaccino. I novax non possono aiutarti stavolta,UgwvtpnXpxA0rqoP5Y54AaABAg,1,ilmessaggero,author_5385,1
UgyqR3ggQtTv1i8PSoV4AaABAg,,cFsp0FC58zE,False,author_5386,2026-05-25T17:54:24Z,2026-05-25T17:54:24Z,0,Robe da matti,,0,ilmessaggero,author_5386,1
UgwuqJ6BBrvv16YvA0t4AaABAg,,cFsp0FC58zE,False,author_5387,2026-05-25T19:05:29Z,2026-05-25T19:05:29Z,3,IL RESTANTE DEI PASSEGGERI 🥶🥶🥶🥶 È UN FILM GIA  VISTO........,,0,ilmessaggero,author_5387,1
Ugz8yNxPJG0r1aYvNSZ4AaABAg,,cFsp0FC58zE,False,author_5387,2026-05-25T19:07:21Z,2026-05-25T19:07:21Z,1,E ARRIVATO IL TEMPO CHE I FARMACISTI CON I TAMPONI SI RICAMBIANO LE AUTO😂😂😂😂😂😂,,0,ilmessaggero,author_5387,1
Ugz-dy-G1S6sL4Unb3x4AaABAg,,cFsp0FC58zE,False,author_5388,2026-05-25T19:41:00Z,2026-05-25T19:41:00Z,0,"This is f****g disgusting , this is been done purposely to try and spread the f****g thing 🤬 angry is an understatement!!",,0,ilmessaggero,author_5388,1
Ugx3JUF5Bi-hipsHk-R4AaABAg,,cFsp0FC58zE,False,author_5389,2026-05-25T19:42:45Z,2026-05-25T19:42:45Z,1,😂😂😂😂😂😂😂😂😂🤡🤡🤡🤡🤡🤡🤡🤡🤡,,0,ilmessaggero,author_5389,1
Ugy56i6tPIga4i-1r_t4AaABAg,,cFsp0FC58zE,False,author_5390,2026-05-25T19:48:38Z,2026-05-25T19:48:38Z,2,Eeee ...gnent.....x quest'anno non cambiare...stessa spiaggia....stesso mare ...... e questi giornalisti è meglio che cambino mestiere non hanno fantasia.......VENDUTI,,0,ilmessaggero,author_5390,0
UgyOT9y7i-gJG1Fq-rR4AaABAg,,cFsp0FC58zE,False,author_5391,2026-05-25T20:41:11Z,2026-05-25T20:41:11Z,4,Che strano nel 2021 Bill Gates profetizzava che presto sarebbe arrivata l'ebola.  Rieccoci con altre due o tre emergenze preparate a tavolino dai soliti,,0,ilmessaggero,author_5391,1
UgyrhEl1ydYI1cpuiZ14AaABAg,,cFsp0FC58zE,False,author_5392,2026-05-25T21:04:13Z,2026-05-25T21:04:13Z,4,Per caso c' erano laboratori statunitensi o francesi vicino il focolaio ?,,0,ilmessaggero,author_5392,0
UgxmPvTw8-24jMM4fjN4AaABAg,,cFsp0FC58zE,False,author_5393,2026-05-25T21:35:12Z,2026-05-25T21:35:12Z,0,BRAVI!! FATTE ENTRARE I BARCONE PIENI DI AFRICANI CHE ARRIVANO DEL CONGO!!!😮,,0,ilmessaggero,author_5393,1
Ugx_VsQPSN5eV13ODjh4AaABAg.AXEXvw9dL5MAXFEJE35qS0,Ugx_VsQPSN5eV13ODjh4AaABAg,cFsp0FC58zE,True,author_5393,2026-05-25T21:36:45Z,2026-05-25T21:36:45Z,2,Io non farò un cacchio!! Non ubidisco più questi che controllano il mondo.,Ugx_VsQPSN5eV13ODjh4AaABAg,1,ilmessaggero,author_5393,1
UgxYMW9Wwz28fWxiPcN4AaABAg.AXEO45o-9vcAXFxwQsRpte,UgxYMW9Wwz28fWxiPcN4AaABAg,cFsp0FC58zE,True,author_5394,2026-05-26T04:24:12Z,2026-05-26T04:24:12Z,0,​author_7186,UgxYMW9Wwz28fWxiPcN4AaABAg.AXEO45o-9vcAXETtqAr_TD,2,ilmessaggero,author_5394,0
UgwvtpnXpxA0rqoP5Y54AaABAg.AXElkKtK-KcAXFy6hbxxsv,UgwvtpnXpxA0rqoP5Y54AaABAg,cFsp0FC58zE,True,author_5394,2026-05-26T04:25:44Z,2026-05-26T04:25:44Z,0,Demente.,UgwvtpnXpxA0rqoP5Y54AaABAg,1,ilmessaggero,author_5394,1
UgzKHEyVDwjZFlor99h4AaABAg,,cFsp0FC58zE,False,author_4964,2026-05-26T04:49:03Z,2026-05-26T04:49:58Z,0,"Controllare anche e soprattutto la delegazione del Papa Leone 🦁 XIV° ""Papa Compreso""!!!",,0,ilmessaggero,author_4964,1
UgxPlx9lR4jnGd8P34R4AaABAg.AXEN3_yl_06AXG-zj5B1Mn,UgxPlx9lR4jnGd8P34R4AaABAg,cFsp0FC58zE,True,author_4964,2026-05-26T04:50:52Z,2026-05-26T04:50:52Z,0,Anche Leone XIV° è stato Li 😂😂😂!!!,UgxPlx9lR4jnGd8P34R4AaABAg,1,ilmessaggero,author_4964,0
UgzhUkA2_TIev40Rgo94AaABAg.AXENLnMV0L-AXG05NAHU7D,UgzhUkA2_TIev40Rgo94AaABAg,cFsp0FC58zE,True,author_4964,2026-05-26T04:51:46Z,2026-05-26T04:51:46Z,0,Che avete rotto I coglioni 😂😂😂,UgzhUkA2_TIev40Rgo94AaABAg,1,ilmessaggero,author_4964,1
UgxI-sPsw4VuVXtMFe14AaABAg.AXEOBIQnDr2AXGgme2SIMf,UgxI-sPsw4VuVXtMFe14AaABAg,cFsp0FC58zE,True,author_25,2026-05-26T11:13:33Z,2026-05-26T11:13:33Z,0,NON  AVEVANO ALTRO FA FARE CHE ANDARE IN UGANDA !!!,UgxI-sPsw4VuVXtMFe14AaABAg,1,ilmessaggero,author_25,1
Ugz0Jzew4Jku7lSvU6l4AaABAg,,cFsp0FC58zE,False,author_1813,2026-05-26T15:05:52Z,2026-05-26T15:05:52Z,0,😮😮😮😮😮😮😮😢😢,,0,ilmessaggero,author_1813,0
Ugw4riNHbgmHhscqrEF4AaABAg,,cFsp0FC58zE,False,author_5395,2026-05-26T16:54:02Z,2026-05-26T16:54:02Z,0,Devo vestirmi da sommozzatore domani?? Perche la maggioranza di idioti lo faranno??,,0,ilmessaggero,author_5395,1
UgwvtpnXpxA0rqoP5Y54AaABAg.AXElkKtK-KcAXHlm06EwZF,UgwvtpnXpxA0rqoP5Y54AaABAg,cFsp0FC58zE,True,author_5396,2026-05-26T21:16:24Z,2026-05-26T21:16:24Z,0,Tranquillo sono tutti morti aveva ragione draghi,UgwvtpnXpxA0rqoP5Y54AaABAg,1,ilmessaggero,author_5396,1
UgxZRxgJSGSf1-Ds1H94AaABAg,,cFsp0FC58zE,False,author_5396,2026-05-26T21:18:22Z,2026-05-26T21:18:22Z,0,Mamma mia che paura speriamo che canteranno ancora giggle bell per salvarci,,0,ilmessaggero,author_5396,0
UgxJwcZ_mBQJYssnXtp4AaABAg,,cFsp0FC58zE,False,author_5397,2026-05-27T06:02:24Z,2026-05-27T06:02:24Z,0,"con la febbre è probabilissimo che sia malaria, se poi li trattano pensando che sia ebola è certo che ci rimangono secchi, è il tipico errore.",,0,ilmessaggero,author_5397,0
Ugw3-Aosd8-AMyID5FZ4AaABAg,,cFsp0FC58zE,False,author_5398,2026-05-27T13:13:08Z,2026-05-27T13:13:08Z,0,Il covid non ha insegnato nulla evidentemente,,0,ilmessaggero,author_5398,1
UgxYMW9Wwz28fWxiPcN4AaABAg.AXEO45o-9vcAXJULl2LDJT,UgxYMW9Wwz28fWxiPcN4AaABAg,cFsp0FC58zE,True,author_5398,2026-05-27T13:13:52Z,2026-05-27T13:13:52Z,0,Non c'è,UgxYMW9Wwz28fWxiPcN4AaABAg,1,ilmessaggero,author_5398,0
