comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxCMPGc6GjwBjTC4UN4AaABAg,,gcUdRp8RFpU,False,author_661,2026-05-27T16:14:17Z,2026-05-27T16:14:17Z,1,😮considerando la gente che c'è in giro meglio stare a casa alla TV o alla play station 😢😮,,0,ilmessaggero,author_661,0
UgxFvpBFpsmHwIZGYER4AaABAg,,gcUdRp8RFpU,False,author_4953,2026-05-27T18:16:00Z,2026-05-27T18:16:00Z,2,Riposa in pace piccolo angioletto🥺🪽🩷,,0,ilmessaggero,author_4953,0
UgxdnM-xuAW9auInlnR4AaABAg,,gcUdRp8RFpU,False,author_4954,2026-05-27T18:34:31Z,2026-05-27T18:34:31Z,0,riposa angelo,,0,ilmessaggero,author_4954,0
UgxzkuGeVxvUssXfSyZ4AaABAg,,gcUdRp8RFpU,False,author_4955,2026-05-27T18:45:15Z,2026-05-27T18:45:15Z,0,😢😢,,0,ilmessaggero,author_4955,0
UgzyHpzCtbKiJi_t7MZ4AaABAg,,gcUdRp8RFpU,False,author_4956,2026-05-27T18:46:51Z,2026-05-27T18:46:51Z,1,Oddio..io abitavo da quelle parti e vedevo spesso bambini in bicicletta fare quella strada ....mamma mia che dispiacere 😢😢😢😢,,0,ilmessaggero,author_4956,0
UgyBJln-Tx2MxDiq_Wd4AaABAg,,gcUdRp8RFpU,False,author_253,2026-05-27T19:07:04Z,2026-05-27T19:07:04Z,0,😢😢😢💔🌟🫂🌷🌷🌷😔,,0,ilmessaggero,author_253,0
UgxCMPGc6GjwBjTC4UN4AaABAg.AXJo-BHV1MNAXKGnMSzMcF,UgxCMPGc6GjwBjTC4UN4AaABAg,gcUdRp8RFpU,True,author_4957,2026-05-27T20:34:41Z,2026-05-27T20:34:41Z,0,"ecco brava stai a casa, tanto non se ne accorge nessuno",UgxCMPGc6GjwBjTC4UN4AaABAg,1,ilmessaggero,author_4957,1
UgylApv7MXq-QdTDiFF4AaABAg,,gcUdRp8RFpU,False,author_4958,2026-05-28T00:25:03Z,2026-05-28T00:25:03Z,2,"Piccolina, non si può morire così a 11 anni che immensa tragedia 🙏",,0,ilmessaggero,author_4958,0
UgywNvmtOETzeuH6FQV4AaABAg,,gcUdRp8RFpU,False,author_4959,2026-05-28T06:35:24Z,2026-05-28T06:35:24Z,1,"Siamo prigionieri ,non si può uscire neanche per una passeggiata 😢😢😢 riposa in pace piccola che brutta morte Angeletto 😢😢😢😢",,0,ilmessaggero,author_4959,0
UgxCMPGc6GjwBjTC4UN4AaABAg.AXJo-BHV1MNAXLSImQCuQw,UgxCMPGc6GjwBjTC4UN4AaABAg,gcUdRp8RFpU,True,author_4960,2026-05-28T07:34:28Z,2026-05-28T07:34:28Z,6,È uno svincolo pericoloso c'è scritto in descrizione è stato un incidente stradale. Purtroppo in certi posti andare in bicicletta rimane pericoloso. Sono tragedie che capitano ma non per questo non bisogna uscire di casa.😅,UgxCMPGc6GjwBjTC4UN4AaABAg,1,ilmessaggero,author_4960,0
