comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyyQ0sUEsjE5lLIWvV4AaABAg,,jTIvfrWQbfo,False,author_5479,2026-05-25T08:18:03Z,2026-05-25T08:18:03Z,0,Sospensione ?????,,0,ilmessaggero,author_5479,1
UgwRrycklalkPKmCxaF4AaABAg,,jTIvfrWQbfo,False,author_5256,2026-05-25T08:19:30Z,2026-05-25T08:19:30Z,0,"In Italia ci vuole la riforma sanitaria......
IL GOVERNO MELONI PERÒ PENSA AI GIUDICI.....COME MAI????
È VERGOGNOSO !!!!!",,0,ilmessaggero,author_5256,0
UgwKuBu_bNYm-pQ7lzp4AaABAg,,jTIvfrWQbfo,False,author_653,2026-05-25T08:23:50Z,2026-05-25T08:23:50Z,0,Cari belli ciò non toglie l'autorizzazione al giudice di turno di condannare il signorino alla pena detentiva è a far risarcire le donne che sono state violentate io lo avrei cercato senza troppi preamboli è fatto fuori se fossi stata una di quelle che lavorano in ospedale ai suoi tempi,,0,ilmessaggero,author_653,1
UgxGRonxlaB3RUUnChV4AaABAg,,jTIvfrWQbfo,False,author_213,2026-05-25T08:37:39Z,2026-05-25T08:37:39Z,6,Vergognoso,,0,ilmessaggero,author_213,0
UgwRrycklalkPKmCxaF4AaABAg.AXDo3ynNVV4AXDsD4ggAsz,UgwRrycklalkPKmCxaF4AaABAg,jTIvfrWQbfo,True,author_5480,2026-05-25T08:55:42Z,2026-05-25T08:55:42Z,0,Tte yet yyyy3y3y333y3yyhyy3h+|🎉,UgwRrycklalkPKmCxaF4AaABAg,1,ilmessaggero,author_5480,0
UgwRrycklalkPKmCxaF4AaABAg.AXDo3ynNVV4AXDsGeHtRny,UgwRrycklalkPKmCxaF4AaABAg,jTIvfrWQbfo,True,author_5480,2026-05-25T08:56:11Z,2026-05-25T08:56:11Z,0,Ee,UgwRrycklalkPKmCxaF4AaABAg,1,ilmessaggero,author_5480,0
Ugxl20OSX92jqpdw-D14AaABAg,,jTIvfrWQbfo,False,author_5181,2026-05-25T16:08:28Z,2026-05-25T16:08:28Z,0,😢😢😢😢😢,,0,ilmessaggero,author_5181,0
UgxHgfOvn-9DBwaMMdx4AaABAg,,jTIvfrWQbfo,False,author_5181,2026-05-25T16:10:20Z,2026-05-25T16:10:20Z,1,Povere Donne.,,0,ilmessaggero,author_5181,0
UgzMDNcZaafLXZtteah4AaABAg,,jTIvfrWQbfo,False,author_5312,2026-05-25T16:52:32Z,2026-05-25T16:52:32Z,1,"VERGOGNATEVI!
Poi vi chiedete xchè le donne, soprattutto le lavoratrici, non denunciano gli abusi subiti.
Xchè già sanno in partenza come andrà a finire, e questa non è che l'ennesima conferma!",,0,ilmessaggero,author_5312,1
UgwP-3_zDT2bKLtUeQJ4AaABAg,,jTIvfrWQbfo,False,author_5481,2026-05-25T18:45:55Z,2026-05-25T18:45:55Z,2,Solo in Italia. In un qualsiasi altro paese ci sarebbe stato il carcere.,,0,ilmessaggero,author_5481,1
Ugxka3KjKO5UtRcDMiF4AaABAg,,jTIvfrWQbfo,False,author_5198,2026-05-26T06:11:37Z,2026-05-26T06:11:37Z,0,"Ma se i primi a fare schifo sono i politici, che leggi volete",,0,ilmessaggero,author_5198,1
Ugyzdazcmk9U9pRWKtF4AaABAg,,jTIvfrWQbfo,False,author_5482,2026-05-26T06:19:55Z,2026-05-26T06:19:55Z,0,Complimentoni!!😮😡,,0,ilmessaggero,author_5482,1
UgxcBON6q7TT79694yN4AaABAg,,jTIvfrWQbfo,False,author_5246,2026-05-26T16:10:10Z,2026-05-26T16:10:10Z,0,😮😮😮😢,,0,ilmessaggero,author_5246,0
