comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwW81HCzvxpfbzTOE94AaABAg,,sDPMbXAQYyg,False,author_6389,2026-05-21T12:22:00Z,2026-05-21T12:22:00Z,1,Bella e simpatica,,0,ilmessaggero,author_6389,0
UgzcXnpGMlklI7KeWz14AaABAg,,sDPMbXAQYyg,False,author_1511,2026-05-21T12:28:38Z,2026-05-21T12:28:38Z,0,Ce la stanno portando per le orecchie a fare subrett raccomandata é dire poco che sia bella é indiscutibile però dai caxxo é palese. Il papá ci ha provato pure col fratello nel calcio ma la se nn sei buono cè poco da fare,,0,ilmessaggero,author_1511,1
Ugzv85aYfw8zw1_qEg94AaABAg,,sDPMbXAQYyg,False,author_6390,2026-05-21T12:28:58Z,2026-05-21T12:28:58Z,1,Che bella❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_6390,0
Ugxej7kU6H1BaIzFgwN4AaABAg,,sDPMbXAQYyg,False,author_6391,2026-05-21T12:33:08Z,2026-05-21T12:33:08Z,0,Ma canta sa ballare cosa sa fare questa,,0,ilmessaggero,author_6391,1
UgzpDdaQ92X-KyL0lf14AaABAg,,sDPMbXAQYyg,False,author_5049,2026-05-21T12:36:01Z,2026-05-21T12:36:01Z,3,Ahahahahah una star 😂,,0,ilmessaggero,author_5049,1
UgyjAQ7RrbJz94nMzCl4AaABAg,,sDPMbXAQYyg,False,author_6392,2026-05-21T12:36:15Z,2026-05-21T12:36:15Z,0,E sti cazzi,,0,ilmessaggero,author_6392,1
Ugybt5wSSB1tCvF-nuN4AaABAg,,sDPMbXAQYyg,False,author_1597,2026-05-21T12:36:24Z,2026-05-21T12:36:24Z,5,"La vedrei
Meglio all' adunata degli alpini",,0,ilmessaggero,author_1597,1
Ugykt5GpsGLt5aA7Jld4AaABAg,,sDPMbXAQYyg,False,author_3885,2026-05-21T12:37:45Z,2026-05-21T12:37:45Z,5,Ma superstars de che? Non ha mai fatto niente e poi non è quella gran bellezza!,,0,ilmessaggero,author_3885,1
UgyB8kR8INYhks7QX1t4AaABAg,,sDPMbXAQYyg,False,author_176,2026-05-21T12:41:38Z,2026-05-21T12:41:38Z,0,Una star ? Per cosa ? Sa cantare? Sa ballare? Fa gli gnocchi cor culo ?,,0,ilmessaggero,author_176,1
UgzoZYXjXrSCe0nwcWx4AaABAg,,sDPMbXAQYyg,False,author_322,2026-05-21T12:44:27Z,2026-05-21T12:44:27Z,8,Ormai al Red carpet ci vanno tutti. Non è necessario essere una star.,,0,ilmessaggero,author_322,0
UgwgzDHLdJw_i0Kah_x4AaABAg,,sDPMbXAQYyg,False,author_6393,2026-05-21T13:20:32Z,2026-05-21T13:20:32Z,1,BELLISSIMA CHANEL ......DEVE FARE UN BEL DISEGNO ALLE SOPRA CIGLIA.....PROPRIO DA FIGA ED E VERAMENTE BELLA BELLA 🥰🥰🥰💚💕,,0,ilmessaggero,author_6393,1
UgzIeNbfeAyAjTmtNnx4AaABAg,,sDPMbXAQYyg,False,author_6394,2026-05-21T13:29:44Z,2026-05-21T13:29:44Z,0,Non e bella diciamo la verità......la raffinatezza e la bellezza sono un altra cosa ........e la figlia di.......e allora passa.....😮,,0,ilmessaggero,author_6394,1
Ugxmew9572JQr_AXX294AaABAg,,sDPMbXAQYyg,False,author_6395,2026-05-21T13:36:53Z,2026-05-21T13:36:53Z,1,"Chanel è una bella ragazza e in più Simpatica,che non è scontato quando  hai tanto!❤❤❤❤❤❤❤ di tutto❤❤❤❤",,0,ilmessaggero,author_6395,0
Ugxsukdj4HxHPij8wLh4AaABAg,,sDPMbXAQYyg,False,author_5371,2026-05-21T13:46:25Z,2026-05-21T13:46:25Z,4,Raccomandata,,0,ilmessaggero,author_5371,1
UgzxWKEw7m59-Q8hGk94AaABAg,,sDPMbXAQYyg,False,author_5312,2026-05-21T13:46:46Z,2026-05-21T13:46:46Z,3,È nata una star?? 😳,,0,ilmessaggero,author_5312,1
UgyyqLMoZwjII319Fzt4AaABAg,,sDPMbXAQYyg,False,author_357,2026-05-21T14:26:10Z,2026-05-21T14:26:10Z,1,e chi è ?,,0,ilmessaggero,author_357,0
Ugzp7ty3JcvrfQ_DraZ4AaABAg,,sDPMbXAQYyg,False,author_6096,2026-05-21T16:43:28Z,2026-05-21T16:43:28Z,0,Ancora viva?,,0,ilmessaggero,author_6096,1
UgypzK3LTroJsqsg-3p4AaABAg,,sDPMbXAQYyg,False,author_6396,2026-05-21T18:08:21Z,2026-05-21T18:08:21Z,0,Che te lo dico a fa,,0,ilmessaggero,author_6396,0
Ugw3xNNL7zp2BKdXYJV4AaABAg,,sDPMbXAQYyg,False,author_6397,2026-05-21T18:10:24Z,2026-05-21T18:10:24Z,0,Un altra sboccivendola come la madre 😂😂😂👍👍,,0,ilmessaggero,author_6397,1
UgwWNXCwHGGwk6VcMe14AaABAg,,sDPMbXAQYyg,False,author_5222,2026-05-21T18:54:44Z,2026-05-21T18:54:44Z,2,Attrice famosissima... 😅🤣😂😅🤣😂,,0,ilmessaggero,author_5222,1
UgyyqLMoZwjII319Fzt4AaABAg.AX49qwyDALfAX4f9ykHDzX,UgyyqLMoZwjII319Fzt4AaABAg,sDPMbXAQYyg,True,author_5222,2026-05-21T19:08:31Z,2026-05-21T19:08:31Z,1,E` una famosa attrice... 😅😅,UgyyqLMoZwjII319Fzt4AaABAg,1,ilmessaggero,author_5222,0
Ugwp41eR5LPsvzF5cK94AaABAg,,sDPMbXAQYyg,False,author_1614,2026-05-21T19:17:00Z,2026-05-21T19:17:00Z,0,Toglietele il trucco e sembra un cesso 😂😂😂,,0,ilmessaggero,author_1614,1
UgyG-aadoAtLcNlNOJF4AaABAg,,sDPMbXAQYyg,False,author_6398,2026-05-21T22:41:34Z,2026-05-21T22:41:34Z,4,Il prossimo anno vado anch'io !,,0,ilmessaggero,author_6398,0
UgxGXvl-o6Bz67lNIPx4AaABAg,,sDPMbXAQYyg,False,author_4019,2026-05-22T02:18:54Z,2026-05-22T02:18:54Z,0,Non è poi così bella come la vogliono far vedere,,0,ilmessaggero,author_4019,1
UgwqdPlN19dzENa54314AaABAg,,sDPMbXAQYyg,False,author_5187,2026-05-22T08:38:11Z,2026-05-22T08:38:11Z,0,Chi se ne frega io preferisco andare a fare un giro in montagna con la mia bicicletta ❤,,0,ilmessaggero,author_5187,0
UgytyNkggtDDLwZQir94AaABAg,,sDPMbXAQYyg,False,author_1862,2026-05-22T12:31:22Z,2026-05-22T12:31:22Z,1,Una che nn ha fatto nulla nella propria vita e che è una delle tante figlie di famosi che entrano in TV senza affaticare!!!Bella nm è è solo gonfiata gia alla sua età...una star di cosa???,,0,ilmessaggero,author_1862,1
Ugzd1cgRSAa_eFs-Ujp4AaABAg,,sDPMbXAQYyg,False,author_1073,2026-05-22T14:39:27Z,2026-05-22T14:39:27Z,0,"ma che vada a cagare, lei e la skin care",,0,ilmessaggero,author_1073,1
UgyN0Mzwx_M43HSf1ZN4AaABAg,,sDPMbXAQYyg,False,author_5207,2026-05-22T16:38:05Z,2026-05-22T16:38:05Z,1,E da quando sarebbe una star????😂,,0,ilmessaggero,author_5207,1
UgwhrQx4pKQ9F9sc_1x4AaABAg,,sDPMbXAQYyg,False,author_3707,2026-05-22T18:30:14Z,2026-05-22T18:30:14Z,0,Tesoro sei molto meglio al naturale senza le pose du mammeta,,0,ilmessaggero,author_3707,1
UgyyqLMoZwjII319Fzt4AaABAg.AX49qwyDALfAX7IS54qxJt,UgyyqLMoZwjII319Fzt4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T19:39:00Z,2026-05-22T19:39:00Z,1,È una che ha  più soldi di voi e per questo rosicate 😂😂,UgyyqLMoZwjII319Fzt4AaABAg,1,ilmessaggero,author_6399,1
Ugzp7ty3JcvrfQ_DraZ4AaABAg.AX4PZbVosmiAX7IX_-4KnH,Ugzp7ty3JcvrfQ_DraZ4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T19:39:45Z,2026-05-22T19:39:45Z,1,"Come te , purtroppo.",Ugzp7ty3JcvrfQ_DraZ4AaABAg,1,ilmessaggero,author_6399,1
UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7IfnqdskI,UgyN0Mzwx_M43HSf1ZN4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T19:41:00Z,2026-05-22T19:41:00Z,1,"Non ci vanno solo attrici e lei è stata invitata, non essere invidiosa.",UgyN0Mzwx_M43HSf1ZN4AaABAg,1,ilmessaggero,author_6399,1
UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7Mh55exCa,UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7IfnqdskI,sDPMbXAQYyg,True,author_5207,2026-05-22T20:16:08Z,2026-05-22T20:16:08Z,0,​author_7187 invidiosa di cosa??? Ma c'è fai??? Ho di meglio da pensare come  vincere un tumore !!! Quindi prima di parlare di invidia pensa e collega cervello con le parole!!!,UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7IfnqdskI,2,ilmessaggero,author_5207,1
Ugw8LLeU1OpHVs7SLWp4AaABAg,,sDPMbXAQYyg,False,author_6400,2026-05-22T20:25:12Z,2026-05-22T20:25:12Z,0,E gia piu rifatta di sua madre...no le mancano le soppraciglia😂😂😂,,0,ilmessaggero,author_6400,1
UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7O2xNYXob,UgyN0Mzwx_M43HSf1ZN4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:27:59Z,2026-05-22T20:27:59Z,1,"​author_5207
Esaurita calmati, ma chi crede che tu abbia il tumore, invidiosa e pure bugiarda, quelli come te li sgamo subito.Fai  silenzio 🤡",UgyN0Mzwx_M43HSf1ZN4AaABAg,1,ilmessaggero,author_6399,1
UgytyNkggtDDLwZQir94AaABAg.AX6XW22WGyNAX7ORm0vrEM,UgytyNkggtDDLwZQir94AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:31:23Z,2026-05-22T20:31:23Z,1,"Calmati , altrimenti il tuo fegato scoppia dalla rabbia e dall' invidia 😂",UgytyNkggtDDLwZQir94AaABAg,1,ilmessaggero,author_6399,1
UgyG-aadoAtLcNlNOJF4AaABAg.AX52YRR_ARoAX7OWdWxL3l,UgyG-aadoAtLcNlNOJF4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:32:03Z,2026-05-22T20:32:03Z,1,Scordatelo 😂,UgyG-aadoAtLcNlNOJF4AaABAg,1,ilmessaggero,author_6399,1
UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7OeQaPMgb,UgyN0Mzwx_M43HSf1ZN4AaABAg,sDPMbXAQYyg,True,author_5207,2026-05-22T20:33:15Z,2026-05-22T20:33:15Z,0,"​author_7187 al contrario di te io non mi nascondo la faccia la mostro,ma d qui a dire invidiosa be 😂😂😂😂 spero ti basti la risata",UgyN0Mzwx_M43HSf1ZN4AaABAg.AX6yk0k2xcyAX7O2xNYXob,2,ilmessaggero,author_5207,0
UgwWNXCwHGGwk6VcMe14AaABAg.AX4da16UD8KAX7Og767Ijf,UgwWNXCwHGGwk6VcMe14AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:33:28Z,2026-05-22T20:33:28Z,1,"A te non ti conoscono nemmeno nella tua famiglia, non piangere se non sei nessuno 😢",UgwWNXCwHGGwk6VcMe14AaABAg,1,ilmessaggero,author_6399,1
Ugxsukdj4HxHPij8wLh4AaABAg.AX45IwEHWJXAX7OmApERWM,Ugxsukdj4HxHPij8wLh4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:34:18Z,2026-05-22T20:34:18Z,1,Non piangere perché non sei al suo posto.,Ugxsukdj4HxHPij8wLh4AaABAg,1,ilmessaggero,author_6399,1
Ugykt5GpsGLt5aA7Jld4AaABAg.AX3yRtBNxsCAX7OtiGF5Hd,Ugykt5GpsGLt5aA7Jld4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:35:20Z,2026-05-22T20:35:20Z,1,"Hai fatto tutto tu , pure miss Italia 😂",Ugykt5GpsGLt5aA7Jld4AaABAg,1,ilmessaggero,author_6399,1
Ugw8LLeU1OpHVs7SLWp4AaABAg.AX7NjUXqDy8AX7OzQ0rxDO,Ugw8LLeU1OpHVs7SLWp4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:36:06Z,2026-05-22T20:36:06Z,1,Ridi scema,Ugw8LLeU1OpHVs7SLWp4AaABAg,1,ilmessaggero,author_6399,1
UgzpDdaQ92X-KyL0lf14AaABAg.AX3yFCWzMLoAX7P6GRrn77,UgzpDdaQ92X-KyL0lf14AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:37:11Z,2026-05-22T20:37:11Z,1,"Più star di te, questo è sicuro 🤣",UgzpDdaQ92X-KyL0lf14AaABAg,1,ilmessaggero,author_6399,1
UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7PCF_jqIk,UgzoZYXjXrSCe0nwcWx4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:38:00Z,2026-05-22T20:38:00Z,1,"Tu è da anni che tenti , ma non ti chiamano mai😢",UgzoZYXjXrSCe0nwcWx4AaABAg,1,ilmessaggero,author_6399,1
UgwqdPlN19dzENa54314AaABAg.AX66p7_7ZgLAX7PLm-aao5,UgwqdPlN19dzENa54314AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:39:18Z,2026-05-22T20:39:18Z,1,Chi se ne frega di te Maurizio.,UgwqdPlN19dzENa54314AaABAg,1,ilmessaggero,author_6399,1
UgxGXvl-o6Bz67lNIPx4AaABAg.AX5RQGL67cHAX7PRuWFVkw,UgxGXvl-o6Bz67lNIPx4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:40:08Z,2026-05-22T20:40:08Z,1,"Sei bello tu, ci scommetto 🤭",UgxGXvl-o6Bz67lNIPx4AaABAg,1,ilmessaggero,author_6399,1
Ugybt5wSSB1tCvF-nuN4AaABAg.AX3yI3KNogWAX7QDXH8B6j,Ugybt5wSSB1tCvF-nuN4AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:46:55Z,2026-05-22T20:46:55Z,1,"Ci vai già tu all' adunanata degli alpini, vestito da donna, lo sanno tutti 😏",Ugybt5wSSB1tCvF-nuN4AaABAg,1,ilmessaggero,author_6399,1
UgzxWKEw7m59-Q8hGk94AaABAg.AX45LSBiAEFAX7QHSXl-Up,UgzxWKEw7m59-Q8hGk94AaABAg,sDPMbXAQYyg,True,author_6399,2026-05-22T20:47:27Z,2026-05-22T20:47:27Z,1,Si,UgzxWKEw7m59-Q8hGk94AaABAg,1,ilmessaggero,author_6399,0
UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7PCF_jqIk,sDPMbXAQYyg,True,author_322,2026-05-22T20:57:13Z,2026-05-22T20:57:13Z,0,​author_6399😂😂😂pur volendo non ho più l'età.,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7PCF_jqIk,2,ilmessaggero,author_322,0
UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7RyVEoOuq,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,sDPMbXAQYyg,True,author_6399,2026-05-22T21:02:12Z,2026-05-22T21:02:12Z,0,"​author_322
Infatti dal tuo commento si capisce che c'è invidia.",UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,3,ilmessaggero,author_6399,1
UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7SZzC8qhq,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,sDPMbXAQYyg,True,author_322,2026-05-22T21:07:27Z,2026-05-22T21:07:27Z,0,Invidia? Non la conosco.,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,3,ilmessaggero,author_322,1
UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7SrKNE5SR,UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7ROwwDxMS,sDPMbXAQYyg,True,author_6399,2026-05-22T21:09:57Z,2026-05-22T21:09:57Z,0,"​author_322
Non ti credo.",UgzoZYXjXrSCe0nwcWx4AaABAg.AX3zCzwRouyAX7SZzC8qhq,4,ilmessaggero,author_6399,0
Ugykt5GpsGLt5aA7Jld4AaABAg.AX3yRtBNxsCAX7dZDbNvQb,Ugykt5GpsGLt5aA7Jld4AaABAg.AX3yRtBNxsCAX7OtiGF5Hd,sDPMbXAQYyg,True,author_3885,2026-05-22T22:52:12Z,2026-05-22T22:52:12Z,0,​author_7188 cosa difendi?? Sei un altra come lei...volete notorietà e non vi conosce nessuno!,Ugykt5GpsGLt5aA7Jld4AaABAg.AX3yRtBNxsCAX7OtiGF5Hd,2,ilmessaggero,author_3885,1
