comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyVRh60lx54_aamQHt4AaABAg,,tRuGEVNoZm8,False,author_3942,2026-05-26T14:05:33Z,2026-05-26T14:05:33Z,0,Fottetevi,,0,ilmessaggero,author_3942,1
UgzvG2G3qJguqVFak6x4AaABAg,,tRuGEVNoZm8,False,author_3310,2026-05-26T14:13:35Z,2026-05-26T14:13:35Z,8,Non è ancora arrivato il caldo che già rompono. 😂  sembra la lava di un vulcano 🌋 Ma basta.,,0,ilmessaggero,author_3310,0
UgySV1WgPaXFQ2knpI54AaABAg,,tRuGEVNoZm8,False,author_5183,2026-05-26T14:30:05Z,2026-05-26T14:30:05Z,5,Più rossssssso di così non potevate farla l' Italia!!!!! Sembra l' inferno!!!!! 😂😂😂😂😂😂😂,,0,ilmessaggero,author_5183,1
UgxVmABsDSLPYtb191h4AaABAg,,tRuGEVNoZm8,False,author_5184,2026-05-26T15:23:01Z,2026-05-26T15:23:01Z,1,Speriamo bruci il culo ha qualche politichese 😢😢😢😅😅😅,,0,ilmessaggero,author_5184,1
UgxTcl5X4yLKNBTUnDl4AaABAg,,tRuGEVNoZm8,False,author_3077,2026-05-26T16:04:12Z,2026-05-26T16:04:12Z,2,"Alè, si parte!!",,0,ilmessaggero,author_3077,0
UgxTcl5X4yLKNBTUnDl4AaABAg.AXHD2PpOXupAXHG0mKDUJT,UgxTcl5X4yLKNBTUnDl4AaABAg,tRuGEVNoZm8,True,author_5185,2026-05-26T16:30:12Z,2026-05-26T16:30:12Z,0,E già 😂😂😂😂,UgxTcl5X4yLKNBTUnDl4AaABAg,1,ilmessaggero,author_5185,0
UgzItRN8FTQOCF3liZl4AaABAg,,tRuGEVNoZm8,False,author_5186,2026-05-26T17:10:22Z,2026-05-26T17:10:22Z,12,La detesto l' estate.,,0,ilmessaggero,author_5186,0
UgySV1WgPaXFQ2knpI54AaABAg.AXH2H1VPB8OAXHKf_C99Lw,UgySV1WgPaXFQ2knpI54AaABAg,tRuGEVNoZm8,True,author_5186,2026-05-26T17:10:51Z,2026-05-26T17:10:51Z,0,Vatican center,UgySV1WgPaXFQ2knpI54AaABAg,1,ilmessaggero,author_5186,0
Ugykhxe5XiiD2rvSRSR4AaABAg,,tRuGEVNoZm8,False,author_471,2026-05-26T17:43:58Z,2026-05-26T17:43:58Z,0,🤣🤣🤣🤣 Siete dei deficienti 🙄,,0,ilmessaggero,author_471,1
UgzinN9wT82uOnw21Wl4AaABAg,,tRuGEVNoZm8,False,author_390,2026-05-26T18:09:36Z,2026-05-26T18:09:36Z,0,"Questi pensano veramente che nessuno si ricordi tutte le poche o tante estati della sua vita 😂😂😂😂...il giorno che si accorgeranno che non siamo tutti scemi come credono, avranno un bruttissimo risveglio !!!!!!
......mi auguro 😅",,0,ilmessaggero,author_390,1
UgzNkkctf3jtgbm5VsF4AaABAg,,tRuGEVNoZm8,False,author_3108,2026-05-26T18:28:52Z,2026-05-26T18:28:52Z,6,Allarmismi inutili ha fatto freddo fino a 3 gg fa e parlano di maggio caldo record buffoni tanto le macchine elettriche nn se le compramo merde,,0,ilmessaggero,author_3108,1
Ugzh3otxqPCy7rVYfm14AaABAg,,tRuGEVNoZm8,False,author_5187,2026-05-26T19:21:31Z,2026-05-26T19:21:31Z,3,Dicono tutti gli anni  le stesse cose,,0,ilmessaggero,author_5187,0
Ugx5bb_V1JrPsKk141F4AaABAg,,tRuGEVNoZm8,False,author_5188,2026-05-26T19:56:09Z,2026-05-26T19:56:09Z,4,Ancora con le comiche si ricomincia,,0,ilmessaggero,author_5188,1
