comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyNeAbmioKIYhnBo7N4AaABAg,,wY27sDepyCY,False,author_3352,2026-05-27T08:30:43Z,2026-05-27T08:30:43Z,0,Mah! Il silenzio è assenza di un segnale di tutto poi ognuno interpreta il silenzio come vuole!🎉,,0,ilmessaggero,author_3352,0
Ugz5F1UsrSfWhKbgsph4AaABAg,,wY27sDepyCY,False,author_649,2026-05-27T08:36:44Z,2026-05-27T08:36:44Z,11,"È scorretto scaricare una persona che ha dato tutto al mare pure la vita e sua figlia ,non ha visto i pericoli di quello che stava facendo ,tutti possiamo sbagliare .Muoiono proprio i pionieri ,quelli più professionali proprio perché si spingono oltre i propri limiti",,0,ilmessaggero,author_649,0
UgxVY1oZTdi_XchaUXZ4AaABAg,,wY27sDepyCY,False,author_2078,2026-05-27T08:42:29Z,2026-05-27T08:42:29Z,0,"La rincoglionita comunista Salis, si è ravveduta ! La fighetta che figura di merd aveva fatto.",,0,ilmessaggero,author_2078,1
UgxxrAkjeD-hP27z0oh4AaABAg,,wY27sDepyCY,False,author_2064,2026-05-27T09:23:27Z,2026-05-27T09:23:53Z,4,"L' indignazione suscitata per aver rimosso i profili li ha fatti allarmare, tutti qui.",,0,ilmessaggero,author_2064,0
UgzBDjbPem3DtrYyEfV4AaABAg,,wY27sDepyCY,False,author_5042,2026-05-27T09:27:48Z,2026-05-27T09:27:48Z,5,"Nulla di più ipocrita, l'ateneo genovese ha riaperto i profili perché l'opinione pubblica si è totalmente indignata del loro gesto di chiusura. Come ricercatrice era una delle eccellenze mondiali e come tale va ricordata, come subacquea ""esperta"" decisamente no.",,0,ilmessaggero,author_5042,1
Ugz5F1UsrSfWhKbgsph4AaABAg.AXIzcuefKFSAXJ5lQA_pja,Ugz5F1UsrSfWhKbgsph4AaABAg,wY27sDepyCY,True,author_4967,2026-05-27T09:39:04Z,2026-05-27T09:39:04Z,1,sono d'accordo al 100%,Ugz5F1UsrSfWhKbgsph4AaABAg,1,ilmessaggero,author_4967,0
Ugx10Vhb5pF7vHdDyQ14AaABAg,,wY27sDepyCY,False,author_120,2026-05-27T12:20:35Z,2026-05-27T12:20:35Z,0,profili aperti di 5 incompetenti,,0,ilmessaggero,author_120,1
UgxFEFNWZmNppuiv3ud4AaABAg,,wY27sDepyCY,False,author_5129,2026-05-27T14:01:21Z,2026-05-27T14:01:21Z,0,"Premesso che sull'accaduto non ci si vede ancora chiaro, la rapidita' con cui erano stati chiusi i profili aveva mosso il dissenso del pubblico e loro li hanno ipocritamente riaperti.
Cio' non toglie che e' davvero strano che l'ateneo non sapesse dell'immersione.",,0,ilmessaggero,author_5129,0
UgwZDkkyeYViCwpgtDZ4AaABAg,,wY27sDepyCY,False,author_5130,2026-05-27T15:30:58Z,2026-05-27T15:30:58Z,1,Hanno vinto l' amore degli studenti ❤ non sanno quanta gente ha fatto causa alla università!! Non era giusto cancellare i profili e gli studi di tanti anni di lavoro che hanno fatto Monica e Muriel... Grazie 🙏 era giusto!! 👏👏👏,,0,ilmessaggero,author_5130,0
UgzBDjbPem3DtrYyEfV4AaABAg.AXJ4Twpe1kkAXJjIzg-uww,UgzBDjbPem3DtrYyEfV4AaABAg,wY27sDepyCY,True,author_5130,2026-05-27T15:33:18Z,2026-05-27T15:33:18Z,0,"Tu sei perfetta?... NO... QUINDI STAI ZITTA... QUESTE DUE DONNE HANNO FATTO SERI LAVORI DI RICERCA MARINA E ERA IL MINIMO CHE MERITAVANO, UN OMAGGIO, UN RICORDO. GRAZIE AL AMORE DEGLI STUDENTI CHE AMAVANO A QUESTE DUE DONNE... QUESTO NON TI DICE QUALCOSA? SEI VUOTA!!",UgzBDjbPem3DtrYyEfV4AaABAg,1,ilmessaggero,author_5130,1
Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXJjZmgOeRq,Ugx10Vhb5pF7vHdDyQ14AaABAg,wY27sDepyCY,True,author_5130,2026-05-27T15:35:36Z,2026-05-27T15:35:36Z,0,"Ma non sanno VOI il significato della parola RISPETTO. ERA IL MINIMO CHE MERITAVANO. HANNO FATTO BENE APRENDO I SUOI PROFILI, LE RICERCHE CHE HANNO FATTO SONO MOTIVI DI STUDIO PER LE FUTURE GENERAZIONI.",Ugx10Vhb5pF7vHdDyQ14AaABAg,1,ilmessaggero,author_5130,0
Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXJuHceilr9,Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXJjZmgOeRq,wY27sDepyCY,True,author_120,2026-05-27T17:09:14Z,2026-05-27T17:09:14Z,0,author_7061 quale studio !!!! si volevano fare la gitarella pagata da noi ! e non autorizzata dall universita !!!!!! fenomeno castel,Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXJjZmgOeRq,2,ilmessaggero,author_120,1
Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXK-Io1QFaU,Ugx10Vhb5pF7vHdDyQ14AaABAg,wY27sDepyCY,True,author_118,2026-05-27T18:01:50Z,2026-05-27T18:01:50Z,0,​author_5130 sei patetico,Ugx10Vhb5pF7vHdDyQ14AaABAg.AXJOFPd3zPzAXJjZmgOeRq,2,ilmessaggero,author_118,1
UgyLa94SqrYr2nyfn_R4AaABAg,,wY27sDepyCY,False,author_534,2026-05-27T19:11:18Z,2026-05-27T19:11:18Z,0,Rimane il fatto che hanno fatto il passo piu lungo della gamba,,0,ilmessaggero,author_534,1
