comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyIoGoW2kGWir9dZId4AaABAg,,xidc0WrUQBc,False,author_5748,2026-05-23T14:01:56Z,2026-05-23T14:01:56Z,1,Bravo francesco,,0,ilmessaggero,author_5748,0
Ugzo04o00hM-8ck8w394AaABAg,,xidc0WrUQBc,False,author_5749,2026-05-23T14:09:27Z,2026-05-23T14:09:27Z,0,Chissà cosa direbbe germano mosconi,,0,ilmessaggero,author_5749,1
Ugxlwzlnyb1JHbE2JB54AaABAg,,xidc0WrUQBc,False,author_5750,2026-05-23T14:11:13Z,2026-05-23T14:11:13Z,9,"Se non eri raccomandato, eri a carico dello Stato",,0,ilmessaggero,author_5750,1
UgzyH-QqMYRobjbYCOZ4AaABAg,,xidc0WrUQBc,False,author_843,2026-05-23T15:32:20Z,2026-05-23T15:32:20Z,1,Buttati in politica tanto ormai...........,,0,ilmessaggero,author_843,1
UgwkhZwU-VtfWzghLT14AaABAg,,xidc0WrUQBc,False,author_5751,2026-05-23T15:37:33Z,2026-05-23T15:37:33Z,0,"Bravo,si.Ma snz papá non avevi niente in cui credere..e nex che credeva in te.",,0,ilmessaggero,author_5751,1
UgzPfdFSWTWrK5ZiLPV4AaABAg,,xidc0WrUQBc,False,author_5752,2026-05-23T18:59:56Z,2026-05-23T18:59:56Z,2,Ma come talento ho del dubbi forse con conoscenza,,0,ilmessaggero,author_5752,0
Ugx533s3OmkNx979KXB4AaABAg,,xidc0WrUQBc,False,author_5753,2026-05-23T19:27:56Z,2026-05-23T19:27:56Z,2,Potresti essere un bravo presentatore....,,0,ilmessaggero,author_5753,0
Ugyr8qYJFqQJ6fym3O94AaABAg,,xidc0WrUQBc,False,author_5754,2026-05-23T21:50:01Z,2026-05-23T21:50:01Z,3,"Sei un esempio per molti che oggi si fermano davanti ad un sassolino, credendo si tratti di un macigno.",,0,ilmessaggero,author_5754,0
Ugw6XqvPOJ5paiD-n4N4AaABAg,,xidc0WrUQBc,False,author_5755,2026-05-24T06:09:44Z,2026-05-24T06:09:44Z,7,Veramente ti sei reso conto che non sei un artista?MI FA PIACERE .,,0,ilmessaggero,author_5755,1
UgxDWe_rX_rJPIGV9Fx4AaABAg,,xidc0WrUQBc,False,author_4685,2026-05-24T07:38:24Z,2026-05-24T07:38:24Z,5,"Intelligente , umile e molto simpatico!",,0,ilmessaggero,author_4685,0
UgyNFKk8U0YWCCDK3w14AaABAg,,xidc0WrUQBc,False,author_5756,2026-05-24T08:55:57Z,2026-05-24T08:55:57Z,1,E lo sappiamo,,0,ilmessaggero,author_5756,0
UgwzoCPEg3gedlFZJgN4AaABAg,,xidc0WrUQBc,False,author_5757,2026-05-24T09:42:19Z,2026-05-24T09:42:19Z,0,Ma va cagare quello che hai fatto lo devi a tuo padre fenomeno,,0,ilmessaggero,author_5757,1
Ugz8Qme5vpOL5B5AUGZ4AaABAg,,xidc0WrUQBc,False,author_570,2026-05-24T13:47:08Z,2026-05-24T13:47:08Z,1,"Bravissimo Francesco Facchinetti ! Segui il tuo capitano 
muovi a tempo il bacino
Sono il capitano uncino ....❤❤❤",,0,ilmessaggero,author_570,1
Ugy5BR5RcVj018qeyCN4AaABAg,,xidc0WrUQBc,False,author_5758,2026-05-24T16:37:51Z,2026-05-24T16:37:51Z,1,"Esatto!!! Hai voluto provare a ""vivere di rendita""... Questo è quello che ne consegue.... I pooh❤",,0,ilmessaggero,author_5758,1
UgxDWe_rX_rJPIGV9Fx4AaABAg.AXB9_13a09jAXCCIqjaT2j,UgxDWe_rX_rJPIGV9Fx4AaABAg,xidc0WrUQBc,True,author_5759,2026-05-24T17:21:30Z,2026-05-24T17:21:30Z,2,DOVE?,UgxDWe_rX_rJPIGV9Fx4AaABAg,1,ilmessaggero,author_5759,0
Ugx4lCg0BbF4REun1BV4AaABAg,,xidc0WrUQBc,False,author_5760,2026-05-24T21:03:19Z,2026-05-24T21:03:19Z,3,Ma va a lavorare,,0,ilmessaggero,author_5760,1
Ugx2QXJGXnj5bZzugl94AaABAg,,xidc0WrUQBc,False,author_5761,2026-05-25T01:24:37Z,2026-05-25T01:24:37Z,0,A zappare la rerra tutti e due,,0,ilmessaggero,author_5761,1
Ugw0zat2nmw216hhHRl4AaABAg,,xidc0WrUQBc,False,author_5762,2026-05-25T06:38:54Z,2026-05-25T06:38:54Z,3,"Sti cazzi, senza papà avresti fatto il muratore, senza nulla togliere a questo mestiere",,0,ilmessaggero,author_5762,1
UgystBFB2kbZcDiu1n14AaABAg,,xidc0WrUQBc,False,author_119,2026-05-25T12:41:32Z,2026-05-25T12:41:32Z,0,Bravissimo ❤ in effetti ci vuole perseveranza a incu*are la gente prima con lo Stonex One e poi con Catge 🙄 e poi non tutti riusciamo a farci rifare il naso da McGregor 🙄,,0,ilmessaggero,author_119,1
Ugz2ZrwQaLqNcG4hWut4AaABAg,,xidc0WrUQBc,False,author_5763,2026-05-25T13:32:07Z,2026-05-25T13:32:07Z,2,Hai ragione ... perseveranza di avere papà Facchinetti,,0,ilmessaggero,author_5763,0
Ugxhmi4zj6kA5xDuP8Z4AaABAg,,xidc0WrUQBc,False,author_5763,2026-05-25T13:32:20Z,2026-05-25T13:32:20Z,0,Hai ragione ... perseveranza di avere papà Facchinetti,,0,ilmessaggero,author_5763,0
Ugyd6sXXCaZDGAULUcV4AaABAg,,xidc0WrUQBc,False,author_5764,2026-05-25T14:18:16Z,2026-05-25T14:18:16Z,1,"Infatti  non sai fare niente,se non ci fossero i soldi di papà",,0,ilmessaggero,author_5764,1
UgyUeQnvb_FicjslMJh4AaABAg,,xidc0WrUQBc,False,author_5765,2026-05-25T15:10:29Z,2026-05-25T15:10:29Z,1,Un raccomandato 😂,,0,ilmessaggero,author_5765,1
UgwoLuiV_WypBZITWFB4AaABAg,,xidc0WrUQBc,False,author_4377,2026-05-25T17:55:07Z,2026-05-25T17:55:07Z,1,Il nulla siderale.,,0,ilmessaggero,author_4377,1
UgzbCNJAMbJ8kGQb0jZ4AaABAg,,xidc0WrUQBc,False,author_5766,2026-05-25T19:45:14Z,2026-05-25T19:45:14Z,0,Perche' cosa hai fatto? 🤔,,0,ilmessaggero,author_5766,0
UgyE76XwSLfQewZF56N4AaABAg,,xidc0WrUQBc,False,author_5767,2026-05-26T13:39:50Z,2026-05-26T13:39:50Z,0,Hai trovato spazio a tuo padre,,0,ilmessaggero,author_5767,0
UgyQYQNNJH4_G8paYlN4AaABAg,,xidc0WrUQBc,False,author_5768,2026-05-26T15:52:09Z,2026-05-26T15:52:09Z,0,"Col piffero e grazie al c,,,😃i soldi di papino sono serviti eccome !!!!!",,0,ilmessaggero,author_5768,1
UgyHw0LNuf46PnX8Dxh4AaABAg,,xidc0WrUQBc,False,author_199,2026-05-26T17:27:55Z,2026-05-26T17:27:55Z,0,E sei anche di destra...😢,,0,ilmessaggero,author_199,1
UgyeQ0a6o0gkUdyD1cN4AaABAg,,xidc0WrUQBc,False,author_5769,2026-05-26T17:54:39Z,2026-05-26T17:54:39Z,0,Devi solo ringraziare i soldi di tuo padre......sei un Fallito....,,0,ilmessaggero,author_5769,1
UgxDWe_rX_rJPIGV9Fx4AaABAg.AXB9_13a09jAXH_SIeamz3,UgxDWe_rX_rJPIGV9Fx4AaABAg,xidc0WrUQBc,True,author_9,2026-05-26T19:28:43Z,2026-05-26T19:28:43Z,0,...che vive di luce riflessa,UgxDWe_rX_rJPIGV9Fx4AaABAg,1,ilmessaggero,author_9,1
Ugx4lCg0BbF4REun1BV4AaABAg.AXCagVhz2zJAXJAY1syrcr,Ugx4lCg0BbF4REun1BV4AaABAg,xidc0WrUQBc,True,author_135,2026-05-27T10:20:47Z,2026-05-27T10:20:47Z,1,E chi lo prenderebbe...?,Ugx4lCg0BbF4REun1BV4AaABAg,1,ilmessaggero,author_135,1
Ugx4lCg0BbF4REun1BV4AaABAg.AXCagVhz2zJAXJGfQhby-8,Ugx4lCg0BbF4REun1BV4AaABAg.AXCagVhz2zJAXJAY1syrcr,xidc0WrUQBc,True,author_5760,2026-05-27T11:14:22Z,2026-05-27T11:14:22Z,1,​author_7117 nonno gli serve uno che tiene a bada gli asini,Ugx4lCg0BbF4REun1BV4AaABAg.AXCagVhz2zJAXJAY1syrcr,2,ilmessaggero,author_5760,1
Ugzp6rK-97puejEHxbB4AaABAg,,xidc0WrUQBc,False,author_5770,2026-05-27T15:51:33Z,2026-05-27T15:51:33Z,0,Ringrazia papà perché è con i suoi soldi che fai lo splendido,,0,ilmessaggero,author_5770,1
Ugx5K1bQFdMdtN-K1KF4AaABAg,,xidc0WrUQBc,False,author_4943,2026-05-27T22:43:13Z,2026-05-27T22:43:13Z,0,Caro Francesco il tuo papà è un mito 👏👏👏👏👏👏,,0,ilmessaggero,author_4943,0
UgxyV9gS066QvtKnxFN4AaABAg,,xidc0WrUQBc,False,author_5771,2026-05-28T07:04:03Z,2026-05-28T07:04:03Z,0,"Che brutti commenti che leggo,blaAaa bla bla🤮🤮",,0,ilmessaggero,author_5771,1
UgzCpyz18gYuB5iNQg94AaABAg,,xidc0WrUQBc,False,author_4536,2026-05-28T07:25:25Z,2026-05-28T07:25:25Z,0,"È questo il problema,sapete di non avere talento e continuate a mettervi in mostra,sono stufa del nulla assoluto",,0,ilmessaggero,author_4536,1
