comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwJtDv12MD4f7F3XNZ4AaABAg,,Df0NuK_QpRE,False,author_4521,2026-05-24T17:51:51Z,2026-05-24T17:51:51Z,6,"SCAPPA CONIGLIO GRANATA  
AVANTI CURVA SUD",,0,lastampa,author_4521,1
Ugxg-En89d9Xh3OJVMF4AaABAg,,Df0NuK_QpRE,False,author_4471,2026-05-24T18:11:26Z,2026-05-24T18:11:26Z,9,Coniglio granata,,0,lastampa,author_4471,1
UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXCI49nVfXN,UgwJtDv12MD4f7F3XNZ4AaABAg,Df0NuK_QpRE,True,author_4522,2026-05-24T18:11:56Z,2026-05-24T18:11:56Z,0,le avete prese coglione,UgwJtDv12MD4f7F3XNZ4AaABAg,1,lastampa,author_4522,1
UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXCOThw2Fen,UgwJtDv12MD4f7F3XNZ4AaABAg,Df0NuK_QpRE,True,author_4523,2026-05-24T19:07:51Z,2026-05-24T19:07:51Z,0,torna a letto coniglietto,UgwJtDv12MD4f7F3XNZ4AaABAg,1,lastampa,author_4523,1
UgxolutP1t1MSjlixcp4AaABAg,,Df0NuK_QpRE,False,author_4524,2026-05-24T19:07:53Z,2026-05-24T19:07:53Z,0,"Nel 2026, ancora tifosi cerebrolesi che inneggiano alla violenza. Quando l'evoluzione farà sparire una volta per tutte questi fecalomi a strisce?",,0,lastampa,author_4524,1
UgxagMzZ8YsVLZifpO94AaABAg,,Df0NuK_QpRE,False,author_2296,2026-05-24T19:11:18Z,2026-05-24T19:11:18Z,4,Quando radieranno la Juventus????,,0,lastampa,author_2296,1
UgyYQybfTU528kr5V4d4AaABAg,,Df0NuK_QpRE,False,author_2300,2026-05-24T19:13:07Z,2026-05-24T19:13:07Z,2,"Sti falliti camerieri dello zio Sam guerrafondaio sono stati assoldati dai destr0nz1 al governo servi di Merdonald e Von Der Reich per fare distrazione di massa ai danni del popolo italiano e fargli dimenticare il genocidio di Gaza, la benzina a 2 euro, gli stipendi da fame e la privazione di tutti i diritti dei lavoratori 🤡",,0,lastampa,author_2300,1
UgxagMzZ8YsVLZifpO94AaABAg.AXCOryuv1t2AXCPN_dr1BG,UgxagMzZ8YsVLZifpO94AaABAg,Df0NuK_QpRE,True,author_2300,2026-05-24T19:15:45Z,2026-05-24T19:15:45Z,4,"Sempre dopo che avranno radiato la FcNdranghetinter, che organizza incontri con i designatori per scegliersi gli arbitri più adatti per vincere l'ennesima Occhiotorto League di cartone 🤡  poi in Europa prendete lezioni di calcio e di decenza umana anche dai tagliaboschi norvegesi 🤡",UgxagMzZ8YsVLZifpO94AaABAg,1,lastampa,author_2300,1
Ugw6qV48xzteSmDZmtB4AaABAg,,Df0NuK_QpRE,False,author_4482,2026-05-24T19:18:36Z,2026-05-24T19:18:36Z,1,Noi arrestati e un tifoso nostro mandato in ospedale,,0,lastampa,author_4482,1
UgxagMzZ8YsVLZifpO94AaABAg.AXCOryuv1t2AXCQ53T6u_e,UgxagMzZ8YsVLZifpO94AaABAg,Df0NuK_QpRE,True,author_2309,2026-05-24T19:21:57Z,2026-05-24T19:21:57Z,3,Quando tu insieme al dopato facchetti e l'assassino Moratti chiederete scusa agli italiani in ginocchio per aver creato CALCIOPOLI,UgxagMzZ8YsVLZifpO94AaABAg,1,lastampa,author_2309,1
Ugygy7LcI08wSLiWyzt4AaABAg,,Df0NuK_QpRE,False,author_2333,2026-05-24T19:48:35Z,2026-05-24T19:48:35Z,0,Ultrà= coglioni,,0,lastampa,author_2333,1
UgxpX3kxqQ3-18WxpsN4AaABAg,,Df0NuK_QpRE,False,author_70,2026-05-24T20:45:23Z,2026-05-24T20:45:23Z,0,Che vergogna,,0,lastampa,author_70,0
UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXCdmwCaTzs,UgwJtDv12MD4f7F3XNZ4AaABAg,Df0NuK_QpRE,True,author_4525,2026-05-24T21:30:25Z,2026-05-24T21:30:25Z,2,Ma chi le ha prese?,UgwJtDv12MD4f7F3XNZ4AaABAg,1,lastampa,author_4525,0
Ugy6oKhp7y5T4qde-UN4AaABAg,,Df0NuK_QpRE,False,author_4526,2026-05-24T22:10:19Z,2026-05-24T22:10:19Z,0,Gobbi carogne con le famiglie forti con i veri tifosi codardi e vigliacchi,,0,lastampa,author_4526,1
UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXD10W5Dz-j,UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXCdmwCaTzs,Df0NuK_QpRE,True,author_4527,2026-05-25T01:02:07Z,2026-05-25T01:02:07Z,1,​author_6997 le sono suonate da soli....,UgwJtDv12MD4f7F3XNZ4AaABAg.AXCFm2Ul0X8AXCdmwCaTzs,2,lastampa,author_4527,0
