comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxXxVS8B9eCiSv75R94AaABAg,,L36MVXLfJIk,False,author_115,2026-05-22T08:33:24Z,2026-05-22T08:33:24Z,9,"Buongiorno  io non posso credere a tutta questa cattiveria gratuita, chi critica sono dei poveretti persone che non hanno rispetto di niente e fanno solo tantissima tristezza, poveretti sono degli infelici, saluti alla mamma 😢😊",,0,lastampa,author_115,0
UgyvMRSCJfAgs1rRdOB4AaABAg,,L36MVXLfJIk,False,author_4672,2026-05-22T08:39:54Z,2026-05-22T08:39:54Z,2,Date troppa visibilita a quegli idioti non nominarli neanke e' il miglior sistema ma nn lo volete capire mah,,0,lastampa,author_4672,1
UgzQu0nF4VFlGryUp4J4AaABAg,,L36MVXLfJIk,False,author_4862,2026-05-22T08:49:33Z,2026-05-22T08:49:33Z,7,"Un dolore inimmaginabile,da mamma... vorrei parole di cordoglio anche per quel povero soccorritore,che ha dato la vita.Sicuramente ha una mamma anche lui...🙏❤",,0,lastampa,author_4862,0
Ugz9f40B-ZLWDOqJJrx4AaABAg,,L36MVXLfJIk,False,author_4863,2026-05-22T08:50:31Z,2026-05-22T08:50:31Z,11,Condoglianze Signora perdere un figlio è il dolore più grande nella vita che nessuna mamma dovrebbe provare,,0,lastampa,author_4863,0
Ugyqc9G83fU2jQhTbI54AaABAg,,L36MVXLfJIk,False,author_4864,2026-05-22T09:32:40Z,2026-05-22T09:32:40Z,6,Ok che lo facevano per studio ma non adeguati   di attrezzature specifiche  a   queste. Missioni troppo profonde e con grotte  pericolose. E una pazzesca.  Non erano esperti  e ci e costata la vita  ....,,0,lastampa,author_4864,1
UgzRdTs_R0RXMkabt7l4AaABAg,,L36MVXLfJIk,False,author_3587,2026-05-22T10:14:27Z,2026-05-22T10:14:27Z,4,I dementi ce ne sono parecchi. Brava mamma sei da ammirare per la tua risposta.,,0,lastampa,author_3587,0
UgxKsrXnS2wFqsebOL54AaABAg,,L36MVXLfJIk,False,author_4865,2026-05-22T10:51:40Z,2026-05-22T10:51:40Z,1,Perdona madre l' ignoranza,,0,lastampa,author_4865,1
Ugwj5bIQArpxhJglVKx4AaABAg,,L36MVXLfJIk,False,author_4866,2026-05-22T11:44:43Z,2026-05-22T11:44:43Z,2,"Come di può  criticare ,la morte di un ragazzo...Parlo dei sub...NON posso credere che c'è  gente così cattiva...Anche se fosse lì per divertirsi, non cambia niente,   è  un dolore, e basta...",,0,lastampa,author_4866,0
Ugy28KQfk6tuUwIbHUt4AaABAg,,L36MVXLfJIk,False,author_4867,2026-05-22T11:56:17Z,2026-05-22T11:56:17Z,5,L'ignoranza non ha pari ...condoglianze a questa mamma 😢😢❤,,0,lastampa,author_4867,0
UgyT2ugqj1Cc5nCuvKF4AaABAg,,L36MVXLfJIk,False,author_3335,2026-05-22T12:15:08Z,2026-05-22T12:15:08Z,1,😢😢peccato   !!!💔💔💔💔💔🇮🇹,,0,lastampa,author_3335,0
Ugyr7Mp_pM5ZrngqA5l4AaABAg,,L36MVXLfJIk,False,author_4868,2026-05-22T12:44:39Z,2026-05-22T12:44:39Z,2,Come al solito quando c'è una disgrazia si commenta a caso senza sapere cosa sia successo davvero un abbraccio forte alle famiglie,,0,lastampa,author_4868,0
UgwQyyrm4v6VEtaIjWd4AaABAg,,L36MVXLfJIk,False,author_4869,2026-05-22T12:57:06Z,2026-05-22T12:57:06Z,1,Lascia perdere signora purtroppo ha altro a cui pensare sicuramente ci saranno degli errori ma non giustifica lisulto contro il dolore di una madre ❤️,,0,lastampa,author_4869,0
UgyZKGegB6E8T-AMf_d4AaABAg,,L36MVXLfJIk,False,author_4870,2026-05-22T14:36:02Z,2026-05-22T14:36:02Z,0,Purtroppo si dice... La mamma degli imbecilli è sempre in cinta... 😢,,0,lastampa,author_4870,1
UgwyP7s7smcq3dcrMZl4AaABAg,,L36MVXLfJIk,False,author_4871,2026-05-22T15:18:27Z,2026-05-22T15:18:27Z,0,"Carissima mamma, mi piange il cuore per il gravissimo lutto che Lei ha subito, nn oso immaginare il Suo dolore, Le sono accanto come una mamma italiana e Le porgo le mie più sentite condoglianze, unite alle altre persone della spedizione che hanno perso la vita🙏🌹 ❤",,0,lastampa,author_4871,0
UgyZuKk128gxIluws8V4AaABAg,,L36MVXLfJIk,False,author_658,2026-05-22T15:29:28Z,2026-05-22T15:29:28Z,0,"Cara signora ,ignori tt sta gente che nn sa cosa dice .Condoglianze alla famiglia .",,0,lastampa,author_658,0
UgxEcPpVbOoTlMor_Zl4AaABAg,,L36MVXLfJIk,False,author_4872,2026-05-22T15:30:20Z,2026-05-22T15:30:20Z,1,Condoglianze signora,,0,lastampa,author_4872,0
UgxftrRDHR18XXvNL7R4AaABAg,,L36MVXLfJIk,False,author_4873,2026-05-22T17:05:41Z,2026-05-22T17:05:41Z,8,"Non ci posso credere, alcune persone (se cosi le vogliamo definire) non hanno rispetto neanche davanti a una  simile tragedia e al  dolore di una madre, VERGOGNATEVI",,0,lastampa,author_4873,1
UgwyeRYxdzXvHeVDXEh4AaABAg,,L36MVXLfJIk,False,author_4223,2026-05-22T17:35:25Z,2026-05-22T17:35:25Z,0,"Non date relazione a quegli escrementi umani , che per di più penso non abbiano mai fatto niente di valido nella loro misera e insignificante esistenza.",,0,lastampa,author_4223,1
UgyNk5zA-TQOFVpXGrx4AaABAg,,L36MVXLfJIk,False,author_4874,2026-05-22T17:58:59Z,2026-05-22T17:58:59Z,0,"Mi dispiace tantissimo,le mie più sentite condoglianze ❤",,0,lastampa,author_4874,0
UgxPNaZ_rDjJWbHh9jd4AaABAg,,L36MVXLfJIk,False,author_3582,2026-05-22T18:09:16Z,2026-05-22T18:09:16Z,1,"Li ignori, poveracci. Un abbraccio ❤",,0,lastampa,author_3582,0
UgwvgRjk0P5_a2GRbbB4AaABAg,,L36MVXLfJIk,False,author_4875,2026-05-22T19:09:48Z,2026-05-22T19:09:48Z,0,Lasciamo parlare i deficienti tanto non hanno credito. Condoglianze a tutte le famiglie anche a quella del soccorritore. Mi dispiace veramente tanto. 🙏🙏🙏,,0,lastampa,author_4875,1
Ugw4Qd1UwYHJfN0HDZd4AaABAg,,L36MVXLfJIk,False,author_4876,2026-05-22T19:26:41Z,2026-05-22T19:26:41Z,0,Qs società è piena di idioti che non comprendono chi cerca di fare qualcosa x il benessere collettivo e dellA natura che x colpa dell uomo è molto compromessa,,0,lastampa,author_4876,0
Ugzy4BhOyYJsXHI0bWd4AaABAg,,L36MVXLfJIk,False,author_4877,2026-05-22T20:53:57Z,2026-05-22T20:53:57Z,1,Povera mamma ❤❤❤❤,,0,lastampa,author_4877,0
UgwIiqrbKHW9LeNA3vF4AaABAg,,L36MVXLfJIk,False,author_4878,2026-05-22T21:12:19Z,2026-05-22T21:12:19Z,1,"Purtroppo siamo diventati inumani...dovremmo sapere quando tacere, quando la nostra opinione non è necessaria.",,0,lastampa,author_4878,0
UgxwODhJRzdD1gt3N1t4AaABAg,,L36MVXLfJIk,False,author_4351,2026-05-22T22:31:18Z,2026-05-22T22:31:18Z,1,Ma perché mai insultare una persona che ha perso la vita? Io non capisco proprio la cattiveria gratuita di quelle persone....,,0,lastampa,author_4351,0
UgyW5i42NBlS0iGaakt4AaABAg,,L36MVXLfJIk,False,author_4879,2026-05-23T01:46:11Z,2026-05-23T01:46:11Z,0,"Non c'è  niente da fare l ignoranza  e la cattiveria è  sovrana.  Sono vicina  a questa mamma, coraggio  signora, che il cielo l aiuti.🙏",,0,lastampa,author_4879,0
Ugy_OgQR4Op9HXIJqg54AaABAg,,L36MVXLfJIk,False,author_4880,2026-05-23T05:04:01Z,2026-05-23T05:04:01Z,0,❤❤❤❤❤❤,,0,lastampa,author_4880,0
UgwZtF3SNE0UPH5WzUd4AaABAg,,L36MVXLfJIk,False,author_4720,2026-05-23T09:47:02Z,2026-05-23T09:47:02Z,0,😢😢😢💔🙏🌹,,0,lastampa,author_4720,0
UgyXCRmNt6dTqg13SvJ4AaABAg,,L36MVXLfJIk,False,author_4607,2026-05-23T13:48:46Z,2026-05-23T13:48:46Z,0,"Non dimentichiamo che è morto un sommozzatore maldiviano nel tentare di cercare le salme. 
Questa mi sembra la tragedia più assurda ed ingiusta di tutte.",,0,lastampa,author_4607,0
UgzYp1vXqrTvAGPh3bt4AaABAg,,L36MVXLfJIk,False,author_4881,2026-05-23T16:48:13Z,2026-05-23T16:48:13Z,1,"Non li legga, signora, non li legga❤",,0,lastampa,author_4881,0
UgwQhHYaFhJjwWe9QeR4AaABAg,,L36MVXLfJIk,False,author_3911,2026-05-24T22:24:11Z,2026-05-24T22:24:11Z,0,❤😢,,0,lastampa,author_3911,0
UgyL0e5ui1YocAMH5u14AaABAg,,L36MVXLfJIk,False,author_4882,2026-05-26T18:01:29Z,2026-05-26T18:01:29Z,0,Purtroppo le persone aprono la bocca solo per fargli prendere aria..non riesco ad immaginare il dolore che si prova x la morte di un figlio....ti abbraccio forte 💪,,0,lastampa,author_4882,0
Ugzx0SVe5FUF7mG-WeB4AaABAg,,L36MVXLfJIk,False,author_4883,2026-05-26T23:30:43Z,2026-05-26T23:30:43Z,0,"Sì,sì , mi ha convinto signora. Ma per cortesia…",,0,lastampa,author_4883,0
