comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugzwe7CkTlRJu1j3zDZ4AaABAg,,ZxSPzdxAoKk,False,author_2298,2026-05-23T16:18:07Z,2026-05-23T16:18:07Z,7,REMIGRAZIONE,,0,lastampa,author_2298,1
Ugxz6_jefJlcORd5d3J4AaABAg,,ZxSPzdxAoKk,False,author_4538,2026-05-23T16:37:03Z,2026-05-23T16:37:03Z,4,Arrestare i genitori.,,0,lastampa,author_4538,1
UgzaUv9JOtrH8cbNaad4AaABAg,,ZxSPzdxAoKk,False,author_3120,2026-05-23T16:41:54Z,2026-05-23T16:41:54Z,0,Concordo bisogna arrestare quei fet.nti di genitori!,,0,lastampa,author_3120,1
UgyuIzk2sz4PCr7jqSh4AaABAg,,ZxSPzdxAoKk,False,author_4539,2026-05-23T19:50:26Z,2026-05-23T19:50:26Z,0,Osceno,,0,lastampa,author_4539,1
Ugw-fZKiAJDsVA5m3fh4AaABAg,,ZxSPzdxAoKk,False,author_4398,2026-05-23T22:08:16Z,2026-05-23T22:08:16Z,1,Che stupidi questi ragazzi senza arte e ne parte:i genitori sono contenti⁉️🧠🤔🙄🤌👎🤷‍♀️🤦‍♀️😡🤬🤮,,0,lastampa,author_4398,1
Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXA8Pyunyug,Ugzwe7CkTlRJu1j3zDZ4AaABAg,ZxSPzdxAoKk,True,author_4398,2026-05-23T22:09:03Z,2026-05-23T22:09:03Z,2,"Ma forse sono italiani,cosa dice?🤌🤦‍♀️🙄😬",Ugzwe7CkTlRJu1j3zDZ4AaABAg,1,lastampa,author_4398,1
Ugx-CIGLa-bM8y9g_cd4AaABAg,,ZxSPzdxAoKk,False,author_4540,2026-05-23T22:44:59Z,2026-05-23T22:44:59Z,2,"Non ci sono parole... non ci sono parole... oddio oddio oddio... è di una gravità assoluta ed inaudita, fuori da ogni logica",,0,lastampa,author_4540,0
Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXALpdMZH2l,Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXA8Pyunyug,ZxSPzdxAoKk,True,author_2298,2026-05-24T00:06:17Z,2026-05-24T00:06:17Z,4,​author_4398 Italiani 😂😂😂😂😂,Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXA8Pyunyug,2,lastampa,author_2298,1
Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXAuqjuuCEq,Ugzwe7CkTlRJu1j3zDZ4AaABAg,ZxSPzdxAoKk,True,author_3307,2026-05-24T05:21:00Z,2026-05-24T05:21:00Z,1,"vai a vedere che questi poveri ragazzi hanno problemi psichiatrici e hanno l’autorizzazione , rilasciata dal magistrato di turno, a fare stragi e restare impuniti?",Ugzwe7CkTlRJu1j3zDZ4AaABAg,1,lastampa,author_3307,1
UgzvhPGMUgPDzGEJYVl4AaABAg,,ZxSPzdxAoKk,False,author_3307,2026-05-24T05:22:44Z,2026-05-24T05:22:44Z,3,"vai a vedere che questi poveri ragazzi hanno problemi psichiatrici e hanno l’autorizzazione , rilasciata dal magistrato di turno, a commettere stragi e restare impuniti?",,0,lastampa,author_3307,1
UgzvhPGMUgPDzGEJYVl4AaABAg.AXAv2PUKMIVAXBUanQiMjk,UgzvhPGMUgPDzGEJYVl4AaABAg,ZxSPzdxAoKk,True,author_3200,2026-05-24T10:42:08Z,2026-05-24T10:42:08Z,0,Vai a vedere che quello che ha problemi psichiatrici sei tu,UgzvhPGMUgPDzGEJYVl4AaABAg,1,lastampa,author_3200,1
Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXBUm322g_v,Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXAuqjuuCEq,ZxSPzdxAoKk,True,author_3200,2026-05-24T10:43:41Z,2026-05-24T10:43:41Z,1,"​author_3307 posa il fisco, meglio se bevi, Fanta, ginger o chinotto. L'alcool ti fa male",Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXAuqjuuCEq,2,lastampa,author_3200,0
Ugy5p6YbfQpUpKKy2FF4AaABAg,,ZxSPzdxAoKk,False,author_4541,2026-05-24T10:49:25Z,2026-05-24T10:49:25Z,2,Che schifo 🤮,,0,lastampa,author_4541,1
Ugx7vXlffTCTqFxuLN94AaABAg,,ZxSPzdxAoKk,False,author_4542,2026-05-24T11:27:01Z,2026-05-24T11:27:01Z,1,Ci vorrebbe un anno di servizio militare al tempo del nonnismo... vedi che dopo una settimana come sono educati e rispettare il prossimo,,0,lastampa,author_4542,1
Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXBfNhX390-,Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXA8Pyunyug,ZxSPzdxAoKk,True,author_4543,2026-05-24T12:25:04Z,2026-05-24T12:25:04Z,2,"O forse no, cosa dice?",Ugzwe7CkTlRJu1j3zDZ4AaABAg.AX9WFgFvLWTAXA8Pyunyug,2,lastampa,author_4543,1
Ugx-CIGLa-bM8y9g_cd4AaABAg.AXACXBFCN9xAXCexEMJj3P,Ugx-CIGLa-bM8y9g_cd4AaABAg,ZxSPzdxAoKk,True,author_3146,2026-05-24T21:40:34Z,2026-05-24T21:40:34Z,0,Un buon inizio,Ugx-CIGLa-bM8y9g_cd4AaABAg,1,lastampa,author_3146,1
Ugw-fZKiAJDsVA5m3fh4AaABAg.AXA8KDK7FY-AXCez9318K2,Ugw-fZKiAJDsVA5m3fh4AaABAg,ZxSPzdxAoKk,True,author_3146,2026-05-24T21:40:50Z,2026-05-24T21:40:50Z,1,Che ragazzi?,Ugw-fZKiAJDsVA5m3fh4AaABAg,1,lastampa,author_3146,0
Ugx7vXlffTCTqFxuLN94AaABAg.AXBZjVDqKURAXCfCLuhsMy,Ugx7vXlffTCTqFxuLN94AaABAg,ZxSPzdxAoKk,True,author_3146,2026-05-24T21:42:46Z,2026-05-24T21:42:46Z,1,"Sei fuori giri metti giù il fiasco d’alpino. Il problema è da tutt’altra parte. Non te la prendere eh era solo una battuta.
Però il problema rimane",Ugx7vXlffTCTqFxuLN94AaABAg,1,lastampa,author_3146,1
Ugxz6_jefJlcORd5d3J4AaABAg.AX9YQNOhPkQAXCfIvV5GQR,Ugxz6_jefJlcORd5d3J4AaABAg,ZxSPzdxAoKk,True,author_3146,2026-05-24T21:43:40Z,2026-05-24T21:43:40Z,1,Non è li problema (solo in minima parte).,Ugxz6_jefJlcORd5d3J4AaABAg,1,lastampa,author_3146,0
Ugw-fZKiAJDsVA5m3fh4AaABAg.AXA8KDK7FY-AXCfPjzqAWG,Ugw-fZKiAJDsVA5m3fh4AaABAg,ZxSPzdxAoKk,True,author_4398,2026-05-24T21:44:35Z,2026-05-24T21:46:20Z,1,​​​author_3146 I studenti che hanno picchiato i due docenti...👍🏻😬,Ugw-fZKiAJDsVA5m3fh4AaABAg.AXA8KDK7FY-AXCez9318K2,2,lastampa,author_4398,1
Ugx7vXlffTCTqFxuLN94AaABAg.AXBZjVDqKURAXCfomtdsqq,Ugx7vXlffTCTqFxuLN94AaABAg,ZxSPzdxAoKk,True,author_4398,2026-05-24T21:48:09Z,2026-05-24T21:48:09Z,1,Materia:educazione civica...👍🏻😬,Ugx7vXlffTCTqFxuLN94AaABAg,1,lastampa,author_4398,1
Ugwd3Fp3EpzcNbrjLm94AaABAg,,ZxSPzdxAoKk,False,author_4016,2026-05-25T00:30:31Z,2026-05-25T00:30:31Z,1,Scimmie magrebine,,0,lastampa,author_4016,1
Ugw9t8wCJ4bqCvJLjfZ4AaABAg,,ZxSPzdxAoKk,False,author_4544,2026-05-25T06:46:11Z,2026-05-25T06:46:11Z,1,Vogliamo vedere le facce !!,,0,lastampa,author_4544,0
Ugx7vXlffTCTqFxuLN94AaABAg.AXBZjVDqKURAXLKywY1vDE,Ugx7vXlffTCTqFxuLN94AaABAg,ZxSPzdxAoKk,True,author_4545,2026-05-28T06:30:28Z,2026-05-28T06:30:28Z,0,Il servizio militare che non ha dimostrazioni scientifiche su sta cosa,Ugx7vXlffTCTqFxuLN94AaABAg,1,lastampa,author_4545,0
