comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugx06Ix80dHwYH_xVgl4AaABAg,,czVnDDHDVng,False,author_4575,2026-05-22T18:44:33Z,2026-05-22T18:44:33Z,43,"FORZA GIOVANNI,TI SONO TUTTI MOLTO VICINI!!!!!",,0,lastampa,author_4575,0
UgxgwLnS7wrvdR1JTr14AaABAg,,czVnDDHDVng,False,author_4576,2026-05-22T18:49:17Z,2026-05-22T18:49:17Z,1,💪💪💪💪💪❤❤,,0,lastampa,author_4576,0
UgynZUy1rc8vITcqDmJ4AaABAg,,czVnDDHDVng,False,author_4577,2026-05-22T19:12:33Z,2026-05-22T19:12:33Z,6,❤❤❤❤w I gatti  e gli animali...fanno sempre eeeee bene❤❤❤❤❤baciooo,,0,lastampa,author_4577,0
UgzpsnuoObawSDA8Cv54AaABAg,,czVnDDHDVng,False,author_4578,2026-05-22T19:31:17Z,2026-05-22T19:31:17Z,11,Forza 💪❤❤❤❤❤,,0,lastampa,author_4578,0
UgwZq_qT09-uqDU-3jl4AaABAg,,czVnDDHDVng,False,author_4579,2026-05-22T20:14:04Z,2026-05-22T20:14:04Z,20,Che uomo dolce. Gli auguro il meglio ❤,,0,lastampa,author_4579,0
UgyOSHRC-uqf8hpQaFF4AaABAg,,czVnDDHDVng,False,author_4580,2026-05-22T21:08:58Z,2026-05-22T21:08:58Z,4,Splendi la tua luce si espanderà come una nuvola su tutti noi con la tua bellezza evanescente unica😊,,0,lastampa,author_4580,0
Ugxr3yieSTgcIfXOZaV4AaABAg,,czVnDDHDVng,False,author_4581,2026-05-22T21:39:41Z,2026-05-22T21:39:41Z,9,Artista straordinario con un percorso difficile un abbraccio fortissimo❤,,0,lastampa,author_4581,0
UgzTAxSPMOw-gVvWtux4AaABAg,,czVnDDHDVng,False,author_622,2026-05-22T23:45:58Z,2026-05-22T23:45:58Z,0,Forza grande uomo! Sei un'esempio. Sempre con te!,,0,lastampa,author_622,0
Ugz_O6WqQikB7OKJJHR4AaABAg,,czVnDDHDVng,False,author_4582,2026-05-23T05:41:14Z,2026-05-23T05:41:14Z,2,E allora?,,0,lastampa,author_4582,0
Ugz_O6WqQikB7OKJJHR4AaABAg.AX8NMz9FcCLAX8_4m5XCyY,Ugz_O6WqQikB7OKJJHR4AaABAg,czVnDDHDVng,True,author_4583,2026-05-23T07:32:20Z,2026-05-23T07:32:20Z,1,...e santo il cielo....tra chi non sa cosa fare chi non sa cosa scrivere....l acqua che scorre sotto ai ponti assume come detto il suo significato ....😂😂😂,Ugz_O6WqQikB7OKJJHR4AaABAg,1,lastampa,author_4583,1
UgxUKexulZAf2N9G1kh4AaABAg,,czVnDDHDVng,False,author_4584,2026-05-23T07:43:14Z,2026-05-23T07:43:14Z,24,Buona  e lunga vita a te e al tuo dolce amico a 4 zampe Siete straordinari,,0,lastampa,author_4584,0
UgzuNz571lgjepU9Q6h4AaABAg,,czVnDDHDVng,False,author_4585,2026-05-23T08:26:18Z,2026-05-23T08:26:18Z,0,"Che purga 'sta malattia di Allevi. Ce l'ho anch'io, ci convivo benissimo e non mi lagno per compatire la gente e vendere qualche CD in più! Il gattino, ma vai va!",,0,lastampa,author_4585,1
UgzCXPvZc02tMH-MO714AaABAg,,czVnDDHDVng,False,author_4586,2026-05-23T10:41:49Z,2026-05-23T10:41:49Z,2,Dolcissimo Giovanni! Continua a suonare per chi ti ama affettuosamente! Grazie!  Sicilia   Miriana   23 maggio 2026,,0,lastampa,author_4586,0
Ugz9U1JDtRp5FuRprOx4AaABAg,,czVnDDHDVng,False,author_4587,2026-05-23T10:47:22Z,2026-05-23T10:47:22Z,2,"Forza Giovani non mollare,ti vogliamo bene tutti",,0,lastampa,author_4587,0
UgwzH7yXx4t5PJ2nYa14AaABAg,,czVnDDHDVng,False,author_4588,2026-05-23T10:56:20Z,2026-05-23T10:56:20Z,0,Grande 💪🏼💪🏼💪🏼❤❤❤❤,,0,lastampa,author_4588,0
Ugy7to5ks0aBDF1YO5d4AaABAg,,czVnDDHDVng,False,author_4589,2026-05-23T11:05:18Z,2026-05-23T11:05:18Z,1,"Per il tuo gattino, evita le crochette, buona fortuna Maestro🙏",,0,lastampa,author_4589,0
UgwTpyaJM8ig6xxmaOJ4AaABAg,,czVnDDHDVng,False,author_4590,2026-05-23T11:28:12Z,2026-05-23T11:28:12Z,0,Grande artista ❤❤❤❤❤,,0,lastampa,author_4590,0
