comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgxwwBdhKiIGw5ILaGZ4AaABAg,,dXVH1T_3XGA,False,author_4400,2026-05-26T08:08:42Z,2026-05-26T08:08:42Z,2,Complimenti,,0,lastampa,author_4400,1,0,gold
UgwI-rN0gGuAz3fRc-B4AaABAg,,dXVH1T_3XGA,False,author_647,2026-05-26T09:16:08Z,2026-05-26T09:16:08Z,2,Non vi era bastato quello di prima ?,,0,lastampa,author_647,1,0,gold
UgzuNy8X5miRzAKsHCx4AaABAg,,dXVH1T_3XGA,False,author_4401,2026-05-26T09:56:29Z,2026-05-26T09:56:29Z,2,Quanta fuffa 😢😅😂,,0,lastampa,author_4401,1,0,gold
UgyOY8M5hhJrN87loTV4AaABAg,,dXVH1T_3XGA,False,author_1825,2026-05-26T11:09:08Z,2026-05-26T11:09:08Z,0,E il Bangla PD. ☪️...?,,0,lastampa,author_1825,1,1,gold
UgzJllHK_T_zeIv2lmx4AaABAg,,dXVH1T_3XGA,False,author_1825,2026-05-26T11:09:27Z,2026-05-26T11:09:27Z,0,E il Bangla PD. ☪️...?,,0,lastampa,author_1825,1,1,gold
Ugz3uuRpLox6yzDL9F94AaABAg,,dXVH1T_3XGA,False,author_1818,2026-05-26T11:38:24Z,2026-05-26T11:38:24Z,2,"Congratulazioni, vedo gia la rinascita di Venezia e Mestre",,0,lastampa,author_1818,1,0,gold
UgyXqEeV8fiH0TyHuPd4AaABAg,,dXVH1T_3XGA,False,author_1358,2026-05-26T13:31:32Z,2026-05-26T13:31:32Z,1,L'opposizione ancora ci crede 😂😂😂😂😂. Chi campa di speranza di speranza muore. Finalmente in Italia c'è il vento di destra ❤per la presidente meloni e il nuovo candidato AUGURI CAROLA,,0,lastampa,author_1358,1,0,gold
UgwI-rN0gGuAz3fRc-B4AaABAg.AXGULeUm8QBAXIkjgKCg66,UgwI-rN0gGuAz3fRc-B4AaABAg,dXVH1T_3XGA,True,author_4402,2026-05-27T06:26:35Z,2026-05-27T06:26:35Z,0,Per te dovevano votare i bengalini ?,UgwI-rN0gGuAz3fRc-B4AaABAg,1,lastampa,author_4402,1,1,gold
Ugz3Vsd2_3WaCnj10_l4AaABAg,,dXVH1T_3XGA,False,author_4403,2026-05-27T09:13:56Z,2026-05-27T09:13:56Z,1,State mesto male in Veneto .. masochisti !! non sono di destra centro né di sinistra sono apolitico ma non riconoscere i disastri del governo attuale e masochisti... Non vorrei che c’è qualche giochetto laccetto la qualunque che qualcuno dipinge le schede perché non posso pensare che ci siano tutti sti masochisti ancora in questo paese un governo che ha fatto disastri da quando si è insediato e questo lo votano ancora ma che cosa c’avete nel cervello l’acqua salata?,,0,lastampa,author_4403,1,1,gold
UgwGA9drjEBT9fw_U7x4AaABAg,,dXVH1T_3XGA,False,author_788,2026-05-27T13:41:10Z,2026-05-27T13:41:10Z,0,Amico di quello di prima😊😊😊,,0,lastampa,author_788,1,0,gold
UgzuNy8X5miRzAKsHCx4AaABAg.AXGYy7qLn-mAXJkmK5XBfP,UgzuNy8X5miRzAKsHCx4AaABAg,dXVH1T_3XGA,True,author_1830,2026-05-27T15:46:11Z,2026-05-27T15:46:11Z,0,Pigliati il maalox😂,UgzuNy8X5miRzAKsHCx4AaABAg,1,lastampa,author_1830,1,1,gold
UgyroMnAQoW-JzaBeyB4AaABAg,,dXVH1T_3XGA,False,author_2600,2026-05-27T15:54:43Z,2026-05-27T15:54:43Z,0,Speriamo che i sinistri abbiano fatto una bella scorta di maalox,,0,lastampa,author_2600,1,1,gold
Ugzky7K3RlJo95WPUBJ4AaABAg,,dXVH1T_3XGA,False,author_1819,2026-05-28T10:02:27Z,2026-05-28T10:02:27Z,0,Giovane SINDACO BUON LAVORO.. un abbraccio dalla VALTELLINA.. w il CENTRO D' ESTRA,,0,lastampa,author_1819,1,0,gold
UgxUWnbothOyBgTFzPp4AaABAg,,dXVH1T_3XGA,False,author_4404,2026-05-28T10:59:42Z,2026-05-28T10:59:42Z,0,Rimandate il letame in Africa,,0,lastampa,author_4404,1,1,gold
