comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgxqQ8OU7MYKTQhY3Xd4AaABAg,,miSx-D39osw,False,author_3111,2026-05-25T11:11:08Z,2026-05-25T11:11:08Z,0,"Remigrazione, è terrorismo. Dove sono i destroiti a sobillare le piazze...... Non si può sono italiani 😵😵😵😵😵😵😵😵😵😵",,0,lastampa,author_3111,1,1,gold
UgxvsgStFc3j4a-eTfx4AaABAg,,miSx-D39osw,False,author_4425,2026-05-25T13:40:31Z,2026-05-25T13:40:31Z,1,Le tifoserei sono un dramma sociale da anni fomentato e organizzato da violenti o da fascisti e per questo governo il problema sicurezza sociale erano Ascatasuna o il leon cavallo???,,0,lastampa,author_4425,1,0,gold
Ugxax6uLozloPDNnIcR4AaABAg,,miSx-D39osw,False,author_4426,2026-05-25T14:08:52Z,2026-05-25T14:09:29Z,1,"È bellissima questa continua citazione del Medioevo come periodo orribile, quando è stato uno dei momenti più alti della civiltà umana. I figli di Voltaire, molto numerosi a Torino, non si smentiscono mai.",,0,lastampa,author_4426,1,0,gold
UgzoBOrn6EpaVNwcyj14AaABAg,,miSx-D39osw,False,author_2427,2026-05-25T14:56:04Z,2026-05-25T14:56:04Z,2,I capi ultras che danno ordini ai giocatori.....dove siamo arrivati ? E quei furboni che si fanno arrestare per una partita di pallone......,,0,lastampa,author_2427,1,1,gold
Ugy8qIYMTn3K1nWm_v14AaABAg,,miSx-D39osw,False,author_4427,2026-05-25T15:22:50Z,2026-05-25T15:22:50Z,5,Quando è successo in Roma Lazio scommetto non hai scritto niente in quel giornale,,0,lastampa,author_4427,1,0,gold
Ugw6bT_Gyx_cm_w4JDB4AaABAg,,miSx-D39osw,False,author_4428,2026-05-25T15:35:24Z,2026-05-25T15:35:24Z,1,I TIFOSI GESTISCONO MEGLIO LORO LE GARE DI CHIUNQUE CORROTTO SOCIETARIO . I TIFOSI SONO IL CUORE IL DNA DI UNA SQUADRA,,0,lastampa,author_4428,1,1,gold
UgypskMNoR0hiHGbHFF4AaABAg,,miSx-D39osw,False,author_4429,2026-05-25T16:35:20Z,2026-05-25T16:35:20Z,0,Ma cosa dite... mettete il calcio avanti alla vita di una persona colpita da un lacrimogenonsparatobad altezza uomo... Ma stare scherzando?!? Ultras stile di vita e rispetto. RESPECT,,0,lastampa,author_4429,1,0,gold
Ugy2t6JCoXT-Kbg8V494AaABAg,,miSx-D39osw,False,author_4430,2026-05-25T16:54:32Z,2026-05-25T16:54:32Z,0,"Provocano gli scontri, entrano allo stadio, pretendono di fare saltare l'incontro.... Disturbati che vanno daspati a vita, la domenica la devono passare a pulire i giardini pubblici dalle siringhe",,0,lastampa,author_4430,1,1,gold
UgypskMNoR0hiHGbHFF4AaABAg.AXEgobCt0FsAXEkn_rnaly,UgypskMNoR0hiHGbHFF4AaABAg,miSx-D39osw,True,author_4430,2026-05-25T17:10:09Z,2026-05-25T17:10:09Z,0,"Respect a chi? A chi provoca scontri e pretende di fare saltare un match con 30.000 paganti? Mio nipote era nel corteo juventino, a visto la testa del corteo iniziare gli scontri appena hanno incrociato il corteo del Toro, non sono andati li per tifare, dovevano tirare dritti ed entrare nel settore ospiti, invece hanno deciso di andare a fare casino, motivo che ha scatenato la reazione delle forze dell'ordine e degli ultras del Toro. Il ragazzo ferito, non so se era coinvolto, o ha beccato un colpo fortuito, mi duole dirlo, ma rischiare la salute per un derby è follia. I responsabili sono dei fanatici che hanno provocato scontri, mettendo a rischio tutte le persone, anche quelle andate allo stadio per vedere la partita. Mi spiace per il giovane a cui auguriamo una rapida guarigione, ma non rispetto chi ha provocato questo. allo stato attuale, il tifoso juventino è stato colpito dalle forze dell'ordine che cercavano di fermare degli ultras juventini che stavano facendo danni. Aggiungo, dopo che hai fatto casino e hai fatto ricoverare un tuo compagno di tifo e diversi agenti, il grande capo ultras entra allo stadio e pretende di non fare giocare la partita....creano casino, costano soldi pubblici (i danni li paghiamo noi contribuenti), fanno feriti, creano disordine e gli dovremmo Rispetto?",UgypskMNoR0hiHGbHFF4AaABAg,1,lastampa,author_4430,1,0,gold
UgypskMNoR0hiHGbHFF4AaABAg.AXEgobCt0FsAXEnxlkzoZf,UgypskMNoR0hiHGbHFF4AaABAg,miSx-D39osw,True,author_4425,2026-05-25T17:37:46Z,2026-05-25T17:37:46Z,1,"Rispetto per degli idioti ,manovrati da corrotti fascisti e pagati da dirigenti.alla domenica andate a fare servizio negli ospizi,nelle case di cura,di questo avrei rispetto",UgypskMNoR0hiHGbHFF4AaABAg,1,lastampa,author_4425,1,1,gold
