comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
Ugy4__QSk4zvdb_XCnd4AaABAg,,nkY13PRpl4w,False,author_4517,2026-05-24T17:37:07Z,2026-05-24T17:37:07Z,6,"Si sono picchiati da soli.,",,0,lastampa,author_4517,2,0,gold
UgwPCUmAr9sIPWhmT-d4AaABAg,,nkY13PRpl4w,False,author_482,2026-05-24T17:47:03Z,2026-05-24T17:47:03Z,6,Si sono auto torturati 🤣🤣🤣,,0,lastampa,author_482,2,0,gold
UgxlZl7fad-mU2RFLB94AaABAg,,nkY13PRpl4w,False,author_1442,2026-05-24T17:57:06Z,2026-05-24T17:57:06Z,0,Dovevano restare a casa,,0,lastampa,author_1442,2,0,gold
UgyerIfffovAyJ1s8cl4AaABAg,,nkY13PRpl4w,False,author_4092,2026-05-24T18:16:04Z,2026-05-24T18:16:04Z,0,Bugiardi 😡,,0,lastampa,author_4092,2,0,gold
Ugzpantb16UmQK3Vxy94AaABAg,,nkY13PRpl4w,False,author_4518,2026-05-24T18:38:59Z,2026-05-24T18:38:59Z,2,Che dementi magari fosse vero,,0,lastampa,author_4518,2,1,gold
UgwTeMTaJixO6u0ohH14AaABAg,,nkY13PRpl4w,False,author_3335,2026-05-24T19:12:31Z,2026-05-24T19:12:31Z,2,Si sono torturati da soli !!!!😡😡😡,,0,lastampa,author_3335,2,0,gold
UgxlZl7fad-mU2RFLB94AaABAg.AXCGNYVt7oWAXCPscjh1wI,UgxlZl7fad-mU2RFLB94AaABAg,nkY13PRpl4w,True,author_110,2026-05-24T19:20:07Z,2026-05-24T19:20:07Z,1,"Sì, quelli delle IDF e Ben Gvir",UgxlZl7fad-mU2RFLB94AaABAg,1,lastampa,author_110,2,0,gold
Ugy4__QSk4zvdb_XCnd4AaABAg.AXCE59THX7mAXCRL-yJUO0,Ugy4__QSk4zvdb_XCnd4AaABAg,nkY13PRpl4w,True,author_4398,2026-05-24T19:32:52Z,2026-05-24T19:32:52Z,2,👍🏻🤦♀️😬,Ugy4__QSk4zvdb_XCnd4AaABAg,1,lastampa,author_4398,2,0,gold
UgwmrH_WNKCwxpNWE694AaABAg,,nkY13PRpl4w,False,author_4519,2026-05-24T20:14:00Z,2026-05-24T20:14:00Z,0,Si sono truccati benissimo perfetti erano in scena,,0,lastampa,author_4519,2,0,gold
UgzLDNpJDB1xcFB9X454AaABAg,,nkY13PRpl4w,False,author_4520,2026-05-24T22:04:42Z,2026-05-24T22:04:42Z,0,Certo che in quanto a fantasia sono i.n. 1.,,0,lastampa,author_4520,2,0,gold
UgxkXtEp5eaCd4oBq2B4AaABAg,,nkY13PRpl4w,False,author_41,2026-05-25T02:40:12Z,2026-05-25T02:40:12Z,0,A morte Israele!,,0,lastampa,author_41,2,1,gold
UgyAvjw0OMWhszWqIX54AaABAg,,nkY13PRpl4w,False,author_41,2026-05-25T02:41:30Z,2026-05-25T02:41:30Z,0,"Bugiardi fino all'ultimo, speriamo che qualcuno polverizzi Israele, il cristo vi maledica...",,0,lastampa,author_41,2,1,gold
UgwPFZmNJ9hmggs4FZF4AaABAg,,nkY13PRpl4w,False,author_2595,2026-05-25T11:15:32Z,2026-05-25T11:15:32Z,0,Annola peste o la sifilide,,0,lastampa,author_2595,2,1,gold
UgztMP0yfHO8dllUms14AaABAg,,nkY13PRpl4w,False,author_3411,2026-05-25T16:13:48Z,2026-05-25T16:13:48Z,0,Assomigliano dei wurstel attaccati alla pelle andate a lavorare coglioni,,0,lastampa,author_3411,2,1,gold
