comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgzFpK2gegQ0iNxEQ754AaABAg,,4cvfxPJACdc,False,author_30,2026-05-24T12:12:00Z,2026-05-24T12:12:41Z,9,È una battaglia persa in partenza. Troppi soldi in ballo ed interessi economici. Al massimo i data center porteranno nelle case acqua potabile ragionata.,,0,repubblica,author_30,1,0,gold
UgxQj3TeLH2YXjz8zct4AaABAg,,4cvfxPJACdc,False,author_2613,2026-05-24T12:28:33Z,2026-05-24T12:28:33Z,19,"Ma ragazzi miei, oggi al mondo liberale e capitalista non interessa nulla della salute e dell'ambiente. Per uno svariato numero di motivi. Oggi ci stiamo avvelenando per mangiare e produrre troppo. Mangiano gli stessi e i soliti non hanno nulla. Produciamo tonnellate di cibo che ci danneggia per poi buttarne in buona parte. E questa agricoltura e industria non è sostenibile sotto ogni punto di vista, se non per il conto corrente di industriali e multinazionali",,0,repubblica,author_2613,1,0,gold
Ugy0mc1ZvQAWmaX5IO14AaABAg,,4cvfxPJACdc,False,author_471,2026-05-24T12:32:13Z,2026-05-24T12:32:13Z,1,"😂I sono più preoccupata dei laboratori biologici😜 Tulsi Gabbart si è dovuta dimettere 😜 occheccaso, 😎",,0,repubblica,author_471,1,0,gold
Ugz1vtIP-NHv6NoEhsx4AaABAg,,4cvfxPJACdc,False,author_144,2026-05-24T12:41:07Z,2026-05-24T12:41:07Z,0,Questa è da rinchiudere i sieme alla pazza africana...,,0,repubblica,author_144,1,1,gold
UgxCekfMCHHr0ruxSnd4AaABAg,,4cvfxPJACdc,False,author_533,2026-05-24T12:48:21Z,2026-05-24T12:48:21Z,4,"A proposito di qualità dell'acqua, il governo Meloni ha provveduto ai controlli? O l'Unione Europea dovrà fare un'altra procedura d'infrazione perché abbiamo acqua potabile inquinata ?",,0,repubblica,author_533,1,0,gold
UgxQj3TeLH2YXjz8zct4AaABAg.AXBfm9304uVAXBiaJLRDd1,UgxQj3TeLH2YXjz8zct4AaABAg,4cvfxPJACdc,True,author_104,2026-05-24T12:53:09Z,2026-05-24T12:53:09Z,3,Per fortuna c' è ancora gente come Ocasio Cortez...che fa il politico davvero... alcuni non si rendono davvero conto di cosa sia l' acqua potabile...,UgxQj3TeLH2YXjz8zct4AaABAg,1,repubblica,author_104,1,0,gold
UgxQj3TeLH2YXjz8zct4AaABAg.AXBfm9304uVAXBiiDq-emR,UgxQj3TeLH2YXjz8zct4AaABAg,4cvfxPJACdc,True,author_104,2026-05-24T12:54:13Z,2026-05-24T12:54:13Z,0,"Tutti motivi sbagliati, mio caro",UgxQj3TeLH2YXjz8zct4AaABAg,1,repubblica,author_104,1,0,gold
UgxCekfMCHHr0ruxSnd4AaABAg.AXBi2D37QHuAXBj-AN9P3i,UgxCekfMCHHr0ruxSnd4AaABAg,4cvfxPJACdc,True,author_1127,2026-05-24T12:56:41Z,2026-05-24T12:56:41Z,0,E ti pareva😂,UgxCekfMCHHr0ruxSnd4AaABAg,1,repubblica,author_1127,1,0,gold
Ugz3hoZ-7C5TN8ZuhWd4AaABAg,,4cvfxPJACdc,False,author_1898,2026-05-24T13:25:05Z,2026-05-24T13:25:05Z,2,Metà? Quella che obbediva a BIDEN e Fbi in tempo di Covid?,,0,repubblica,author_1898,1,1,gold
Ugwwwc8UpLiXWSAbHgN4AaABAg,,4cvfxPJACdc,False,author_86,2026-05-24T14:00:19Z,2026-05-24T14:00:19Z,0,Ciaoo🎉🎉,,0,repubblica,author_86,1,0,gold
UgwpuK1FDPOrKIPs6n94AaABAg,,4cvfxPJACdc,False,author_2614,2026-05-24T15:39:43Z,2026-05-24T15:39:43Z,0,Who is Navalny?,,0,repubblica,author_2614,1,0,gold
Ugyje5yQdsBsqF9GAjN4AaABAg,,4cvfxPJACdc,False,author_81,2026-05-24T16:06:20Z,2026-05-24T16:22:49Z,6,"I dem🇺🇸 dovrebbero ricordarsi delle falde acquifere inquinate del lago Michigan durante la presidenza Obamanana, e delle sue parole a Flint: Disse: ""Se usate un filtro, l'acqua a questo punto è potabile"".",,0,repubblica,author_81,1,0,gold
