comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxWyVVuCDyjxv-7QQR4AaABAg,,5WalAkDiaU8,False,author_22,2026-05-27T15:17:26Z,2026-05-27T15:17:26Z,0,LGBT- sporcaccioni 😮😮😮,,0,repubblica,author_22,1
Ugwpl_lpgXJkBkADvkl4AaABAg,,5WalAkDiaU8,False,author_23,2026-05-27T15:29:29Z,2026-05-27T15:29:29Z,10,Strano non c'è una delegazione palestinese?,,0,repubblica,author_23,0
Ugz1xxnSnm1o__aFX4h4AaABAg,,5WalAkDiaU8,False,author_24,2026-05-27T15:31:42Z,2026-05-27T15:31:42Z,0,"Ma I musulmani approvano Lgbtq io sapevo she l'odiavano forse sono rimasto arretrato, qualcuno mi può spiegare 😮😮😮😮",,0,repubblica,author_24,1
Ugw5ClcbZP9xw7haAPx4AaABAg,,5WalAkDiaU8,False,author_25,2026-05-27T15:36:10Z,2026-05-27T15:36:10Z,0,i valori europei sodomiti da vomitare !!!!,,0,repubblica,author_25,1
UgzH3cftTiAP1FRfxqF4AaABAg,,5WalAkDiaU8,False,author_26,2026-05-27T15:46:59Z,2026-05-27T15:46:59Z,0,Israele andrebbe ISOLATO TOTALMENTE,,0,repubblica,author_26,1
UgwROCv34eSO7ul2Ltd4AaABAg,,5WalAkDiaU8,False,author_27,2026-05-27T15:52:20Z,2026-05-27T15:52:20Z,1,Quelli di HAMAS tanto Tolleranti verso i Generi ci saranno??🖕,,0,repubblica,author_27,1
Ugw4F18Smi10vkQK7eR4AaABAg,,5WalAkDiaU8,False,author_28,2026-05-27T15:56:29Z,2026-05-27T15:56:29Z,1,"I sionisti genocidi, FUORI DALLE PALLE!",,0,repubblica,author_28,1
Ugwpl_lpgXJkBkADvkl4AaABAg.AXJis23OToVAXJm-dz8lM0,Ugwpl_lpgXJkBkADvkl4AaABAg,5WalAkDiaU8,True,author_29,2026-05-27T15:56:53Z,2026-05-27T15:56:53Z,0,Fanno bene a sterminarli quindi?,Ugwpl_lpgXJkBkADvkl4AaABAg,1,repubblica,author_29,1
Ugzi8-HM2gUG7-8-x-B4AaABAg,,5WalAkDiaU8,False,author_30,2026-05-27T15:57:38Z,2026-05-27T15:57:38Z,0,"Anche i gay sono razzisti?  Secondo voi durante i Fascismo in Italia erano tutti fascisti e in Germania erano tutti nazisti? Ma, se vi piace, continuate a prenderlo nel culo.😂😂😂",,0,repubblica,author_30,1
Ugye9oWuHVGlHrmUKiR4AaABAg,,5WalAkDiaU8,False,author_31,2026-05-27T16:18:13Z,2026-05-27T16:18:13Z,1,Peccato che se questi vanno a Gaza li lapidano in piazza,,0,repubblica,author_31,1
UgwS2twF-kTB1zPgrGt4AaABAg,,5WalAkDiaU8,False,author_32,2026-05-27T16:18:51Z,2026-05-27T16:18:51Z,0,I palestinesi IMPALANO I GAY😂😂😂😂,,0,repubblica,author_32,1
UgzSqRD9lEiVh5LB91Z4AaABAg,,5WalAkDiaU8,False,author_33,2026-05-27T16:43:20Z,2026-05-27T16:43:20Z,2,... Come si chiama?... Kesheet...?....😊,,0,repubblica,author_33,0
UgxA8I55b_16-VyRyzF4AaABAg,,5WalAkDiaU8,False,author_34,2026-05-27T17:18:47Z,2026-05-27T17:18:47Z,0,"Vergogna questa gente che accusano tutti ma, proprio tutti di antisemitismo, vogliono annientare il pensiero altrui.              Io non  sono antisemita,mai stato ma, non mi piacciono i criminali sanguinari.",,0,repubblica,author_34,1
UgwgIgAXjULMYWUBn294AaABAg,,5WalAkDiaU8,False,author_35,2026-05-27T17:41:36Z,2026-05-27T17:41:36Z,0,❤,,0,repubblica,author_35,0
Ugwpl_lpgXJkBkADvkl4AaABAg.AXJis23OToVAXJyiBZmOrq,Ugwpl_lpgXJkBkADvkl4AaABAg,5WalAkDiaU8,True,author_36,2026-05-27T17:47:57Z,2026-05-27T17:47:57Z,1,"Ma credo che author_7589  intendesse sottolineare come Hamas non sia particolarmente  sensibile ( eufemismo  😟) all: accettazione - ma neppure al gradino inferiore, la tolleranza - delle diversità in ambito sessuale",Ugwpl_lpgXJkBkADvkl4AaABAg,1,repubblica,author_36,1
UgxA5xgkO-QowcTbvpR4AaABAg,,5WalAkDiaU8,False,author_37,2026-05-27T19:07:32Z,2026-05-27T19:07:32Z,0,"dopo il nazista di sinistra mi mancava il nazista alla finocchiona. ah, il progresso",,0,repubblica,author_37,1
UgyaEJ7ynsnJrBJOO2l4AaABAg,,5WalAkDiaU8,False,author_38,2026-05-27T19:13:05Z,2026-05-27T19:13:05Z,0,Andate a prenderlo nel culo pederasti di merda che vergogna far fare queste manifestazioni 😢😢😢,,0,repubblica,author_38,1
