comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyprWqCouco5nr6JuN4AaABAg,,5bBoOi8pUVs,False,author_1332,2026-05-26T13:31:38Z,2026-05-26T13:31:38Z,1,E poi dicono che il cambiamento climatico causato dall' uomo non esiste. Tutti i dati scientifici lo dimostrano.,,0,repubblica,author_1332,0
UgyprWqCouco5nr6JuN4AaABAg.AXGwa0nIjXXAXGxGS5Aug5,UgyprWqCouco5nr6JuN4AaABAg,5bBoOi8pUVs,True,author_1333,2026-05-26T13:37:34Z,2026-05-26T13:37:34Z,0,Non puoi ragionare in base alla scienza con chi la nega,UgyprWqCouco5nr6JuN4AaABAg,1,repubblica,author_1333,0
Ugz1uPGrcmU754ywwzN4AaABAg,,5bBoOi8pUVs,False,author_1334,2026-05-26T13:39:36Z,2026-05-26T13:39:36Z,2,Io odio il caldo 🔥 ho dei problemi e sto peggio ☹️,,0,repubblica,author_1334,0
Ugw8oHHVumGj4jaMa2h4AaABAg,,5bBoOi8pUVs,False,author_758,2026-05-26T13:45:19Z,2026-05-26T13:45:19Z,0,Ma andate a cagare,,0,repubblica,author_758,1
UgwlCOYdboiFRQBUqxh4AaABAg,,5bBoOi8pUVs,False,author_1335,2026-05-26T13:46:52Z,2026-05-26T13:46:52Z,3,Solo leggere le notizie e il modo di darle fa salire la temperatura...andate a 💩💩,,0,repubblica,author_1335,1
UgxZ8xQML0uzgFmtrWx4AaABAg,,5bBoOi8pUVs,False,author_1330,2026-05-26T13:55:59Z,2026-05-26T13:55:59Z,5,acqua dispersa per minchiate e Gioco... specialmente nei condomini,,0,repubblica,author_1330,1
Ugy4HZnrmV2I_ia1Gx14AaABAg,,5bBoOi8pUVs,False,author_1336,2026-05-26T14:18:10Z,2026-05-26T14:18:10Z,0,l'importante è che ci sia un'emergenza in corso,,0,repubblica,author_1336,1
UgyprWqCouco5nr6JuN4AaABAg.AXGwa0nIjXXAXH1Tad4jCn,UgyprWqCouco5nr6JuN4AaABAg.AXGwa0nIjXXAXGxGS5Aug5,5bBoOi8pUVs,True,author_1332,2026-05-26T14:23:03Z,2026-05-26T14:24:27Z,0,"​in effetti sembra un dilemma irrisolvibile.
Il problema pero è quella misera percentuale di scienziati prezzolati a cui si appellano i negazionisti per strumentalizzare la scienza. Ricorda le aziende del tabacco di 30 anni fa.​author_1333",UgyprWqCouco5nr6JuN4AaABAg.AXGwa0nIjXXAXGxGS5Aug5,2,repubblica,author_1332,1
UgzfMCw4FDkpge_eTGd4AaABAg,,5bBoOi8pUVs,False,author_839,2026-05-26T14:38:16Z,2026-05-26T14:38:16Z,0,Altra emergenza? 😂😂 Ma va cagare,,0,repubblica,author_839,1
UgyVikyyv5EQ_FBPN8J4AaABAg,,5bBoOi8pUVs,False,author_116,2026-05-26T14:49:43Z,2026-05-26T14:49:43Z,12,"Fa ridere che prendono sempre foto e video di gente spensierata a spasso sotto il sole.
Ma quelli che sono costretti a lavorare in queste condizioni quasi mai.
Inquadrate quelli che lavorano all'aperto nei cantieri, sulle strade, nei campi...",,0,repubblica,author_116,0
UgyUblog3eFwOLZNvap4AaABAg,,5bBoOi8pUVs,False,author_1337,2026-05-26T14:51:31Z,2026-05-26T14:51:31Z,0,"io odio repubblica divulgatore di falsità, io la sera metto la felpa",,0,repubblica,author_1337,0
UgxfI2Jh5mBGI1BpzzF4AaABAg,,5bBoOi8pUVs,False,author_1337,2026-05-26T14:58:25Z,2026-05-26T14:58:25Z,0,post per mettervi le pale eoliche su per il culo,,0,repubblica,author_1337,1
UgyprWqCouco5nr6JuN4AaABAg.AXGwa0nIjXXAXHE4h9lSGU,UgyprWqCouco5nr6JuN4AaABAg,5bBoOi8pUVs,True,author_1338,2026-05-26T16:13:15Z,2026-05-26T16:13:15Z,0,stai trollando vero?,UgyprWqCouco5nr6JuN4AaABAg,1,repubblica,author_1338,1
UgxG8ru9gFaHT4F2d8V4AaABAg,,5bBoOi8pUVs,False,author_1338,2026-05-26T16:14:09Z,2026-05-26T16:14:09Z,6,La signora beve col tappo attaccato al naso e ringrazia l'Europa per le sue invenzioni meravigliose,,0,repubblica,author_1338,1
UgyVikyyv5EQ_FBPN8J4AaABAg.AXH4WtC7On1AXHJajUU1kS,UgyVikyyv5EQ_FBPN8J4AaABAg,5bBoOi8pUVs,True,author_188,2026-05-26T17:01:27Z,2026-05-26T17:01:27Z,1,"Lo sai che c'è già una legge che vieta di lavorare sopra una certa temperatura?
Oppure vuoi solo fare polemica?
Secondo me la seconda che ho detto",UgyVikyyv5EQ_FBPN8J4AaABAg,1,repubblica,author_188,1
