comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwMnuJlCzbtU0pJXql4AaABAg,,6lzrl1rgJ2k,False,author_442,2026-05-27T07:15:23Z,2026-05-27T07:16:04Z,1,"Comunque sia, un bel coraggio prenderli così a mani nude, mi auguro non s iano velenosi, io non me ne intendo 😱😱😱😱",,0,repubblica,author_442,0
Ugw-3o3gQHi_D535JBV4AaABAg,,6lzrl1rgJ2k,False,author_116,2026-05-27T07:20:29Z,2026-05-27T07:20:29Z,0,"Ma vanno presi per la testa? 
Magari uno alla volta.
Mah...",,0,repubblica,author_116,0
UgxQe91XHuuf6VnZKSh4AaABAg,,6lzrl1rgJ2k,False,author_83,2026-05-27T07:20:56Z,2026-05-27T07:20:56Z,0,"Repubblica sempre, ma sempre, sulle notizie utili",,0,repubblica,author_83,0
UgwzMJXwqc8t495GXk94AaABAg,,6lzrl1rgJ2k,False,author_443,2026-05-27T07:26:38Z,2026-05-27T07:26:38Z,1,🎉🎊🥳🎉🎊🎉🥳🎉🎊🥳🎉🎊🥳🎉🎊 speriamo nel veleno !,,0,repubblica,author_443,1
UgxaQp6W-_worgR1W154AaABAg,,6lzrl1rgJ2k,False,author_366,2026-05-27T07:36:04Z,2026-05-27T07:36:04Z,24,Ma un americano intelligente é mai esistito?,,0,repubblica,author_366,1
UgxaQp6W-_worgR1W154AaABAg.AXIsg_e-GpOAXIupAuQgJO,UgxaQp6W-_worgR1W154AaABAg,6lzrl1rgJ2k,True,author_444,2026-05-27T07:54:43Z,2026-05-27T07:54:43Z,3,Qualcuno c'è. Peccato che ai posti di comando mettano gli idioti,UgxaQp6W-_worgR1W154AaABAg,1,repubblica,author_444,1
UgwzMJXwqc8t495GXk94AaABAg.AXIrbWc7nVBAXIvBWvWGab,UgwzMJXwqc8t495GXk94AaABAg,6lzrl1rgJ2k,True,author_444,2026-05-27T07:57:54Z,2026-05-27T07:57:54Z,0,Purtroppo quei serpenti mordono e basta. Non sono velenosi,UgwzMJXwqc8t495GXk94AaABAg,1,repubblica,author_444,0
UgxaQp6W-_worgR1W154AaABAg.AXIsg_e-GpOAXIwXJvAovT,UgxaQp6W-_worgR1W154AaABAg,6lzrl1rgJ2k,True,author_52,2026-05-27T08:09:37Z,2026-05-27T08:09:37Z,1,Solo nei film😂😂😂😂. Infatti sono storie inventate,UgxaQp6W-_worgR1W154AaABAg,1,repubblica,author_52,1
UgwzMJXwqc8t495GXk94AaABAg.AXIrbWc7nVBAXIyPLneDWS,UgwzMJXwqc8t495GXk94AaABAg,6lzrl1rgJ2k,True,author_119,2026-05-27T08:26:00Z,2026-05-27T08:26:00Z,0,"Sono bisce d'acqua, sono schifose, mordono, ma non hanno veleno.",UgwzMJXwqc8t495GXk94AaABAg,1,repubblica,author_119,0
UgwD6tyUwyyniNaZ5U14AaABAg,,6lzrl1rgJ2k,False,author_119,2026-05-27T08:27:10Z,2026-05-27T08:27:10Z,7,Pare che i rettili siano subito andati a farsi l'antidoto 😂,,0,repubblica,author_119,1
UgyRFVtdLBSQiSs6XXZ4AaABAg,,6lzrl1rgJ2k,False,author_213,2026-05-27T08:39:45Z,2026-05-27T08:39:45Z,27,Di tutti i Kennedy e rimasto in vita quello più stordito non sarà un caso..,,0,repubblica,author_213,1
UgxeX_a-dFD7O-d1r-J4AaABAg,,6lzrl1rgJ2k,False,author_92,2026-05-27T08:56:40Z,2026-05-27T08:56:40Z,1,Minkia notiziona,,0,repubblica,author_92,1
UgynxCfeXY4zqsqYpPx4AaABAg,,6lzrl1rgJ2k,False,author_445,2026-05-27T08:58:31Z,2026-05-27T08:58:31Z,0,Invece di fare gli eroi ....MEGLIO CHIAMARE I PROFESSSIONISTI.....NON EMULATE MAI QUESTI VIDEO.SOFIA DA VERONA,,0,repubblica,author_445,0
UgwD6tyUwyyniNaZ5U14AaABAg.AXIyXq4UzM1AXJCpfErqks,UgwD6tyUwyyniNaZ5U14AaABAg,6lzrl1rgJ2k,True,author_446,2026-05-27T10:40:48Z,2026-05-27T10:40:48Z,0,😂,UgwD6tyUwyyniNaZ5U14AaABAg,1,repubblica,author_446,0
UgwzMJXwqc8t495GXk94AaABAg.AXIrbWc7nVBAXJEx8daim4,UgwzMJXwqc8t495GXk94AaABAg,6lzrl1rgJ2k,True,author_447,2026-05-27T10:59:18Z,2026-05-27T10:59:18Z,0,​author_7560 schifose?,UgwzMJXwqc8t495GXk94AaABAg.AXIrbWc7nVBAXIyPLneDWS,2,repubblica,author_447,0
UgyRFVtdLBSQiSs6XXZ4AaABAg.AXIzyyb-DbOAXJK9U_AmWu,UgyRFVtdLBSQiSs6XXZ4AaABAg,6lzrl1rgJ2k,True,author_448,2026-05-27T11:44:49Z,2026-05-27T11:44:49Z,2,HAHAHAHAHA peró almeno non fa BIDEN di cognome,UgyRFVtdLBSQiSs6XXZ4AaABAg,1,repubblica,author_448,1
Ugw7SkFC9oh9PXxXIiN4AaABAg,,6lzrl1rgJ2k,False,author_449,2026-05-27T12:08:34Z,2026-05-27T12:08:34Z,0,E’ la prima volta che simpatizzo per i rettili,,0,repubblica,author_449,1
Ugxv7sm8aeiPo5N5WsR4AaABAg,,6lzrl1rgJ2k,False,author_450,2026-05-27T12:20:03Z,2026-05-27T12:20:03Z,5,Ma perché? Quei poveri serpentelli ...,,0,repubblica,author_450,0
Ugy2d8AtzpdSNNeuRXl4AaABAg,,6lzrl1rgJ2k,False,author_451,2026-05-27T12:55:23Z,2026-05-27T12:55:23Z,4,Tanto il veleno non esiste.. è un' invenzione!!,,0,repubblica,author_451,1
Ugye4XQA6SjcSmexwiN4AaABAg,,6lzrl1rgJ2k,False,author_452,2026-05-27T13:01:07Z,2026-05-27T13:01:07Z,1,E questi guidano l'occidente.... Ci rendiamo conto!,,0,repubblica,author_452,1
UgwQgSvC5qxC456D8xV4AaABAg,,6lzrl1rgJ2k,False,author_453,2026-05-27T13:05:02Z,2026-05-27T13:06:01Z,0,"CASO POLITICO…..BBBADRIARGADOOO MACHISMOOO LGBTQRSTUVZ PLUS EBUKKINIIII……!!!
SONO BISCE E NON SERPENTI…… E SE HANNO LE PUPILLE TONDE E NON A SPILLO (fessura) SONO INNOCUE….!!! S PA RA TE VI COMUNISTIIIII",,0,repubblica,author_453,1
