comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgyoC9c1-ZaX--5GWP14AaABAg,,7FfdwuricJk,False,author_30,2026-05-25T10:31:40Z,2026-05-25T10:33:36Z,0,Quando sono i regimi di sinistra che reprimono non interessa a nessuno. Anche a Cuba.,,0,repubblica,author_30,2,0,gold
UgxnnseSDRneipLx-ad4AaABAg,,7FfdwuricJk,False,author_874,2026-05-25T10:41:54Z,2026-05-25T10:41:54Z,5,"Ecco,li si che il sistema carcerario è allo sbando.",,0,repubblica,author_874,2,0,gold
UgyAFx1plJNt0uENnSB4AaABAg,,7FfdwuricJk,False,author_1314,2026-05-25T10:42:29Z,2026-05-25T10:42:29Z,0,Basterebbe alimentare le fiamme con la benzina....,,0,repubblica,author_1314,2,1,gold
Ugy9Xh3xVRfWkertRux4AaABAg,,7FfdwuricJk,False,author_2044,2026-05-25T10:43:12Z,2026-05-25T10:43:35Z,4,Hanno ragione va bene pagare lo sbaglio ma ...nn sono bestie ...😮,,0,repubblica,author_2044,2,0,gold
Ugy9PrYIju49RDYkO2h4AaABAg,,7FfdwuricJk,False,author_555,2026-05-25T10:43:55Z,2026-05-25T10:43:55Z,1,Mandate la flottiglia,,0,repubblica,author_555,2,1,gold
Ugy8DGO_NQoAFg2i28N4AaABAg,,7FfdwuricJk,False,author_427,2026-05-25T10:54:17Z,2026-05-25T10:54:17Z,2,Ottimo lavoro 😂 troppo poco ! Non devono più tornare 😂,,0,repubblica,author_427,2,1,gold
Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXE4rhJpkXm,Ugy9Xh3xVRfWkertRux4AaABAg,7FfdwuricJk,True,author_661,2026-05-25T10:54:59Z,2026-05-25T10:54:59Z,2,Dipende ma' sono in galera perciò stanno espiando non servono le torture,Ugy9Xh3xVRfWkertRux4AaABAg,1,repubblica,author_661,2,0,gold
Ugwiu4gD0vmqDPxX1yt4AaABAg,,7FfdwuricJk,False,author_2045,2026-05-25T10:56:14Z,2026-05-25T10:56:14Z,1,Lasciateli la,,0,repubblica,author_2045,2,1,gold
Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXE5RTL-hyW,Ugy9Xh3xVRfWkertRux4AaABAg,7FfdwuricJk,True,author_2046,2026-05-25T11:00:00Z,2026-05-25T11:00:00Z,0,Certo prova a dirlo dopo che perdi per man loro figli padre fratelli o comunque parenti stretti sgozzati... dovete smetterla con questo buonismo del ca**o !!!,Ugy9Xh3xVRfWkertRux4AaABAg,1,repubblica,author_2046,2,1,gold
Ugyf5FOe9APzk4oXN_h4AaABAg,,7FfdwuricJk,False,author_32,2026-05-25T11:00:26Z,2026-05-25T11:00:26Z,2,Vai super flottilla parti😂😂😂😂😂😂😂,,0,repubblica,author_32,2,1,gold
UgzBvC0-58MpuzmOUpF4AaABAg,,7FfdwuricJk,False,author_366,2026-05-25T11:02:36Z,2026-05-25T11:02:36Z,3,ma non gli aveva portato la democrazia?,,0,repubblica,author_366,2,0,gold
UgzxfWt91Ue7tgxyOvJ4AaABAg,,7FfdwuricJk,False,author_1422,2026-05-25T11:18:53Z,2026-05-25T11:18:53Z,1,Mandate la flottilla,,0,repubblica,author_1422,2,1,gold
Ugxkk_XZZq_4c23w4854AaABAg,,7FfdwuricJk,False,author_2047,2026-05-25T11:26:14Z,2026-05-25T11:26:14Z,2,"E i tutti in questi anni, chi non è in galera ha portato la sua violenza in Perù e i peruviani vengono anche loro qui in Italia con la stessa violenza che però sono protetti.",,0,repubblica,author_2047,2,0,gold
Ugy1DNTpxTfZKNzAbhZ4AaABAg,,7FfdwuricJk,False,author_166,2026-05-25T11:27:06Z,2026-05-25T11:27:06Z,0,Trump pensaci tu porta scatoloni di Frontline Combo è pieno di zecche ....per dirlo la Salis ...lei c'è stata🎉🎉,,0,repubblica,author_166,2,1,gold
Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXE8_6oYOUY,Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXE4rhJpkXm,7FfdwuricJk,True,author_2044,2026-05-25T11:27:23Z,2026-05-25T11:27:23Z,1,@user,Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXE4rhJpkXm,2,repubblica,author_2044,2,0,gold
UgzxfWt91Ue7tgxyOvJ4AaABAg.AXE7anxRGP2AXEAVpl488G,UgzxfWt91Ue7tgxyOvJ4AaABAg,7FfdwuricJk,True,author_2048,2026-05-25T11:44:17Z,2026-05-25T11:44:17Z,1,A te mandiamo da un altra parte,UgzxfWt91Ue7tgxyOvJ4AaABAg,1,repubblica,author_2048,2,1,gold
UgzUnzOYPFOtbRXC-Jp4AaABAg,,7FfdwuricJk,False,author_2,2026-05-25T12:07:07Z,2026-05-25T12:07:07Z,2,Sono fortunati se fosse per me fosse comuni e problema risolto altro che farli protestare,,0,repubblica,author_2,2,1,gold
Ugy9Xh3xVRfWkertRux4AaABAg.AXE3WVP772RAXEFyoCyUX7,Ugy9Xh3xVRfWkertRux4AaABAg,7FfdwuricJk,True,author_158,2026-05-25T12:32:04Z,2026-05-25T12:32:04Z,0,Ecco la buonista ...dillo ai parenti delle vittime!!!!!!carcere duro!!!così espiano!!!!,Ugy9Xh3xVRfWkertRux4AaABAg,1,repubblica,author_158,2,0,gold
UgzUnzOYPFOtbRXC-Jp4AaABAg.AXED77xnxirAXEGuniNplv,UgzUnzOYPFOtbRXC-Jp4AaABAg,7FfdwuricJk,True,author_1392,2026-05-25T12:40:15Z,2026-05-25T12:40:15Z,1,Il carcere dev'essere punitivo ma riabilitativo: chi sbaglia e va in carcere non deve essere distrutto ma deve avere una scelta per cambiare dare dei consigli e vivere. Se poi non lo si vuole è diverso,UgzUnzOYPFOtbRXC-Jp4AaABAg,1,repubblica,author_1392,2,0,gold
Ugx57UsP6pKvO-aU02x4AaABAg,,7FfdwuricJk,False,author_1392,2026-05-25T12:41:46Z,2026-05-25T12:41:46Z,4,In carcere ci vanno tanti innocenti e chi non lo è non deve uscirne distrutto. Una possibilità deve averla,,0,repubblica,author_1392,2,0,gold
UgyGjI082o0mf77OxjZ4AaABAg,,7FfdwuricJk,False,author_1392,2026-05-25T12:45:49Z,2026-05-25T12:46:27Z,3,Un mio amico è finito in carcere perché una signora hs giurato fosse lui a comettere il reato. 10 anni dopo il colpevole giurò con prove che quel ragazzo non c'entrava niente. Ma ormai era distrutto psicologicamente con gente che gli urlava le parole più brutte. E questo ragazzo disse ora che sapete la verità ormai mi avete distrutto uniliato picchiato. Ecc.,,0,repubblica,author_1392,2,0,gold
Ugyf5FOe9APzk4oXN_h4AaABAg.AXE5UgyrCPPAXEHlxUx5Ku,Ugyf5FOe9APzk4oXN_h4AaABAg,7FfdwuricJk,True,author_1392,2026-05-25T12:47:47Z,2026-05-25T12:47:47Z,1,Ci stiamo organizzando da Genova. Grazie per lidea😂. Stai parlando con uno vero della flottiglia 😂😂❤,Ugyf5FOe9APzk4oXN_h4AaABAg,1,repubblica,author_1392,2,0,gold
UgzzzCRRPX6v0yfMd8t4AaABAg,,7FfdwuricJk,False,author_185,2026-05-25T12:48:55Z,2026-05-25T12:48:55Z,0,"Tutti in Italia , ottime risorse",,0,repubblica,author_185,2,1,gold
UgzRKuHCXG7K5EH1pPt4AaABAg,,7FfdwuricJk,False,author_696,2026-05-25T13:13:21Z,2026-05-25T13:13:21Z,0,Quanti commenti idioti. Popolo Italiano che vergogna..occhio la vita cambia in cinque minuti asini,,0,repubblica,author_696,2,1,gold
UgzyseNYxyLw5AzX4Wl4AaABAg,,7FfdwuricJk,False,author_2049,2026-05-25T13:23:22Z,2026-05-25T13:23:22Z,0,"Ora ne ammazzano un centinaio, tutto ritorna come prima. Con cento letti centro pasti in meno.",,0,repubblica,author_2049,2,1,gold
UgxOrBDK7KrlkawREmJ4AaABAg,,7FfdwuricJk,False,author_1480,2026-05-25T14:50:01Z,2026-05-25T14:50:01Z,0,"Siete molto fortunati,io vi avrei già liberato dalla vostra inutile vita!",,0,repubblica,author_1480,2,1,gold
Ugzm8F80rLj5SCGlY8R4AaABAg,,7FfdwuricJk,False,author_2050,2026-05-25T15:20:27Z,2026-05-25T15:20:27Z,0,Esitono vite davvero orribili sulla Terra.,,0,repubblica,author_2050,2,0,gold
UgxA0sCQUBhoTHxSqCl4AaABAg,,7FfdwuricJk,False,author_2051,2026-05-26T05:18:42Z,2026-05-26T05:18:42Z,0,Immagino che la maggior parte siano cittadini onesti,,0,repubblica,author_2051,2,0,gold
UgwDe-967-YZn1DvbGN4AaABAg,,7FfdwuricJk,False,author_20,2026-05-26T06:21:36Z,2026-05-26T06:21:36Z,0,Cuccioli,,0,repubblica,author_20,2,0,gold
