comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxYKsB0zi2zyh2CN9l4AaABAg,,7dDb5zzoDO4,False,author_202,2026-05-26T14:47:36Z,2026-05-26T14:47:36Z,2,Chissà quanti pesci drogati😂,,0,repubblica,author_202,1
UgyWxdwRcVb58-dmqX94AaABAg,,7dDb5zzoDO4,False,author_743,2026-05-26T15:02:36Z,2026-05-26T15:02:36Z,4,E i sette nani?😂,,0,repubblica,author_743,0
UgwAD7AOIiqKn18u-pZ4AaABAg,,7dDb5zzoDO4,False,author_744,2026-05-26T15:21:47Z,2026-05-26T15:21:47Z,4,Oh no e ora zelensky come fa ad arrivargli?😂😂,,0,repubblica,author_744,1
Ugwe4jpE2VNYYK3LYJ14AaABAg,,7dDb5zzoDO4,False,author_744,2026-05-26T15:22:03Z,2026-05-26T15:22:03Z,3,Ma cosa fate? Erano in consegna per Kiev😂😂😂,,0,repubblica,author_744,1
UgysVUmTp8KCwdpJH0d4AaABAg,,7dDb5zzoDO4,False,author_744,2026-05-26T15:22:30Z,2026-05-26T15:22:30Z,0,Sarebbe bello vedere Brigitte Macron in  bikini fare un tuffo😍 è cosi sexy,,0,repubblica,author_744,1
UgyWxdwRcVb58-dmqX94AaABAg.AXH6-GtSEgyAXH9GkcSJT3,UgyWxdwRcVb58-dmqX94AaABAg,7dDb5zzoDO4,True,author_745,2026-05-26T15:31:12Z,2026-05-26T15:31:12Z,3,Mi dispiace per pippolo😂,UgyWxdwRcVb58-dmqX94AaABAg,1,repubblica,author_745,0
UgxG_6OXCE_9Hnq38z94AaABAg,,7dDb5zzoDO4,False,author_746,2026-05-26T15:39:52Z,2026-05-26T15:39:52Z,0,Viva la coca,,0,repubblica,author_746,1
UgxB_j6sW5_2LVdeuOR4AaABAg,,7dDb5zzoDO4,False,author_176,2026-05-26T15:42:51Z,2026-05-26T15:42:51Z,0,Immagino ai ristoranti dopo un primo a base di pesce quanti sciamani 😂😂😂,,0,repubblica,author_176,1
UgyWxdwRcVb58-dmqX94AaABAg.AXH6-GtSEgyAXHCCZ1lrBP,UgyWxdwRcVb58-dmqX94AaABAg.AXH6-GtSEgyAXH9GkcSJT3,7dDb5zzoDO4,True,author_743,2026-05-26T15:56:51Z,2026-05-26T15:56:51Z,2,​author_745😅,UgyWxdwRcVb58-dmqX94AaABAg.AXH6-GtSEgyAXH9GkcSJT3,2,repubblica,author_743,0
UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXHMhH1VuQl,UgxYKsB0zi2zyh2CN9l4AaABAg,7dDb5zzoDO4,True,author_150,2026-05-26T17:28:34Z,2026-05-26T17:28:34Z,1,Sono abituati ormai con le flottiglie.,UgxYKsB0zi2zyh2CN9l4AaABAg,1,repubblica,author_150,0
UgxFn73twSNzvgLmH4B4AaABAg,,7dDb5zzoDO4,False,author_547,2026-05-27T01:39:12Z,2026-05-27T01:39:12Z,2,Bravissimi grazie,,0,repubblica,author_547,0
UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXIdvsyc2D_,UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXHMhH1VuQl,7dDb5zzoDO4,True,author_747,2026-05-27T05:27:05Z,2026-05-27T05:27:05Z,0,​author_7427 hai detto veramente?,UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXHMhH1VuQl,2,repubblica,author_747,0
UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXIkn8BqYWr,UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXIdvsyc2D_,7dDb5zzoDO4,True,author_150,2026-05-27T06:27:03Z,2026-05-27T06:27:03Z,0,author_747  Relata refero.,UgxYKsB0zi2zyh2CN9l4AaABAg.AXH4HQOOFnnAXIdvsyc2D_,3,repubblica,author_150,0
Ugwe4jpE2VNYYK3LYJ14AaABAg.AXH8DendlfhAXIpRw8fBjo,Ugwe4jpE2VNYYK3LYJ14AaABAg,7dDb5zzoDO4,True,author_645,2026-05-27T07:07:43Z,2026-05-27T07:07:43Z,0,Pirlota integrale erano importati dalla ndrangheta per clienti italianissimi pirlota... Voi  italiani siete spacciatori e cobdumatori,Ugwe4jpE2VNYYK3LYJ14AaABAg,1,repubblica,author_645,1
UgxPsO4jPcP-jBOraw54AaABAg,,7dDb5zzoDO4,False,author_574,2026-05-27T11:08:15Z,2026-05-27T11:08:15Z,1,Come farà Iacchetti adesso???,,0,repubblica,author_574,0
UgxkYV5YfdUD6VzmT3d4AaABAg,,7dDb5zzoDO4,False,author_748,2026-05-27T11:16:41Z,2026-05-27T11:16:41Z,0,Tecnologiá,,0,repubblica,author_748,0
