comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugyg_1LCGuw_f1zh4Qp4AaABAg,,9YQ5wTzrwXI,False,author_230,2026-05-27T10:26:09Z,2026-05-27T10:26:09Z,2,🫶🏻,,0,repubblica,author_230,0
UgwX_DyabRd44slM5p14AaABAg,,9YQ5wTzrwXI,False,author_231,2026-05-27T10:28:56Z,2026-05-27T10:28:56Z,4,Un altro che vuole uscire dall’anonimato?,,0,repubblica,author_231,1
UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJBYwMJvxN,UgwX_DyabRd44slM5p14AaABAg,9YQ5wTzrwXI,True,author_188,2026-05-27T10:29:39Z,2026-05-27T10:29:39Z,3,Tipo tu?,UgwX_DyabRd44slM5p14AaABAg,1,repubblica,author_188,1
UgwI8Sgy111pJ3Jmr5Z4AaABAg,,9YQ5wTzrwXI,False,author_27,2026-05-27T10:30:25Z,2026-05-27T10:30:25Z,1,I Bambini Ucraini invece Continueranno a Morire in Silenzio ❤,,0,repubblica,author_27,1
UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJC0EHtyh7,UgwX_DyabRd44slM5p14AaABAg,9YQ5wTzrwXI,True,author_232,2026-05-27T10:33:39Z,2026-05-27T10:33:39Z,2,Ma metti un pollice alzato e nn rompere le palle ..... sempre a mettere zizania per niente....,UgwX_DyabRd44slM5p14AaABAg,1,repubblica,author_232,1
Ugze9vhJ6lvKP2JrBNV4AaABAg,,9YQ5wTzrwXI,False,author_233,2026-05-27T10:34:00Z,2026-05-27T10:34:00Z,1,"HA    GIÀ     INOLTRATO     LA    RICHIESTA    X      ADOTTARE    UN    PROFUGO  ?????
DAJE,.......E    POCHE      CHIA.CCHERE",,0,repubblica,author_233,1
UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJC8Z6_JOl,UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJC0EHtyh7,9YQ5wTzrwXI,True,author_134,2026-05-27T10:34:47Z,2026-05-27T10:34:47Z,1,author_7310 dice quel cazzo che vuole …..,UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJC0EHtyh7,2,repubblica,author_134,1
UgyiBGx8iE_a9HLurtt4AaABAg,,9YQ5wTzrwXI,False,author_233,2026-05-27T10:34:56Z,2026-05-27T10:34:56Z,1,"TUTTO     IL    SUO    PATRIMONIO    LO   DEVOLVERA'     IN     BENEFICENZA    AI    PROFUGHI   ????????????
DAJE.,.......E    POCHE     CHIA.CCHERE",,0,repubblica,author_233,1
UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJCBJqtNu6,UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJBYwMJvxN,9YQ5wTzrwXI,True,author_134,2026-05-27T10:35:10Z,2026-05-27T10:35:10Z,0,author_7311 ?,UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJBYwMJvxN,2,repubblica,author_134,0
UgwX_DyabRd44slM5p14AaABAg.AXJBTga76AtAXJCO9bz3bP,UgwX_DyabRd44slM5p14AaABAg,9YQ5wTzrwXI,True,author_234,2026-05-27T10:36:55Z,2026-05-27T10:36:55Z,0,👏👏👏👏,UgwX_DyabRd44slM5p14AaABAg,1,repubblica,author_234,0
UgxLN5aOnrYUHwr3Lf14AaABAg,,9YQ5wTzrwXI,False,author_235,2026-05-27T10:38:00Z,2026-05-27T10:38:00Z,0,For the children of Narnia,,0,repubblica,author_235,0
Ugwna8-4bbJasXH4R594AaABAg,,9YQ5wTzrwXI,False,author_236,2026-05-27T10:40:25Z,2026-05-27T10:40:25Z,1,😂😂😂😂😂😂😂,,0,repubblica,author_236,0
UgyAQmKV97LKcrxcDsd4AaABAg,,9YQ5wTzrwXI,False,author_236,2026-05-27T10:40:36Z,2026-05-27T10:40:36Z,2,Siete fantastici😂😂😂😂😂,,0,repubblica,author_236,0
UgwCg3wRWrf6ej4e1ft4AaABAg,,9YQ5wTzrwXI,False,author_104,2026-05-27T11:06:09Z,2026-05-27T11:06:09Z,4,Grazie !!! Free Palestine !!!,,0,repubblica,author_104,1
UgyG9Az_XMJb6sdfEEh4AaABAg,,9YQ5wTzrwXI,False,author_216,2026-05-27T11:18:44Z,2026-05-27T11:18:44Z,2,"Ahahahahahahahahhaahhaahhahahaha

Oramai la Palestina è come una borsa sponsorizzata da qualche influencer. Tutti DEVONO dire la propria ahahahahahahahahaha",,0,repubblica,author_216,1
