comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwoDihv_vALhcBxKZl4AaABAg,,EWP6tRdO-SA,False,author_2234,2026-05-25T07:57:05Z,2026-05-25T07:57:05Z,6,Che palle!!!!,,0,repubblica,author_2234,0
UgyLjCPQkq234i5241J4AaABAg,,EWP6tRdO-SA,False,author_83,2026-05-25T07:57:58Z,2026-05-25T08:01:24Z,17,Pensa a la paura che ha la gente a camminare a Modena dove la la investono veramente,,0,repubblica,author_83,1
UgyLjCPQkq234i5241J4AaABAg.AXDlbDbPdOCAXDm8zvXHpj,UgyLjCPQkq234i5241J4AaABAg,EWP6tRdO-SA,True,author_1420,2026-05-25T08:02:43Z,2026-05-25T08:02:43Z,7,Quindi è giusto insultare una ragazza e tirargli oggetti?,UgyLjCPQkq234i5241J4AaABAg,1,repubblica,author_1420,1
UgzKZDaqEaochnx6Vjp4AaABAg,,EWP6tRdO-SA,False,author_166,2026-05-25T08:03:16Z,2026-05-25T08:03:16Z,5,Se avrebbero speso i soldi nei loro paesi invece di portarli qua non ci sarebbero stati questi problemi......l Europa governata da zecche ha portato a questo miliardi buttati e riempito una pentola che è esplosa,,0,repubblica,author_166,1
Ugzfo0avKk3fNBzuUWJ4AaABAg,,EWP6tRdO-SA,False,author_2235,2026-05-25T08:15:15Z,2026-05-25T08:15:37Z,1,"Vai a farti un giretto  a barriera di Milano e San salvario nella città di Torino “forse” la paura ti passa….!! 
O magari tra compaesani, finisce tutto a tarallucci, birra e crack.",,0,repubblica,author_2235,1
UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDo2l0d4i1,UgzKZDaqEaochnx6Vjp4AaABAg,EWP6tRdO-SA,True,author_2236,2026-05-25T08:19:20Z,2026-05-25T08:19:20Z,10,"* avessero
Chi vuole difendere la cultura italiana inizi dalle piccole cose, come la padronanza della lingua.",UgzKZDaqEaochnx6Vjp4AaABAg,1,repubblica,author_2236,1
UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDoFqqzGtW,UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDo2l0d4i1,EWP6tRdO-SA,True,author_166,2026-05-25T08:21:07Z,2026-05-25T08:21:07Z,0,​author_7327 che hai capito il contenuto....preferisco usare il cervello che scrivere bene e fare danni,UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDo2l0d4i1,2,repubblica,author_166,1
UgwoDihv_vALhcBxKZl4AaABAg.AXDlVk32OhiAXDoZYP7lvw,UgwoDihv_vALhcBxKZl4AaABAg,EWP6tRdO-SA,True,author_41,2026-05-25T08:23:49Z,2026-05-25T08:23:49Z,5,"Curati, o libera questo mondo al più presto!",UgwoDihv_vALhcBxKZl4AaABAg,1,repubblica,author_41,1
UgyLjCPQkq234i5241J4AaABAg.AXDlbDbPdOCAXDojV6YDNF,UgyLjCPQkq234i5241J4AaABAg,EWP6tRdO-SA,True,author_41,2026-05-25T08:25:18Z,2026-05-25T08:25:18Z,0,"Infatti, esattamente, hanno investito uno in bicicletta qualche giorno fa con un furgone, quando il buon senso non deriva più dall'umanità è giusto che le macchine ci rendano migliori...",UgyLjCPQkq234i5241J4AaABAg,1,repubblica,author_41,0
Ugyv_vgXrfQVd3_zRIJ4AaABAg,,EWP6tRdO-SA,False,author_332,2026-05-25T08:26:23Z,2026-05-25T08:26:23Z,0,Finalmente ci sei arrivata..,,0,repubblica,author_332,1
UgwoDihv_vALhcBxKZl4AaABAg.AXDlVk32OhiAXDp-q3G3Ie,UgwoDihv_vALhcBxKZl4AaABAg,EWP6tRdO-SA,True,author_332,2026-05-25T08:27:40Z,2026-05-25T08:27:40Z,0,​author_7328 tu assieme a sta parassita!,UgwoDihv_vALhcBxKZl4AaABAg.AXDlVk32OhiAXDoZYP7lvw,2,repubblica,author_332,1
UgxdQRjrt5rAUG9sOlh4AaABAg,,EWP6tRdO-SA,False,author_2237,2026-05-25T08:46:22Z,2026-05-25T08:46:22Z,0,"VAFANCULO.....SIETE TEOPPI.
SEMBRA DI SATRE IN AFRICA.
TORNACI😂😂😂😂",,0,repubblica,author_2237,1
UgwiEAAFwzaKzl7j7Vx4AaABAg,,EWP6tRdO-SA,False,author_215,2026-05-25T09:00:28Z,2026-05-25T09:00:28Z,8,"Ringraziamo le destre se il mondo si e' fatto razzista e xenofobo... 
Ringraziamo le destre se nel mondo non esiste piu' pace vera, ma solo tregue  su tregue alle continue  guerre.... Sperando poi di non finirci un giorno tutti dentro.",,0,repubblica,author_215,1
UgyLjCPQkq234i5241J4AaABAg.AXDlbDbPdOCAXDspaprLVV,UgyLjCPQkq234i5241J4AaABAg.AXDlbDbPdOCAXDm8zvXHpj,EWP6tRdO-SA,True,author_215,2026-05-25T09:01:06Z,2026-05-25T09:01:06Z,1,​author_7329 detto!,UgyLjCPQkq234i5241J4AaABAg.AXDlbDbPdOCAXDm8zvXHpj,2,repubblica,author_215,1
UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDuT2mp0wU,UgzKZDaqEaochnx6Vjp4AaABAg,EWP6tRdO-SA,True,author_1420,2026-05-25T09:15:21Z,2026-05-25T09:15:21Z,0,author_7330 quale contenuto! Impara l’italiano prima di parlare patriota dei miei coglio..,UgzKZDaqEaochnx6Vjp4AaABAg,1,repubblica,author_1420,1
UgwiEAAFwzaKzl7j7Vx4AaABAg.AXDsl-6DtPuAXDvIpY65XJ,UgwiEAAFwzaKzl7j7Vx4AaABAg,EWP6tRdO-SA,True,author_1333,2026-05-25T09:22:42Z,2026-05-25T09:22:42Z,3,"C'è mai stata ""pace vera""?",UgwiEAAFwzaKzl7j7Vx4AaABAg,1,repubblica,author_1333,0
UgwiEAAFwzaKzl7j7Vx4AaABAg.AXDsl-6DtPuAXDvqugmCWg,UgwiEAAFwzaKzl7j7Vx4AaABAg,EWP6tRdO-SA,True,author_2238,2026-05-25T09:27:29Z,2026-05-25T09:27:29Z,5,"Veramente devi ringraziare la sx che è antitaliana e soprattutto ha fatto entrate qualche milioncino di extracomunitari che costano agli italiani miliardi. Per quanto riguarda la tipa del post ho i miei dubbi m mi sembra una fake costruita ad arte da Repubblica. Infine, nel mondo l'e guerre sono state sempre figlie della sx (Obama, Biden e D'Alem docet) e soprattutto, dove governa la sx  c'è povertà, fame e corruzione",UgwiEAAFwzaKzl7j7Vx4AaABAg,1,repubblica,author_2238,1
UgwiEAAFwzaKzl7j7Vx4AaABAg.AXDsl-6DtPuAXDw46fcjW4,UgwiEAAFwzaKzl7j7Vx4AaABAg,EWP6tRdO-SA,True,author_269,2026-05-25T09:29:26Z,2026-05-25T09:29:26Z,1,"​author_7331 i dati degli ultimi 4 anni, invece di sparare stronzate, fenomeno",UgwiEAAFwzaKzl7j7Vx4AaABAg.AXDsl-6DtPuAXDvqugmCWg,2,repubblica,author_269,0
UgzKZDaqEaochnx6Vjp4AaABAg.AXDmD5dsncrAXDwFCLxElU,UgzKZDaqEaochnx6Vjp4AaABAg,EWP6tRdO-SA,True,author_269,2026-05-25T09:30:56Z,2026-05-25T09:30:56Z,0,"Avessimo usato i soldi per qualcosa di utile, invece di buttarli per mandarti a scuola inutilmente...",UgzKZDaqEaochnx6Vjp4AaABAg,1,repubblica,author_269,1
