comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgweKZrObZD2qCOurqZ4AaABAg,,FMAvWKlmncs,False,author_1339,2026-05-24T13:46:02Z,2026-05-24T13:46:02Z,2,"Quello che non avete dato, merdosi",,0,repubblica,author_1339,1
UgyP0qN9PrgqdP-ZtnV4AaABAg,,FMAvWKlmncs,False,author_145,2026-05-24T13:47:04Z,2026-05-24T13:47:04Z,0,Il pd è la merda di tutto.,,0,repubblica,author_145,1
UgwZRKlRRmVwYsqHD4Z4AaABAg,,FMAvWKlmncs,False,author_2547,2026-05-24T13:48:26Z,2026-05-24T13:48:26Z,8,Flotilla andate a lavorare .,,0,repubblica,author_2547,1
UgzClSEs_upc8TM7hy54AaABAg,,FMAvWKlmncs,False,author_2548,2026-05-24T13:49:56Z,2026-05-24T13:52:55Z,6,Io credo solo agli attivisti della Flotilla!!!👍❤🇵🇸,,0,repubblica,author_2548,0
UgwZRKlRRmVwYsqHD4Z4AaABAg.AXBovGDdbTeAXBpPnF2Soi,UgwZRKlRRmVwYsqHD4Z4AaABAg,FMAvWKlmncs,True,author_52,2026-05-24T13:52:44Z,2026-05-24T13:52:44Z,7,Eccolo l'idiota del momento 😂😂😂,UgwZRKlRRmVwYsqHD4Z4AaABAg,1,repubblica,author_52,1
UgxV9UujBEuyR525Y6N4AaABAg,,FMAvWKlmncs,False,author_2549,2026-05-24T13:54:49Z,2026-05-24T13:54:49Z,18,"Tanto tempo fa, pensavo che fosse un giornale serio.",,0,repubblica,author_2549,0
UgzOcpWWkpNxXtR3U9V4AaABAg,,FMAvWKlmncs,False,author_2550,2026-05-24T13:59:46Z,2026-05-24T13:59:46Z,3,Abusi? Cosa gli hanno fatto? Glielo hanno messo nel c  forse? No e allora.,,0,repubblica,author_2550,1
UgzOcpWWkpNxXtR3U9V4AaABAg.AXBqDFIrHHPAXBqIv_IvlY,UgzOcpWWkpNxXtR3U9V4AaABAg,FMAvWKlmncs,True,author_1496,2026-05-24T14:00:32Z,2026-05-24T14:00:32Z,0,"Ok nazi.
Continua a supportare i tuoi simili, i nazi sionisti e il genocidio.",UgzOcpWWkpNxXtR3U9V4AaABAg,1,repubblica,author_1496,1
UgwJkr6kTreqTKPH0rB4AaABAg,,FMAvWKlmncs,False,author_2551,2026-05-24T14:01:36Z,2026-05-24T14:01:36Z,0,Bello vedere sta gentaglia a pecorina e sapere che sono stati abusati mi compiace. Proni e chini davanti agli esseri umani che combattono contro le bestie islamiche. Grazie Israele 👏👏👏🇮🇹,,0,repubblica,author_2551,1
Ugxldz85NnM6bxIEa5p4AaABAg,,FMAvWKlmncs,False,author_1441,2026-05-24T14:01:39Z,2026-05-24T14:01:39Z,0,"Gli escrementi in barchetta complici di tagliagole stupratori di neonati Jihadisti assassini hanno finito la loro crociera terroristica in ginocchio coperti di vergogna 
Fin troppo tolleranti i soldati israeliani che magari dovevano metterli in cella per qualche tempo con i loro amichetti tagliagole pedofili a rotolarsi nel putridume della loro malvagità infinita 
Grazie Israele unica Luce contro la feccia demoniaca del pianeta e i tutti i loro complici escrementi disumani Islamic nazisti",,0,repubblica,author_1441,1
UgwFqIT_KMSZfZl2v5h4AaABAg,,FMAvWKlmncs,False,author_2550,2026-05-24T14:01:46Z,2026-05-24T14:01:46Z,0,"Bottiglia, più bugiardi di questi non ce ne sono.Sono come quelli che glieli hanno mandati.",,0,repubblica,author_2550,1
UgwIXhSVJNWQZBTwlPR4AaABAg,,FMAvWKlmncs,False,author_2552,2026-05-24T14:04:37Z,2026-05-24T14:04:37Z,2,"Strano che l'esercito israeliano neghi di essere responsabile, effettivamente non è usuale per L'IOF negare l'evidenza🙄 
Sono una vergogna per l'umanità",,0,repubblica,author_2552,1
