comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyzMkEojjBBw6zHHX14AaABAg,,H9-RF5MStLo,False,author_402,2026-05-27T08:07:42Z,2026-05-27T08:07:42Z,5,Tristissima storia.,,0,repubblica,author_402,0
UgzZePsbaXCQhWabmSd4AaABAg,,H9-RF5MStLo,False,author_247,2026-05-27T08:12:34Z,2026-05-27T08:12:34Z,5,R.I.P. 🙏😇♥️ condoglianze alla famiglia,,0,repubblica,author_247,0
Ugw5O_AmjE_WF6d4loR4AaABAg,,H9-RF5MStLo,False,author_403,2026-05-27T08:26:16Z,2026-05-27T08:26:16Z,10,"CI SAREBBE VOLUTO UN MEDICO, DI QUELLI CHE ASCOLTANO IL PAZIENTE SOFFERENTE.
MI DISPIACE, MA POSSO OFFRIRE SOLO LE CONDOGLIANZE.
RIPOSA IN PACE.",,0,repubblica,author_403,0
UgzZSdFEnQW3GCCMYR14AaABAg,,H9-RF5MStLo,False,author_404,2026-05-27T08:31:18Z,2026-05-27T08:31:18Z,3,Allucinante. Riposa in pace.,,0,repubblica,author_404,0
UgzptRkCrKWJXVUy-RV4AaABAg,,H9-RF5MStLo,False,author_41,2026-05-27T08:54:25Z,2026-05-27T08:54:25Z,0,"Cultura della morte, dove un gruppo di merde decide per vie traverse se puoi vivere o morire, ci metterei al patibolo, impiccagione o fucilazione, vedete voi...",,0,repubblica,author_41,1
UgzptRkCrKWJXVUy-RV4AaABAg.AXJ0eOZKM6uAXJ34zIjpqu,UgzptRkCrKWJXVUy-RV4AaABAg,H9-RF5MStLo,True,author_405,2026-05-27T09:15:39Z,2026-05-27T09:15:39Z,0,Imbecille!,UgzptRkCrKWJXVUy-RV4AaABAg,1,repubblica,author_405,1
UgxbuCYkxFpkJ3xeetR4AaABAg,,H9-RF5MStLo,False,author_406,2026-05-27T09:20:56Z,2026-05-27T09:20:56Z,1,"Incompetenza o menefreghismo?
Povera vita spezzata e ora  cosa succede?
Sono notizie aberranti.",,0,repubblica,author_406,0
UgxtPUAyEPTJ9xDOAiN4AaABAg,,H9-RF5MStLo,False,author_407,2026-05-27T09:29:46Z,2026-05-27T09:29:46Z,1,Ma come si fa!!!😢😢😢 ma che sanità di m....abbiamo??? Troppa gente rimandata a casa per influenza e il giorno dopo MUORE!!!!!😮😮😢😢😢,,0,repubblica,author_407,1
UgwJy6kBQnRP0KV_E_d4AaABAg,,H9-RF5MStLo,False,author_408,2026-05-27T09:30:10Z,2026-05-27T09:30:10Z,8,"In galera per molti anni i medici che lo hanno controllato. Sono pericoli pubblici, vadano ad impastare la calce quando escono dal carcere",,0,repubblica,author_408,1
UgwV9uQ3H7VkLh5Gt7t4AaABAg,,H9-RF5MStLo,False,author_409,2026-05-27T09:38:48Z,2026-05-27T09:38:48Z,0,😢😢😢😢😢🙏,,0,repubblica,author_409,0
