comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyYNSrSjxpx36GNzJl4AaABAg,,KMHLETntMKo,False,author_203,2026-05-25T13:37:54Z,2026-05-25T13:37:54Z,4,"Sinceramente, ignoravo TOTALMENTE queste elezioni! 😅🗳️🇮🇹",,0,repubblica,author_203,0
UgwGW_btn8-Nnef10LF4AaABAg,,KMHLETntMKo,False,author_166,2026-05-25T13:39:55Z,2026-05-25T13:39:55Z,19,Le zecche? Ormai Frontline Combo comincia a fare effetto,,0,repubblica,author_166,0
UgwGW_btn8-Nnef10LF4AaABAg.AXENjkeDQfzAXEP8O6zkeE,UgwGW_btn8-Nnef10LF4AaABAg,KMHLETntMKo,True,author_1073,2026-05-25T13:52:10Z,2026-05-25T13:52:10Z,0,troll demmerda,UgwGW_btn8-Nnef10LF4AaABAg,1,repubblica,author_1073,1
UgwGW_btn8-Nnef10LF4AaABAg.AXENjkeDQfzAXEPZYEpaGy,UgwGW_btn8-Nnef10LF4AaABAg,KMHLETntMKo,True,author_1970,2026-05-25T13:55:52Z,2026-05-25T13:55:52Z,0,Sui scarafaggi neri è micidiale,UgwGW_btn8-Nnef10LF4AaABAg,1,repubblica,author_1970,0
UgxkJj2agmfi710zQmF4AaABAg,,KMHLETntMKo,False,author_1971,2026-05-25T14:04:51Z,2026-05-25T14:04:51Z,0,"Ma gli elettori dx , non ne hanno avute abbastanza? Contenti voi... pure i PoveriDementi però...De Luca...ma x favore! 🤬",,0,repubblica,author_1971,1
UgyvEQ303o_OZoJP8VV4AaABAg,,KMHLETntMKo,False,author_1972,2026-05-25T14:13:10Z,2026-05-25T14:13:10Z,8,E Reggio Calabria… ed è avanti in quasi tutti i comuni…,,0,repubblica,author_1972,0
UgyYNSrSjxpx36GNzJl4AaABAg.AXENVyEeC8iAXERd-H2i_g,UgyYNSrSjxpx36GNzJl4AaABAg,KMHLETntMKo,True,author_1972,2026-05-25T14:13:57Z,2026-05-25T14:13:57Z,4,"Disse sapendo di perdere.. 😂 dai su, tieniti il ricordo del referendum",UgyYNSrSjxpx36GNzJl4AaABAg,1,repubblica,author_1972,1
UgwYHvjbQGGFQCb8SsV4AaABAg,,KMHLETntMKo,False,author_1973,2026-05-25T14:15:29Z,2026-05-25T14:15:29Z,4,👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,,0,repubblica,author_1973,0
UgwGW_btn8-Nnef10LF4AaABAg.AXENjkeDQfzAXERzmLodJT,UgwGW_btn8-Nnef10LF4AaABAg,KMHLETntMKo,True,author_1972,2026-05-25T14:17:03Z,2026-05-25T14:17:03Z,1,😂,UgwGW_btn8-Nnef10LF4AaABAg,1,repubblica,author_1972,0
UgzAxvoXoLJPb66sSbR4AaABAg,,KMHLETntMKo,False,author_1974,2026-05-25T14:18:21Z,2026-05-25T14:18:21Z,12,"Lo spero vivamente, lo dico da ex comunista ai tempi di Enrico berlinguer lo votavo, ora non riconosco più questa sinistra e per quello che non voto 3",,0,repubblica,author_1974,0
UgySqcFGhX1dNrClXNB4AaABAg,,KMHLETntMKo,False,author_1975,2026-05-25T14:30:21Z,2026-05-25T14:30:21Z,5,"de Luca era soprannominato LO SCERIFFO DEL SUD,  ritorna a Salerno dopo anni trascorsi come PRESIDENTE della Regione Campania,  che  sinceramente non è andato tanto bene, specialmente nella sanità,  un disastro,  mentre Salerno lo aspettava a braccia aperte,  perché come Sindaco fece  e farà tanto per Salerno,  la città negli ultimi anni era caduta in una sorta di terra di nessuno . de Luca adesso la deve riportare come l'aveva lasciata, un gioiellino.",,0,repubblica,author_1975,0
UgzZJ94qa-fTASzzK1p4AaABAg,,KMHLETntMKo,False,author_1976,2026-05-25T14:31:15Z,2026-05-25T14:31:15Z,22,"...se finisce così contentissimo per Venezia, la soddisfazione di non vedere l'islam avanzare anche in italia... PD si vergognasse di aver venduto l'italia x voti....",,0,repubblica,author_1976,1
Ugw26aP3OfAub3ue6-p4AaABAg,,KMHLETntMKo,False,author_1975,2026-05-25T14:42:41Z,2026-05-25T14:42:41Z,13,"fino a questo momento il CDX a Venezia è avanti,  il PD se la sogna Venezia,  visto la campagna elettorale che ha fatto che vogliono costruire moschee in terra ferma e in laguna, erano così convinti di prendere anche voti da extracomunitari con cittadinanza italiana promettendo come sopra menzionato   però  non avevano fatto i conti con i veneziani doc, a Mestre dopo le 20 di sera c'è il coprifuoco,  prostituzione e spaccio droga a ogni angolo,  per non parlare di scippi e rapine. martella  era convinto di vincere,  ma ha sbagliato la campagna elettorale, la città è una monnezza e lui voleva riempirla di più,  addirittura c'erano anche extracomunitari per consiglieri comunali.",,0,repubblica,author_1975,1
UgySqcFGhX1dNrClXNB4AaABAg.AXETWARXsmsAXEXK-lL3JI,UgySqcFGhX1dNrClXNB4AaABAg,KMHLETntMKo,True,author_166,2026-05-25T15:03:39Z,2026-05-25T15:03:39Z,0,Certo sono mafiosi....sono voti di comodo,UgySqcFGhX1dNrClXNB4AaABAg,1,repubblica,author_166,1
UgzZJ94qa-fTASzzK1p4AaABAg.AXETbmkaEXEAXEYA6a1Fev,UgzZJ94qa-fTASzzK1p4AaABAg,KMHLETntMKo,True,author_1977,2026-05-25T15:11:02Z,2026-05-25T15:15:03Z,0,ma la finite? pure a destra hanno gli stranieri nei partiti. che palle sta xenofobia.,UgzZJ94qa-fTASzzK1p4AaABAg,1,repubblica,author_1977,1
