comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgxF6Ht6IIZJ742PsLR4AaABAg,,MHcD77-9TpY,False,author_86,2026-05-26T15:17:05Z,2026-05-26T15:17:05Z,0,Ma ciao🎉🎉,,0,repubblica,author_86,2,0,gold
UgyKiaDUOKoc8ti1s154AaABAg,,MHcD77-9TpY,False,author_474,2026-05-26T15:26:11Z,2026-05-26T15:26:11Z,0,A me pare si stiano divertendo ne sparare di puttanate,,0,repubblica,author_474,2,1,gold
Ugyuo0imOfOA6il98Yp4AaABAg,,MHcD77-9TpY,False,author_726,2026-05-26T15:36:05Z,2026-05-26T15:36:05Z,0,Domani tutti in ospedale con la salmonella,,0,repubblica,author_726,2,0,gold
UgwKrl1CibPOVyp53ex4AaABAg,,MHcD77-9TpY,False,author_727,2026-05-26T15:41:27Z,2026-05-26T15:41:27Z,1,Domani tutti in terapia intensiva 😂😂😂😂,,0,repubblica,author_727,2,0,gold
Ugyb5PPWoGWkO6JCHeJ4AaABAg,,MHcD77-9TpY,False,author_728,2026-05-26T15:44:45Z,2026-05-26T15:44:45Z,0,Che schifo eh,,0,repubblica,author_728,2,0,gold
UgwBLJlUX5hM8Y7kFHp4AaABAg,,MHcD77-9TpY,False,author_729,2026-05-26T15:54:01Z,2026-05-26T15:54:01Z,8,Quanti poi al pronto soccorso con la dissenteria e infezioni varie?,,0,repubblica,author_729,2,0,gold
UgyuTFJwwxuS7XOXDud4AaABAg,,MHcD77-9TpY,False,author_730,2026-05-26T16:19:50Z,2026-05-26T16:19:50Z,5,Con tutti i topi che ci sono sai che bellezza 😂😂😂,,0,repubblica,author_730,2,0,gold
UgxX74Y3arYZw2b7wDJ4AaABAg,,MHcD77-9TpY,False,author_731,2026-05-26T16:22:57Z,2026-05-26T16:22:57Z,0,Ormai vale tutto,,0,repubblica,author_731,2,0,gold
UgzQMqRKUI_3IXTpO0N4AaABAg,,MHcD77-9TpY,False,author_732,2026-05-26T16:26:31Z,2026-05-26T16:26:31Z,0,“Le persone”...quattro deficienti 😂,,0,repubblica,author_732,2,1,gold
UgxBM9FYHo4vcUL8JUh4AaABAg,,MHcD77-9TpY,False,author_733,2026-05-26T16:26:33Z,2026-05-26T16:26:33Z,11,Anche in Italia superano i 30 gradi... Ma nessuno si lancia nello schifo😂,,0,repubblica,author_733,2,1,gold
UgwXfhGLPv_8LGn4hwF4AaABAg,,MHcD77-9TpY,False,author_684,2026-05-26T16:28:13Z,2026-05-26T16:28:13Z,1,Finalmente si lavano un pochino,,0,repubblica,author_684,2,1,gold
UgyuTFJwwxuS7XOXDud4AaABAg.AXHEps_nXxNAXHG_L7LRob,UgyuTFJwwxuS7XOXDud4AaABAg,MHcD77-9TpY,True,author_734,2026-05-26T16:35:03Z,2026-05-26T16:35:03Z,0,Topi 🐁 e lo schifo che ci sarà sotto quando l’hanno svuotato anni fa hanno trovato immondizia su immondizia. Se va bene diarrea per tutti!,UgyuTFJwwxuS7XOXDud4AaABAg,1,repubblica,author_734,2,0,gold
Ugw9lpV5vruysL_kyoh4AaABAg,,MHcD77-9TpY,False,author_41,2026-05-26T16:50:59Z,2026-05-26T16:50:59Z,0,Evvai con la malaria...🤣🤤😏,,0,repubblica,author_41,2,0,gold
UgwwawkdlqKRE-2_4NB4AaABAg,,MHcD77-9TpY,False,author_735,2026-05-26T16:51:42Z,2026-05-26T16:51:42Z,0,Coraggiosi...per l acqua,,0,repubblica,author_735,2,0,gold
UgwSwP3VYVfTmVJTbnN4AaABAg,,MHcD77-9TpY,False,author_736,2026-05-26T17:03:38Z,2026-05-26T17:03:38Z,1,So proprio zuzzi non ce sta niente da fa,,0,repubblica,author_736,2,1,gold
UgxjhjnE4WPrV4_PPmJ4AaABAg,,MHcD77-9TpY,False,author_737,2026-05-26T17:15:07Z,2026-05-26T17:15:07Z,2,In Sicilia con 30° ci mettiamo cappotto e sciarpa,,0,repubblica,author_737,2,0,gold
UgxBM9FYHo4vcUL8JUh4AaABAg.AXHFb7nv6oDAXHNXtNQkQ2,UgxBM9FYHo4vcUL8JUh4AaABAg,MHcD77-9TpY,True,author_738,2026-05-26T17:35:53Z,2026-05-26T17:35:53Z,0,"Infatti, da noi ci si butta dentro alle fontane di Roma.",UgxBM9FYHo4vcUL8JUh4AaABAg,1,repubblica,author_738,2,0,gold
UgyRb_VSAuSLGQxz0KV4AaABAg,,MHcD77-9TpY,False,author_5,2026-05-26T17:42:30Z,2026-05-26T17:42:30Z,2,"A per trovare refrigerio bisogna rischiare la peste????? Ma che cazzata,la repubblica non si smentisce mai!!!!!!",,0,repubblica,author_5,2,1,gold
Ugxn4uLB3wkIBcab--V4AaABAg,,MHcD77-9TpY,False,author_216,2026-05-26T18:12:30Z,2026-05-26T18:12:30Z,0,Mmm,,0,repubblica,author_216,2,0,gold
UgyBHlWbyAWSVV7fCTl4AaABAg,,MHcD77-9TpY,False,author_739,2026-05-26T18:25:03Z,2026-05-26T18:25:03Z,0,pulito,,0,repubblica,author_739,2,0,gold
UgxtasLRyWs6LNX8X0B4AaABAg,,MHcD77-9TpY,False,author_45,2026-05-26T19:19:23Z,2026-05-26T19:19:23Z,0,Ma in Francia le piscine pubbliche non esistono?,,0,repubblica,author_45,2,0,gold
UgzA3YySotzPxq-ksmh4AaABAg,,MHcD77-9TpY,False,author_740,2026-05-26T19:54:38Z,2026-05-26T19:54:38Z,0,E troveranno ratatuille,,0,repubblica,author_740,2,0,gold
UgwR38Syrk8vT_TT0ix4AaABAg,,MHcD77-9TpY,False,author_741,2026-05-27T09:01:24Z,2026-05-27T09:01:24Z,0,Che paese di vecchi rimbambiti impauriti .. che commenti ...aiuto W i giovani e la loro incoscienza ...che e' vita !!,,0,repubblica,author_741,2,1,gold
UgxaCEMHJn2MBK4yvNt4AaABAg,,MHcD77-9TpY,False,author_445,2026-05-27T09:07:50Z,2026-05-27T09:07:50Z,0,"Bellissimo.....in quelle acque putride..""bravissimi"".....👏👏👏👏👏👏SOFIA DA VERONA",,0,repubblica,author_445,2,0,gold
Ugxqs25bijZ52hbav_F4AaABAg,,MHcD77-9TpY,False,author_742,2026-05-27T09:17:30Z,2026-05-27T09:17:30Z,0,Che zozzoni sti francesi! 🤦🏻♀️,,0,repubblica,author_742,2,1,gold
