comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugz2lkFHOrk6eHFZRWh4AaABAg,,S9Vlz5hEEXQ,False,author_2286,2026-05-24T18:21:01Z,2026-05-24T18:21:01Z,39,Spettacolo orrendi per una partita di calcio vergognatevi,,0,repubblica,author_2286,1
UgzlQDP5hyiDIhF4D4t4AaABAg,,S9Vlz5hEEXQ,False,author_71,2026-05-24T18:27:57Z,2026-05-24T18:27:57Z,4,Bravi ........peggio dovete fare..i problemi dell italia🎉🎉🎉,,0,repubblica,author_71,1
UgwMxFUD_m02yNNFAFR4AaABAg,,S9Vlz5hEEXQ,False,author_40,2026-05-24T18:35:12Z,2026-05-24T18:35:12Z,29,Tutto organizzato ad arte...bravi continuate ad affossare il calcio italiano...bravi,,0,repubblica,author_40,0
UgxI6KzIPYsF4cFA8Yd4AaABAg,,S9Vlz5hEEXQ,False,author_186,2026-05-24T18:40:32Z,2026-05-24T18:40:32Z,1,Non vedo nessuno scontro!!!! 😂 titolo clickbait da segnalare !!!!,,0,repubblica,author_186,0
UgzB1MQxTuCgCLgS0dR4AaABAg,,S9Vlz5hEEXQ,False,author_2287,2026-05-24T18:51:40Z,2026-05-24T18:51:40Z,0,"Quali scontri giornalai di merda?
Date notizie vere",,0,repubblica,author_2287,1
UgzFkX57f827MjiMZfh4AaABAg,,S9Vlz5hEEXQ,False,author_1860,2026-05-24T18:58:36Z,2026-05-24T18:58:36Z,1,All italiano aumenta le tasse  tartassali se onesto scopagli la moglie ….. ma il calcio no il calcio no 😂😂😂  Fantozzi 20 anni di umiliazioni a vedere film di merda ma il giorno che il mega direttore fece coincidere le visioni con la partita della nazionale fantocci si ribella quanto aveva ragione Villaggio un popolo di merdacce,,0,repubblica,author_1860,1
UgzB1MQxTuCgCLgS0dR4AaABAg.AXCMcFZRCd9AXCNffBCbWV,UgzB1MQxTuCgCLgS0dR4AaABAg,S9Vlz5hEEXQ,True,author_316,2026-05-24T19:00:53Z,2026-05-24T19:00:53Z,4,Ci sono stati degli scontri e si parla dei feriti in ospedale ed la partita e stata annullato quindi informati prima di scrivere,UgzB1MQxTuCgCLgS0dR4AaABAg,1,repubblica,author_316,0
UgxoKcJ4ToFIjni46jx4AaABAg,,S9Vlz5hEEXQ,False,author_2288,2026-05-24T19:02:03Z,2026-05-24T19:02:03Z,51,"Mi fate pietà, poveri falliti",,0,repubblica,author_2288,1
UgxZiq7bLpZUjDS1V-x4AaABAg,,S9Vlz5hEEXQ,False,author_2289,2026-05-24T19:02:04Z,2026-05-24T19:02:04Z,1,"Mongoli.. della stessa città, stessa terra, condividete gli stessi marciapiedi, panchine, locali, servizi... E vi scannate..per cosa poi?😅😅",,0,repubblica,author_2289,1
UgxI6KzIPYsF4cFA8Yd4AaABAg.AXCLLbE2ym1AXCNrobPOLL,UgxI6KzIPYsF4cFA8Yd4AaABAg,S9Vlz5hEEXQ,True,author_316,2026-05-24T19:02:32Z,2026-05-24T19:02:32Z,6,Mettiti gli occhiali,UgxI6KzIPYsF4cFA8Yd4AaABAg,1,repubblica,author_316,1
UgxhXWGLXUdYRYhGZEd4AaABAg,,S9Vlz5hEEXQ,False,author_2290,2026-05-24T19:05:46Z,2026-05-24T19:05:46Z,0,Mettetevi assieme e fate caccia all'uomo ai musulmani per la città,,0,repubblica,author_2290,1
