comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxBs9iCjUE5iCbkGn94AaABAg,,SeUdgKxusvA,False,author_1416,2026-05-26T11:13:37Z,2026-05-26T11:13:37Z,17,Su social giravano video degli attivisti della flotilla che ballavano e cantavano sulle imbarcazioni e si prendevano i caffè...ma dove pensavano di andare? In villeggiatura in Sardegna?,,0,repubblica,author_1416,1
UgzYLyR1ZYWf1p88Gp94AaABAg,,SeUdgKxusvA,False,author_1417,2026-05-26T11:18:02Z,2026-05-26T11:18:02Z,16,Hanno fatto bene,,0,repubblica,author_1417,1
UgxzSZrvTXKwp195mhV4AaABAg,,SeUdgKxusvA,False,author_27,2026-05-26T11:19:40Z,2026-05-26T11:19:40Z,0,Perché non provate ad Andare nel Mar Nero e vediamo cosa vi fanno i russi,,0,repubblica,author_27,1
UgzBG82Om9WV4yV3Y894AaABAg,,SeUdgKxusvA,False,author_134,2026-05-26T11:23:51Z,2026-05-26T11:23:51Z,12,"Poveriniiiii , cosa possiamo fare per lenire il vostro dolore ???  😂😂😂",,0,repubblica,author_134,1
UgwgJGj3VHdZm0oYtQd4AaABAg,,SeUdgKxusvA,False,author_1418,2026-05-26T11:26:44Z,2026-05-26T11:26:44Z,5,Hanno fatto poco,,0,repubblica,author_1418,0
UgyjHxqZVt2UpSUl-Vl4AaABAg,,SeUdgKxusvA,False,author_1419,2026-05-26T11:26:49Z,2026-05-26T11:26:49Z,7,Hanno fatto bene e troppo poco se è vero  quello che dici .io vi avrei affondato,,0,repubblica,author_1419,1
UgzBG82Om9WV4yV3Y894AaABAg.AXGhy3GAS0BAXGiTbnVccv,UgzBG82Om9WV4yV3Y894AaABAg,SeUdgKxusvA,True,author_1420,2026-05-26T11:28:18Z,2026-05-26T11:28:18Z,0,Pensa un po che uomo che sei. Vorrei proprio vedere la tua faccia.,UgzBG82Om9WV4yV3Y894AaABAg,1,repubblica,author_1420,1
UgyjHxqZVt2UpSUl-Vl4AaABAg.AXGiImjHdmGAXGiaHxXE8u,UgyjHxqZVt2UpSUl-Vl4AaABAg,SeUdgKxusvA,True,author_251,2026-05-26T11:29:21Z,2026-05-26T11:29:21Z,0,Antonelli succhi gli uccelli😂😂😂😂,UgyjHxqZVt2UpSUl-Vl4AaABAg,1,repubblica,author_251,1
UgwgJGj3VHdZm0oYtQd4AaABAg.AXGiIBWyGnjAXGicj7W_0G,UgwgJGj3VHdZm0oYtQd4AaABAg,SeUdgKxusvA,True,author_251,2026-05-26T11:29:41Z,2026-05-26T11:29:41Z,3,88😂😂😂88😂😂😂😂88,UgwgJGj3VHdZm0oYtQd4AaABAg,1,repubblica,author_251,1
UgxFeUEBCXVFXJQWPFN4AaABAg,,SeUdgKxusvA,False,author_1421,2026-05-26T11:30:08Z,2026-05-26T11:30:08Z,2,In Sardegna in vacanza ci vanno i militari israeliani . Premio per aver ucciso tanti e tanti bambini di Gaza,,0,repubblica,author_1421,1
