comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzdedZHM1-nwAHfOYp4AaABAg,,Tc_AnNcZD2M,False,author_709,2026-05-24T19:28:42Z,2026-05-24T19:31:32Z,0,"Leonardo +600% in borsa ...  Fate voi , se non l avete in portafoglio si scommette qualche millino , sulla probabilità di conflitti , non vedo problemi è statistica. In Italia polymarket sarebbe vietato  ci sono scappatoie .... Adesso si scommette a chi sgancia prima il nucleo.",,0,repubblica,author_709,1
Ugwt36BZAeRZbIPYPvx4AaABAg,,Tc_AnNcZD2M,False,author_1951,2026-05-24T19:34:24Z,2026-05-24T19:34:24Z,1,Estinzione della razza umana: subito!,,0,repubblica,author_1951,1
Ugwt36BZAeRZbIPYPvx4AaABAg.AXCRWE_cMx7AXCVu1zC6D9,Ugwt36BZAeRZbIPYPvx4AaABAg,Tc_AnNcZD2M,True,author_9,2026-05-24T20:12:45Z,2026-05-24T20:12:45Z,0,Comincia da te,Ugwt36BZAeRZbIPYPvx4AaABAg,1,repubblica,author_9,1
Ugwt36BZAeRZbIPYPvx4AaABAg.AXCRWE_cMx7AXCYausJ0pO,Ugwt36BZAeRZbIPYPvx4AaABAg.AXCRWE_cMx7AXCVu1zC6D9,Tc_AnNcZD2M,True,author_1951,2026-05-24T20:36:21Z,2026-05-24T20:36:21Z,0,​author_7702 che senso?,Ugwt36BZAeRZbIPYPvx4AaABAg.AXCRWE_cMx7AXCVu1zC6D9,2,repubblica,author_1951,0
UgxCKDEkUdCShhUUKMh4AaABAg,,Tc_AnNcZD2M,False,author_2285,2026-05-24T22:53:02Z,2026-05-24T22:53:02Z,2,Che schifo. L' uomo è sempre stato sopravvalutato,,0,repubblica,author_2285,1
Ugzu_FlvhG7e1_oTtl54AaABAg,,Tc_AnNcZD2M,False,author_146,2026-05-25T00:49:25Z,2026-05-25T00:49:25Z,0,Anche i media che ricevono finanziamenti gratuiti sono quotati.,,0,repubblica,author_146,0
UgykjjlI1WVdKaxZgrh4AaABAg,,Tc_AnNcZD2M,False,author_1831,2026-05-25T02:21:23Z,2026-05-25T02:22:08Z,0,"Condivido con quello che ho letto, le guerre ahimé giovano anche a fare  quattrini....e non pochi.sulla pelle di molti militari ed financo degli inerrni del popolo..",,0,repubblica,author_1831,0
UgwByJ5mqa_TWYzIbY14AaABAg,,Tc_AnNcZD2M,False,author_1607,2026-05-25T04:26:35Z,2026-05-25T04:26:35Z,1,Il vomito,,0,repubblica,author_1607,1
Ugx9m4tXe9IigyVQgvh4AaABAg,,Tc_AnNcZD2M,False,author_185,2026-05-25T06:22:23Z,2026-05-25T06:22:23Z,2,In linea con il degrado dilagante.,,0,repubblica,author_185,0
UgzxB-baPvYwsghGd8Z4AaABAg,,Tc_AnNcZD2M,False,author_549,2026-05-26T05:56:35Z,2026-05-26T05:56:35Z,0,LA GUERRA A NINOS DE ESCUELA PRIMARIA ORDEN CRONOLOGICO Y CADA HECHO UNA TARJETA CON FECHA Y DIBUJO DE LA LLAMA.,,0,repubblica,author_549,1
