comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugyz0S783FaJ0wzMFAV4AaABAg,,XMNmGh69aTI,False,author_2759,2026-05-24T08:44:54Z,2026-05-24T08:44:54Z,10,Che tristezza 😭💧,,0,repubblica,author_2759,0
Ugyz0S783FaJ0wzMFAV4AaABAg.AXBHBAWUjntAXBHGRKRRm2,Ugyz0S783FaJ0wzMFAV4AaABAg,XMNmGh69aTI,True,author_2760,2026-05-24T08:45:38Z,2026-05-24T08:45:38Z,1,Ma è vero😢,Ugyz0S783FaJ0wzMFAV4AaABAg,1,repubblica,author_2760,0
Ugyj3D9tbZm-Ka7nX214AaABAg,,XMNmGh69aTI,False,author_2761,2026-05-24T08:47:09Z,2026-05-24T08:47:09Z,44,"Zelinsky rideva della massacre che aveva fatto due giorni fa, più di 100 morti, mentre China e Putin parlavano di negoziare la pace. Ecco",,0,repubblica,author_2761,1
Ugy2hx9LH1EPQ_iBRJt4AaABAg,,XMNmGh69aTI,False,author_2762,2026-05-24T08:49:51Z,2026-05-24T09:57:29Z,70,"Mostrate anche le immagini dei ragazzi a lugansk morti sotto le macerie per colpa dei droni ucraini, facciamo vedere tutta la verità non solo quello che fa comodo",,0,repubblica,author_2762,1
Ugyz0S783FaJ0wzMFAV4AaABAg.AXBHBAWUjntAXBHvgRP4YH,Ugyz0S783FaJ0wzMFAV4AaABAg,XMNmGh69aTI,True,author_25,2026-05-24T08:51:24Z,2026-05-24T08:51:24Z,8,QUELLO CHE SI SONO CERCATI GLI UCRAINI COI LORO POLITICI SERVI DEGLI AMERICANI,Ugyz0S783FaJ0wzMFAV4AaABAg,1,repubblica,author_25,1
UgxmLiwTwUWzxkb_nzd4AaABAg,,XMNmGh69aTI,False,author_216,2026-05-24T08:52:00Z,2026-05-24T08:52:00Z,13,"Criminali di guerra.
Putin genocidario!

Sta facendo una strage voluta sull'Ucraina!",,0,repubblica,author_216,1
Ugyj3D9tbZm-Ka7nX214AaABAg.AXBHRZoj62tAXBI5-ayfPV,Ugyj3D9tbZm-Ka7nX214AaABAg,XMNmGh69aTI,True,author_216,2026-05-24T08:52:48Z,2026-05-24T08:52:48Z,0,"Si infatti è stata l'Ucraina a invadere la Russia vero? È ancora presto per pranzare, torna a letto",Ugyj3D9tbZm-Ka7nX214AaABAg,1,repubblica,author_216,1
UgzpAS2OyAaFb_zS4C14AaABAg,,XMNmGh69aTI,False,author_2763,2026-05-24T08:53:03Z,2026-05-24T08:53:03Z,23,Ovvio ieri hanno alzato l'asticella l'Ucraina questo e il risultato la risposta hai droni sul f.s.b,,0,repubblica,author_2763,0
Ugw2GWXtFa1lqT2biqZ4AaABAg,,XMNmGh69aTI,False,author_25,2026-05-24T08:53:08Z,2026-05-24T08:53:08Z,0,Avanti Russia spazzate via la feccia serva degli anglo-sassoni !!!!,,0,repubblica,author_25,1
Ugyz0S783FaJ0wzMFAV4AaABAg.AXBHBAWUjntAXBI7Zh74oL,Ugyz0S783FaJ0wzMFAV4AaABAg.AXBHBAWUjntAXBHvgRP4YH,XMNmGh69aTI,True,author_216,2026-05-24T08:53:10Z,2026-05-24T08:53:10Z,6,"​author_7634 zitto Claudio, lascia parlare le persone intelligenti.",Ugyz0S783FaJ0wzMFAV4AaABAg.AXBHBAWUjntAXBHvgRP4YH,2,repubblica,author_216,0
